,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1960-01-01,-330617.8143980853,10200011.588657096,10317261.695703868,-330617.8143980853,-330617.8143980853,10592109.69028502,10592109.69028502,10592109.69028502,10592109.69028502,10592109.69028502,10592109.69028502,0.0,0.0,0.0,10261491.875886934
1,1961-01-01,-109645.8827790429,10444453.271034054,10566473.866269384,-109645.8827790429,-109645.8827790429,10615442.869512215,10615442.869512215,10615442.869512215,10615442.869512215,10615442.869512215,10615442.869512215,0.0,0.0,0.0,10505796.986733172
2,1962-01-01,110722.30039295301,10677750.047922648,10795168.223271228,110722.30039295301,110722.30039295301,10627368.398375243,10627368.398375243,10627368.398375243,10627368.398375243,10627368.398375243,10627368.398375243,0.0,0.0,0.0,10738090.698768197
3,1963-01-01,331090.4834218347,10891722.562228942,11012284.822725581,331090.4834218347,331090.4834218347,10619386.466908753,10619386.466908753,10619386.466908753,10619386.466908753,10619386.466908753,10619386.466908753,0.0,0.0,0.0,10950476.950330587
4,1964-01-01,551458.6664507163,11084615.893510332,11205639.650985515,551458.6664507163,551458.6664507163,10592109.690284876,10592109.690284876,10592109.690284876,10592109.690284876,10592109.690284876,10592109.690284876,0.0,0.0,0.0,11143568.356735593
5,1965-01-01,772430.5977937584,11324990.35715891,11447212.743179252,772430.5977937584,772430.5977937584,10615442.869512273,10615442.869512273,10615442.869512273,10615442.869512273,10615442.869512273,10615442.869512273,0.0,0.0,0.0,11387873.46730603
6,1966-01-01,992798.780690508,11556868.112600062,11674004.350970032,992798.780690508,992798.780690508,10627368.398375226,10627368.398375226,10627368.398375226,10627368.398375226,10627368.398375226,10627368.398375226,0.0,0.0,0.0,11620167.179065734
7,1967-01-01,1213166.9639138964,11772583.608978929,11891797.810893107,1213166.9639138964,1213166.9639138964,10619386.46690872,10619386.46690872,10619386.46690872,10619386.46690872,10619386.46690872,10619386.46690872,0.0,0.0,0.0,11832553.430822616
8,1968-01-01,1433535.1471372843,11964324.37498525,12080776.209532406,1433535.1471372843,1433535.1471372843,10592109.690284427,10592109.690284427,10592109.690284427,10592109.690284427,10592109.690284427,10592109.690284427,0.0,0.0,0.0,12025644.837421712
9,1969-01-01,1686210.1649277487,12243085.541578349,12362399.931733906,1686210.1649277487,1686210.1649277487,10615442.86951242,10615442.86951242,10615442.86951242,10615442.86951242,10615442.86951242,10615442.86951242,0.0,0.0,0.0,12301653.03444017
