,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,432728029.9725365,516323212.0034929,477049630.58147115
1,1961-01-01,447153051.54028606,526309927.2863325,487712621.0093906
2,1962-01-01,446352497.68917596,522837077.0821728,483635227.2638034
3,1963-01-01,440405310.71323943,518062425.8161803,479325369.7188028
4,1964-01-01,431711656.90331316,515301653.99251187,474788500.76471585
5,1965-01-01,444351867.7331921,525031476.35002124,485451491.27415127
6,1966-01-01,440299384.08125055,523754467.1109219,481374097.60985905
7,1967-01-01,435264680.12247443,514361656.3815223,477064240.07223004
8,1968-01-01,430288000.5636351,514295396.48127794,472527371.1255136
9,1969-01-01,444741582.7593675,524895686.6407795,483190361.5873491
10,1970-01-01,439136364.5211619,521848637.51692533,479112967.8496003
11,1971-01-01,432906404.72540504,513449566.5344727,474803110.2658045
12,1972-01-01,433677774.0240149,512421086.5802845,470266237.0320479
13,1973-01-01,441015388.58508044,520266501.7880305,480929223.21532214
14,1974-01-01,437434942.15663797,520127730.00085855,476849911.11768186
15,1975-01-01,428799575.4037447,510323861.43852335,472538135.1739869
16,1976-01-01,429906952.03130656,508580666.8904316,467997081.7526507
17,1977-01-01,437971687.12463313,515357477.2141397,478655876.2957747
18,1978-01-01,434192310.4653146,515720408.39410496,474571751.395893
19,1979-01-01,428233319.46134555,510071483.3417963,470255162.64995074
20,1980-01-01,425291015.7144418,505689976.4804692,465707137.3249417
21,1981-01-01,435681642.9662717,514118165.6833532,476358940.86329204
22,1982-01-01,430657780.0744507,512695594.68518025,472266550.9516952
23,1983-01-01,424271242.9003726,506847235.4027461,467941697.1940422
24,1984-01-01,423945088.9844082,502243966.76990235,463383990.2184811
25,1985-01-01,432855332.73446226,514245825.9320315,474025210.3036885
26,1986-01-01,428117883.59769875,512903395.99407095,469926105.69721407
27,1987-01-01,424915432.2940486,504783840.33140826,465590804.4049618
28,1988-01-01,421487577.2550528,501228175.2611486,461028491.7036196
29,1989-01-01,429811747.8318583,510678794.3897259,471663037.43701327
30,1990-01-01,426602760.6314575,508521034.5075609,467557276.71463895
31,1991-01-01,420932156.80358034,503115736.2496072,463213291.435284
32,1992-01-01,421682697.045444,497790870.4363324,458642294.7468499
33,1993-01-01,431853664.36871755,510829547.8503646,469263640.1107679
34,1994-01-01,425301495.9983526,502531642.1738525,465144715.08550876
35,1995-01-01,418058246.23271346,501172147.31812716,460790891.36993194
36,1996-01-01,419173505.7031579,495477751.9206054,456210056.24525833
37,1997-01-01,424857760.4724388,510388727.69130087,466310669.4744249
38,1998-01-01,423655007.5623787,502647894.0997403,461672435.0798044
39,1999-01-01,415882608.8011429,499229793.3045265,456794495.4469383
40,2000-01-01,412009857.2421909,494017194.5018214,451689163.9558847
41,2001-01-01,423943081.3328798,502446443.5489654,461782134.4620537
42,2002-01-01,417685125.5782023,499975304.98839164,457133612.4937081
43,2003-01-01,413027864.3242916,494452258.5817268,452252626.67931914
44,2004-01-01,395999110.7579411,475664842.48380554,435554874.4749353
45,2005-01-01,392698626.91853523,473388397.19476724,434023664.2109175
46,2006-01-01,377163714.9839727,459390136.0327377,417777794.7323655
47,2007-01-01,360593874.2178304,443688099.351279,401299461.407743
48,2008-01-01,342597550.7536231,425076894.36611927,384590040.20721334
49,2009-01-01,342301615.736316,424974713.8184198,383047128.9772494
50,2010-01-01,325865102.11077404,409270405.1096892,366797183.03185016
51,2011-01-01,313275894.51308495,389855363.89606714,350314773.24039865
52,2012-01-01,293935873.203619,375081515.3628713,333605352.0398735
53,2013-01-01,292156676.91883236,371226829.2074766,332062440.80990875
54,2014-01-01,272447390.3511015,358305631.9891237,315812494.8644924
55,2015-01-01,258952334.52931505,341208634.8233549,299330085.07305455
56,2016-01-01,238258911.8513475,326261529.44106203,282620663.872532
57,2017-01-01,238928967.22911558,321337229.0418661,281077752.6425642
58,2018-01-01,222461543.03479752,308001453.7697188,264827806.69716465
59,2019-01-01,211269033.97248745,289176117.50898737,248345396.9057026
60,2020-01-01,193757483.2301918,275038805.3636757,231635975.70519707
61,2021-01-01,190753184.02583474,270042990.5426521,230093064.47521248
62,2022-01-01,172779843.22603944,256154878.34870356,213843118.52981746
63,2023-01-01,156000043.6681671,237470041.37703192,197360708.73837593
64,2024-01-01,139638501.7801672,217745492.37061745,180651287.53783864
65,2025-01-01,140348529.0951169,218212262.1765869,179108376.3078854
66,2026-01-01,125336346.54885982,202001385.26374823,162858430.36247063
67,2027-01-01,105162284.67798728,188127535.5433514,146376020.57101357
68,2028-01-01,87981561.35427335,171137793.4828281,129666599.37051374
69,2029-01-01,87205691.91895781,166932519.61564136,128123688.14052731
70,2030-01-01,68329922.55922131,152940373.0418373,111873742.19515681
