,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,67295166.00051728,70605545.50055978,68982078.96665429
1,1961-01-01,67615147.3619124,70959543.99490018,69207480.45068017
2,1962-01-01,67515388.36960648,70834124.8288448,69208645.53728102
3,1963-01-01,67365250.47857197,70698415.92426059,69055288.10352075
4,1964-01-01,67038451.056017175,70434604.54859835,68747381.08779642
5,1965-01-01,67273820.40979081,70631737.49433053,68972757.61318862
6,1966-01-01,67293907.96665996,70807804.52063023,68973897.80934882
7,1967-01-01,67154462.22708267,70423185.54469596,68820351.9603982
8,1968-01-01,66907109.04264726,70241057.0945254,68512256.52948324
9,1969-01-01,66985615.901874356,70371914.18335326,68737444.61605489
10,1970-01-01,67085100.93989292,70420664.59552033,68738391.80459696
11,1971-01-01,66961940.42931331,70337807.63767403,68584816.47369419
12,1972-01-01,66649864.46103197,69970151.24341299,68276691.56026784
13,1973-01-01,66855610.599336565,70221950.32770072,68501874.54869309
14,1974-01-01,66880694.79218972,70174958.93402882,68502821.7368663
15,1975-01-01,66630062.35604339,69980197.5860694,68349246.40559465
16,1976-01-01,66424299.78624998,69751460.05033283,68041121.49258074
17,1977-01-01,66540718.13093691,69820621.70119362,68266304.4814196
18,1978-01-01,66670631.01427469,69969992.72828074,68267251.68035695
19,1979-01-01,66466929.741834655,69867419.1684015,68113676.35984945
20,1980-01-01,66169909.79899071,69560203.3017448,67806098.54675442
21,1981-01-01,66275478.8652787,69652272.6037662,68031830.13441643
22,1982-01-01,66344945.8253066,69702044.413157,68047216.51946095
23,1983-01-01,66274832.29833581,69574999.90813312,67908080.3850606
24,1984-01-01,65882159.69674859,69316047.63982084,67615036.46737617
25,1985-01-01,66188466.057965256,69451678.85014316,67855343.39576675
26,1986-01-01,66135750.7089991,69527885.32722284,67871373.20147358
27,1987-01-01,66008001.81651208,69452119.55739789,67732880.48790026
28,1988-01-01,65770482.13448479,69091061.43902421,67439838.19236158
29,1989-01-01,65947643.75551853,69436494.741613,67680145.12134737
30,1990-01-01,65973412.959373385,69328859.05189793,67696174.92764878
31,1991-01-01,65933569.039133444,69194262.28741957,67557682.21482597
32,1992-01-01,65688307.52012457,69075400.1650206,67264639.920039
33,1993-01-01,65749511.70526236,69051921.68207851,67504712.75930525
34,1994-01-01,65857387.41328764,69155315.72077833,67520509.11547479
35,1995-01-01,65751385.575303905,69072352.15774989,67381160.22724283
36,1996-01-01,65462100.64141954,68850837.84366901,67087261.75704645
37,1997-01-01,65601539.655020766,69047975.70259725,67325111.11405385
38,1998-01-01,65463747.8711336,69059107.24661735,67338690.06305225
39,1999-01-01,65484218.690906726,68936867.72345144,67196773.37025133
40,2000-01-01,65073540.71499547,68413619.79756744,66737524.56053214
41,2001-01-01,65214734.29577813,68508530.51480222,66811169.61459469
42,2002-01-01,64977401.0904661,68289045.38723384,66660156.532779925
43,2003-01-01,64714807.53499125,68003529.38947214,66354620.93151944
44,2004-01-01,64170301.19603303,67582702.43926854,65894483.01058008
45,2005-01-01,64355952.39895345,67600564.81814884,65967236.51749829
46,2006-01-01,64168533.26722424,67459121.97445807,65816170.69771704
47,2007-01-01,63868438.5640115,67200629.8835161,65510582.35849321
48,2008-01-01,63494034.54676253,66649575.89231964,65050444.4371784
49,2009-01-01,63511573.89446738,66830216.65369545,65123197.943722434
50,2010-01-01,63289129.89223357,66669025.58511231,64972132.12381754
51,2011-01-01,63078550.136250615,66254284.59673996,64666543.78446687
52,2012-01-01,62578217.60238069,65762757.566985965,64206405.863152966
53,2013-01-01,62710741.07388054,66011505.88734871,64279159.3696965
54,2014-01-01,62454853.2722362,65790372.53947683,64128093.549792394
55,2015-01-01,62116116.16747418,65521612.49842026,63822505.21044181
56,2016-01-01,61817106.51196827,65000018.89040589,63362367.28912734
57,2017-01-01,61790842.03852835,65191682.457823694,63435120.795671694
58,2018-01-01,61552059.12652292,65026107.83194723,63284054.97576677
59,2019-01-01,61270630.55084735,64660888.613919996,62978466.636417195
60,2020-01-01,60834678.14066105,64205445.9136654,62518328.71510245
61,2021-01-01,60961629.014046974,64215525.80494511,62591082.22164735
62,2022-01-01,60909759.627387375,64073370.94212635,62440016.401741475
63,2023-01-01,60619897.84811669,63895611.416640826,62134428.06239128
64,2024-01-01,59944932.7448155,63438845.72428993,61674290.141076796
65,2025-01-01,60087141.80353495,63375911.65957843,61747043.64761985
66,2026-01-01,60022591.952213146,63340243.12709912,61595977.827716365
67,2027-01-01,59754214.42374838,63012726.63266829,61290389.488366306
68,2028-01-01,59145837.123328246,62544681.9059286,60830251.56705214
69,2029-01-01,59257272.61486379,62543075.33590016,60903005.07359663
70,2030-01-01,59153845.95565096,62483728.98399904,60751939.25369058
