,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,320853258.0126033,333592375.38736224,326701035.91275555
1,1961-01-01,326824842.7561919,339030565.16727114,332671650.4187255
2,1962-01-01,331604804.1528312,343710873.3114578,337913318.9090294
3,1963-01-01,336324041.75250465,348993887.18429995,342445776.945658
4,1964-01-01,340079446.6525348,352345936.57690716,346263400.304941
5,1965-01-01,346272597.96547323,358373642.6567554,352233993.52542824
6,1966-01-01,351521717.1308011,363541876.21313053,357475640.7884088
7,1967-01-01,356030224.1924443,368130116.7457482,362008098.8318442
8,1968-01-01,359511496.86617994,371790121.62737954,365825722.1979361
9,1969-01-01,365971437.64562553,377859331.41651344,371796315.3993339
10,1970-01-01,370560561.29699534,383169454.74448323,377037962.6685165
11,1971-01-01,375400933.50066197,387712727.8641116,381570420.72043014
12,1972-01-01,379739744.98282105,391267623.1204033,385393260.81551397
13,1973-01-01,385311842.63209707,397712764.7032826,391369085.05511755
14,1974-01-01,390835399.65851367,402831465.62078494,396908434.09488785
15,1975-01-01,395598019.23078334,407730186.983914,401738593.9173895
16,1976-01-01,399279739.5966387,411665650.9953885,405859964.8393246
17,1977-01-01,405616427.5989845,418638269.00248164,412135137.7984555
18,1978-01-01,412410878.96243745,425590692.1883611,419133038.9888454
19,1979-01-01,419189231.65083987,431670102.6873266,425421750.9619664
20,1980-01-01,425680598.92304325,437747926.57329583,431707222.56371456
21,1981-01-01,433947919.3159735,446006256.68643874,440152425.24561864
22,1982-01-01,442144302.2816467,453995079.49022937,447862247.23809886
23,1983-01-01,448969176.0139635,460973132.3213453,454862880.0133188
24,1984-01-01,454889134.3256664,467213008.51623106,461148678.1111743
25,1985-01-01,463455773.1161405,475396283.137645,469594208.1586382
26,1986-01-01,470953630.7377167,483613849.01077455,477304030.1261129
27,1987-01-01,478775099.7113689,490336721.443675,484300229.61539596
28,1988-01-01,484928629.4138237,496427751.1680521,490581594.42731833
29,1989-01-01,492952683.0143379,505086761.73919,499018468.1634575
30,1990-01-01,500494933.8739607,513052814.22043455,506719657.4707453
31,1991-01-01,504571910.1176672,517049582.4733755,510862573.3848343
32,1992-01-01,507693462.0040457,520915208.2332588,514290654.6215835
33,1993-01-01,512549774.4258861,524878475.5921701,518778673.01796126
34,1994-01-01,516835272.5503268,528839058.18300104,522541796.20769733
35,1995-01-01,516879348.6195214,528623259.23602027,522832934.8402592
36,1996-01-01,516606143.7387428,528794366.11278903,522409238.7955117
37,1997-01-01,516611782.5629447,527764521.4206165,522479759.5217687
38,1998-01-01,515946082.99147624,528014113.60860586,521837454.7071732
39,1999-01-01,514693373.51310563,526607895.3149013,520482636.9786672
40,2000-01-01,512433991.22941196,524292388.67311937,518407276.18736565
41,2001-01-01,512638183.45789343,524387754.1752882,518468740.0860801
42,2002-01-01,511951027.8436816,523834272.82241035,517817120.1787326
43,2003-01-01,510802937.1768937,522547639.62018514,516456311.0540886
44,2004-01-01,508371058.25789165,520846647.98857653,514380667.2301656
45,2005-01-01,508236854.73603034,520674193.58856815,514441847.32085335
46,2006-01-01,507438743.8557568,519871710.77461016,513790227.42664266
47,2007-01-01,506902443.05877316,518748230.23732805,512429418.31522995
48,2008-01-01,507165573.1966426,519671623.5332252,513364923.9874041
49,2009-01-01,509879980.78784794,522884004.94811267,516445503.29882175
50,2010-01-01,512660446.6492622,525261751.94774437,518805032.865621
51,2011-01-01,514951581.5233016,526860846.8162639,520455373.21512806
52,2012-01-01,515285122.7469101,528006811.62348604,521390878.88732517
53,2013-01-01,517882875.2187673,530813473.9724237,524471458.1987388
54,2014-01-01,520924417.9007607,533058790.1710098,526830987.7655659
55,2015-01-01,522666845.8161784,534709795.6402181,528481328.115078
56,2016-01-01,523159484.4568449,535369841.4455436,529416833.7872437
57,2017-01-01,526560380.59126055,538472195.0278149,532497413.0986899
58,2018-01-01,528595445.89168763,541188340.0289758,534856942.665489
59,2019-01-01,530371694.5162114,542845705.679195,536507283.0150572
60,2020-01-01,531488735.40353864,543597300.9728955,537442788.6871748
61,2021-01-01,534805560.8306042,546505738.1059451,540523367.9986476
62,2022-01-01,536377666.9811026,549035735.6606989,542882897.5654267
63,2023-01-01,538111426.4634433,551161923.7204837,544533237.9149443
64,2024-01-01,538961673.0209696,552233915.9602317,545468743.5871518
65,2025-01-01,541166712.3637482,555804196.7174466,548549322.8985275
66,2026-01-01,543584755.1282018,558646016.0206965,550908852.4653705
67,2027-01-01,543960997.2254823,560810774.7471491,552559192.8149261
68,2028-01-01,544448315.2093991,563235691.7029719,553494698.4870579
69,2029-01-01,546102998.8446125,567516911.122527,556575277.7985157
70,2030-01-01,547277208.0841582,571239532.2659465,558934807.3652848
