,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,8178154.213927935,22738375.472587,15554942.609810226
1,1961-01-01,8726514.765066244,23212356.452499036,16180432.753425162
2,1962-01-01,8400546.037923913,23460230.331945974,16077258.272770299
3,1963-01-01,8131935.473381972,23281890.377601445,15925739.91477105
4,1964-01-01,8239311.035729321,22495188.848165486,15726111.93814953
5,1965-01-01,8804174.970885418,23370707.253604516,16351602.0816992
6,1966-01-01,8353451.665136315,23206175.942117292,16248427.600979352
7,1967-01-01,9043036.602097668,23640619.69751499,16096909.243778704
8,1968-01-01,8328195.098995655,23502288.735552933,15897281.267955672
9,1969-01-01,9084784.418191176,24428654.009183876,16522771.412549062
10,1970-01-01,9138204.846289856,24182327.516668748,16419596.932829397
11,1971-01-01,8545602.514097381,24118099.671416488,16268078.576315304
12,1972-01-01,8702030.696636995,23943338.048953116,16068450.600136623
13,1973-01-01,8853095.083934436,24546852.845529735,16693940.743643636
14,1974-01-01,9295496.05103714,24276325.397381432,16590766.262160577
15,1975-01-01,8452829.14240004,23839891.750392802,16439247.903882755
16,1976-01-01,9103920.539306315,23768776.138540085,16239619.925972838
17,1977-01-01,9322310.44913785,24320565.79231494,16865110.06774379
18,1978-01-01,9145562.376344023,24249590.94198426,16761935.584664343
19,1979-01-01,9021266.726733612,24244847.884376142,16610417.22478986
20,1980-01-01,9064083.410735194,23648646.81382458,16410789.244878275
21,1981-01-01,9366667.150686808,24624868.6511366,17036279.3846424
22,1982-01-01,10059966.53652836,24734053.614436854,16933089.539708246
23,1983-01-01,9775750.914590418,25015212.138386495,16781555.817979272
24,1984-01-01,8935999.685347008,24488493.85816063,16581912.478011094
25,1985-01-01,10530478.293804193,24869039.092714846,17207387.21558961
26,1986-01-01,9632050.403793706,24445574.04938756,17104197.370991737
27,1987-01-01,9636809.780239401,24201248.757775746,16952654.89955503
28,1988-01-01,9152452.293744909,24031379.461536936,16753002.809495578
29,1989-01-01,9923779.987769036,25628422.07275331,17378468.77207396
30,1990-01-01,9537833.178323342,24707812.938896473,17275270.176450755
31,1991-01-01,9601523.218260847,24604494.528386872,17123727.702655327
32,1992-01-01,9334677.741598008,24694431.900883168,16924075.610237926
33,1993-01-01,9971330.687325524,25387288.05036439,17549541.069765024
34,1994-01-01,10210362.108438825,25176636.300830953,17446341.972464748
35,1995-01-01,9613153.446730413,24420079.598242164,17294798.998599853
36,1996-01-01,9236538.943080358,24028543.68293752,17095146.40611211
37,1997-01-01,10047681.516862646,25198215.082293026,17720611.865459397
38,1998-01-01,9874814.489648525,25018856.600674354,17617412.767979544
39,1999-01-01,9654588.06687127,24849655.215274002,17465850.29977689
40,2000-01-01,9926590.477871994,24948467.773306463,17266177.5271412
41,2001-01-01,10483550.798360903,25643230.12383318,17891622.751465045
42,2002-01-01,9928144.144026512,25731353.356992535,17788403.474720277
43,2003-01-01,10339780.71189795,24866996.087659545,17636840.32118095
44,2004-01-01,10064473.059018692,24974633.584208522,17437167.549298175
45,2005-01-01,10833436.206478028,25192577.19545788,18062612.77437155
46,2006-01-01,10467792.235957043,25670076.214397497,17959393.498505272
47,2007-01-01,10229994.4548473,25315311.79315516,17807830.34584419
48,2008-01-01,10992817.614974348,25440321.261197142,17608157.57492773
49,2009-01-01,10733613.781262854,25719681.659038365,18233602.800972883
50,2010-01-01,10558177.770149482,25513509.26878015,18130383.52547324
51,2011-01-01,10968578.380017275,25951952.084195737,17978820.373178698
52,2012-01-01,9853821.64383126,25634193.358166583,17779147.602262698
53,2013-01-01,10282074.611087112,25310481.276808795,18404592.828307614
54,2014-01-01,10798949.005714992,26105776.165437277,18301373.552807488
55,2015-01-01,10718142.709359039,25313002.00533842,18149810.400513563
56,2016-01-01,10436333.68346467,25625964.55425539,17950137.629597545
57,2017-01-01,10738555.401647685,25716113.369204946,18575582.85564258
58,2018-01-01,10942930.823391527,26221457.787399076,18472363.580142926
59,2019-01-01,11203938.228509443,26223220.731819335,18320800.427848212
60,2020-01-01,10180342.063326275,25093860.073073227,18121127.65693288
61,2021-01-01,11145624.208670018,26297821.474748813,18746572.882977318
62,2022-01-01,10875825.597563773,26428450.2793356,18643353.60747759
63,2023-01-01,11347698.596600723,25423863.8599964,18491790.45518361
64,2024-01-01,11107580.250951946,26232526.527149934,18292117.6842669
65,2025-01-01,11535673.237180876,26518496.890212387,18917562.910312187
66,2026-01-01,11190698.087805798,26640456.142276492,18814343.634812325
67,2027-01-01,11472693.745239157,26181283.8496187,18662780.4825177
68,2028-01-01,11086255.895189755,25853418.78420503,18463107.71160276
69,2029-01-01,11920462.568635585,26788331.023413073,19088552.937647015
70,2030-01-01,11179381.219112786,26305707.111260064,18985333.66214833
