,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,3365.5518452051488,3675.0372235981517,3512.988969076025
1,1961-01-01,3494.071750306667,3781.9668760798186,3642.6318130875015
2,1962-01-01,3630.5157774877052,3918.9784849536977,3770.723266346474
3,1963-01-01,3774.3396822511613,4058.6377012337653,3906.6567106052225
4,1964-01-01,3896.3315668897126,4198.379382605263,4050.427347983741
5,1965-01-01,4033.147812443429,4331.479407083413,4180.070201518381
6,1966-01-01,4174.813596909837,4461.208622959766,4308.1616642745
7,1967-01-01,4274.568082129542,4595.407347402618,4444.1012056256395
8,1968-01-01,4432.604705428234,4734.587745115851,4587.877940096559
9,1969-01-01,4565.9009749629795,4854.088998209222,4717.540450569372
10,1970-01-01,4702.665494690446,4995.238003115678,4845.651517189592
11,1971-01-01,4826.760280666966,5134.202307264081,4981.604574947651
12,1972-01-01,4979.3172760316265,5273.170946991116,5125.39482610559
13,1973-01-01,5095.650453140334,5410.442114326453,5255.057337494403
14,1974-01-01,5229.112583506747,5545.020297491654,5383.168404167076
15,1975-01-01,5374.805054166958,5655.55073731115,5519.121461977585
16,1976-01-01,5517.041771373962,5815.046793364104,5662.836817964897
17,1977-01-01,5653.888064056038,5940.311430117755,5792.424228990829
18,1978-01-01,5775.478524692884,6068.228518826893,5920.418518679237
19,1979-01-01,5910.547981892139,6205.215227152179,6056.254799505474
20,1980-01-01,6061.683085083703,6349.433773494286,6199.904982871862
21,1981-01-01,6177.27676645793,6481.308137628241,6329.427042721731
22,1982-01-01,6302.85501036192,6614.662693803528,6457.398041734118
23,1983-01-01,6437.607891585064,6739.794224962936,6593.211031884357
24,1984-01-01,6597.455478203795,6888.056508457237,6736.861215170666
25,1985-01-01,6713.118436364345,7012.4827346512875,6866.383274999127
26,1986-01-01,6847.757107359685,7134.7611876470355,6994.354274086587
27,1987-01-01,6990.200121958753,7292.847437064816,7130.16726372129
28,1988-01-01,7119.944446086691,7421.21067840667,7273.817446475794
29,1989-01-01,7246.079473217198,7555.102575199549,7403.33427944692
30,1990-01-01,7392.845198044158,7677.938294999876,7531.300065958009
31,1991-01-01,7516.180538406503,7808.258643354769,7667.09224706472
32,1992-01-01,7678.33702015504,7957.464369053738,7810.721621291217
33,1993-01-01,7679.728040682192,7982.443423583091,7821.195665473439
34,1994-01-01,7692.701478024012,7967.617840419623,7830.443916716982
35,1995-01-01,7621.1227650952505,7917.7104507043805,7768.000188599088
36,1996-01-01,7562.551341123722,7856.26181480734,7713.393653601062
37,1997-01-01,7498.047661075032,7797.430776651558,7644.043287501558
38,1998-01-01,7435.92273995793,7724.527567008887,7573.685227945083
39,1999-01-01,7362.238602871028,7655.432888621416,7511.135943463656
40,2000-01-01,7320.705011967394,7609.521593613047,7456.4095346411605
41,2001-01-01,7232.415577391456,7535.348823882013,7387.011504789218
42,2002-01-01,7174.368582471139,7459.440651969779,7316.604749243506
43,2003-01-01,7103.5121306574765,7401.24316833649,7254.0399848356465
44,2004-01-01,7053.261088168175,7350.596194758834,7199.312413147141
45,2005-01-01,6990.822125681389,7289.745982492908,7129.913217243362
46,2006-01-01,6920.643263017736,7217.359148932113,7059.506461291401
47,2007-01-01,6849.974667358928,7131.714531690347,6996.941696477233
48,2008-01-01,6803.344168362648,7101.504011340385,6960.11014791962
49,2009-01-01,6758.591598322052,7058.980628594027,6908.656005346984
50,2010-01-01,6711.862915254253,7002.283500284982,6856.145272531721
51,2011-01-01,6657.8340459529845,6960.831851995767,6811.476530854297
52,2012-01-01,6631.1467905319905,6932.897872632173,6774.644982296677
53,2013-01-01,6577.024313281506,6870.47344027256,6723.190839724088
54,2014-01-01,6518.282791335947,6819.911276964052,6670.680106908802
55,2015-01-01,6472.844525187126,6778.580925901837,6626.011365231399
56,2016-01-01,6440.687558250978,6733.473982251078,6589.179816673742
57,2017-01-01,6391.52439562183,6683.848407548251,6537.725674101163
58,2018-01-01,6340.195233388053,6644.091027226721,6485.214941285898
59,2019-01-01,6292.60507614233,6592.562110715156,6440.546199608534
60,2020-01-01,6252.77316814597,6550.169321825514,6403.714651050797
61,2021-01-01,6185.328678747771,6490.1755975280685,6352.2605084782135
62,2022-01-01,6138.482504901373,6442.223636297471,6299.7497756629855
63,2023-01-01,6107.456419555001,6407.041236788671,6255.081033985565
64,2024-01-01,6062.125823139098,6379.876919674207,6218.249485428001
65,2025-01-01,6004.136796251087,6332.687438408917,6166.795342855372
66,2026-01-01,5949.15078065402,6291.762705003866,6114.284610040072
67,2027-01-01,5897.717661905273,6244.98420277584,6069.6158683627145
68,2028-01-01,5856.3124966289415,6224.789304460152,6032.784319804985
69,2029-01-01,5779.296326067078,6183.033800753181,5981.330177232392
70,2030-01-01,5702.175421472552,6164.85657505904,5928.819444417176
