,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,291224.2504745217,299754.75305809185,295708.82329805824
1,1961-01-01,290820.8058507236,298972.57160835655,294718.1197725357
2,1962-01-01,289615.20716303244,297815.799366272,293504.69289973483
3,1963-01-01,287745.4934113546,295954.55617365945,291944.81282769656
4,1964-01-01,285931.33579712664,294190.7781419464,290037.61028647027
5,1965-01-01,284725.91982609755,292975.7152032922,289046.83198529296
6,1966-01-01,283502.6037478889,291837.9848064658,287833.33054114255
7,1967-01-01,282248.4208671753,290504.249084016,286270.41134561476
8,1968-01-01,280131.79863900354,288677.7886099246,284360.16968089883
9,1969-01-01,279423.4756316595,287373.2200012289,283364.8101795623
10,1970-01-01,278306.565475242,286212.84180364024,282146.7399704346
11,1971-01-01,276372.85325491667,284849.5574919626,280582.2164926489
12,1972-01-01,274615.84545637394,282793.0402175522,278670.3705339327
13,1973-01-01,273338.12332753034,281630.2233576176,277675.010938839
14,1974-01-01,272321.02215732,280465.17224261235,276456.9409040159
15,1975-01-01,270741.5669661309,278832.87610589125,274892.417600535
16,1976-01-01,268866.67005156254,276900.61285329977,272981.4813743993
17,1977-01-01,267860.62598438206,276219.55477286596,271987.03400430403
18,1978-01-01,266736.18698064826,274633.20274250803,270772.1237215009
19,1979-01-01,265119.61212030525,273275.4837678243,269210.7601700399
20,1980-01-01,265735.71160021797,273718.76799004537,269641.08450714784
21,1981-01-01,266918.03024996753,275023.4241146561,270994.31211279915
22,1982-01-01,269399.71449240384,277213.57546053047,273521.43255520886
23,1983-01-01,271304.9990409947,279357.91202381166,275702.099728962
24,1984-01-01,273419.26621186064,281767.0134577759,277535.8690373659
25,1985-01-01,276309.95815830893,284613.427306885,280296.63679221453
26,1986-01-01,278681.14872287324,286991.1412503534,282824.43127825175
27,1987-01-01,280985.2041059691,289348.28669005097,285005.7724732832
28,1988-01-01,282941.75657006865,290684.27886964247,286839.7911991227
29,1989-01-01,285461.6253097731,293443.2340953564,289600.34918676945
30,1990-01-01,288068.8170589217,296148.93431269116,292127.9344787429
31,1991-01-01,289930.6820847965,298100.16905771743,293911.3648354999
32,1992-01-01,291289.3745841981,299564.7544731369,295347.4727230696
33,1993-01-01,287037.8753600532,294739.60148337804,291029.7809523354
34,1994-01-01,282363.5104920389,290700.3587753386,286498.4559661356
35,1995-01-01,277686.3715905116,285569.8223975387,281620.58489220025
36,1996-01-01,272374.95724135486,280549.941737893,276395.3913490816
37,1997-01-01,268008.49033759616,276068.5181193791,272077.60654221935
38,1998-01-01,263398.90423183085,271715.74843690405,267546.1887740912
39,1999-01-01,258059.15151062695,266881.61950723676,262668.3178689512
40,2000-01-01,253151.35364175748,261534.74574081184,257443.17113879297
41,2001-01-01,248982.41759764223,257285.99080501092,253125.43323589693
42,2002-01-01,247387.37547383827,255464.37623725168,251285.49618363316
43,2003-01-01,244944.6988673424,253265.415912003,249099.10586270658
44,2004-01-01,243650.0740913379,251942.26769421744,247814.0447776696
45,2005-01-01,243077.72483920315,251756.3618634722,247447.18727508612
46,2006-01-01,242739.2304053565,250919.52860273785,246856.1965641902
47,2007-01-01,242086.5093607209,250098.59028888983,245918.75258464878
48,2008-01-01,240450.40997140727,248962.68078212623,244633.98599674442
49,2009-01-01,240391.45530638364,248290.43670988674,244267.42379813688
50,2010-01-01,239473.8070213587,247728.4165217502,243676.43294808135
51,2011-01-01,238654.2048123558,247194.2603436317,242738.9888293632
52,2012-01-01,237155.6467774085,245298.50467149093,241454.22224146329
53,2013-01-01,237131.76277110697,245073.93262788764,241087.66004285478
54,2014-01-01,236740.75241170055,244852.53280670347,240496.66919280423
55,2015-01-01,235536.2355948233,243462.0578067301,239559.22507408683
56,2016-01-01,234387.50909967226,242385.7396541409,238274.45848618148
57,2017-01-01,233887.64835769782,241707.63457214888,237907.89628757877
58,2018-01-01,233313.73015357743,241433.5861908403,237316.90543752312
59,2019-01-01,232210.2047686381,240159.55338414034,236379.46131881527
60,2020-01-01,230870.6785633088,239049.20332476278,235094.6947309026
61,2021-01-01,230782.0093564108,239145.78683924483,234728.13253230433
62,2022-01-01,229538.88933114678,238456.40943663233,234137.14168224466
63,2023-01-01,228396.97549020205,237609.26475481977,233199.69756352867
64,2024-01-01,226843.82171286756,236726.8702785663,231914.93097562954
65,2025-01-01,225624.9467498683,237238.76248688815,231548.368777015
66,2026-01-01,224031.57133131835,237108.61786681658,230957.37792696734
67,2027-01-01,221480.81682945136,237576.42725965852,230019.933808257
68,2028-01-01,218355.1356519541,237419.59676937002,228735.16722034733
69,2029-01-01,216487.32545008202,238423.52456948298,228368.60502174625
70,2030-01-01,214096.56704450372,240262.0842226939,227777.61417168457
