,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,3896370.9888033886,3944806.4624331472,3921635.0426122914
1,1961-01-01,3969945.572216884,4017365.3587912824,3994128.797478115
2,1962-01-01,4038104.81879801,4084801.185634525,4062209.7650845684
3,1963-01-01,4110506.018793398,4155764.5904512634,4132440.9287674176
4,1964-01-01,4179751.0314892405,4228271.967038308,4204924.280349701
5,1965-01-01,4254986.296036932,4301581.081596769,4277415.044926976
6,1966-01-01,4323032.575053047,4369371.141243034,4345493.030415026
7,1967-01-01,4389062.712251558,4436924.386100314,4413171.968819292
8,1968-01-01,4460272.914223588,4506889.250219535,4483103.095122941
9,1969-01-01,4513865.966349687,4560597.059273637,4538404.88366678
10,1970-01-01,4562706.043850746,4610247.192541004,4586615.689774109
11,1971-01-01,4613178.973908462,4662357.462972156,4636976.696118729
12,1972-01-01,4651575.291957899,4697572.692848558,4676045.221269272
13,1973-01-01,4690645.161003267,4738885.67696547,4715032.598061504
14,1974-01-01,4725624.000093722,4773836.6911502015,4749624.6758270655
15,1975-01-01,4763821.768044276,4810561.992136043,4786366.953829897
16,1976-01-01,4794034.673306815,4843772.643929945,4818398.496174652
17,1977-01-01,4827189.000061386,4876800.499769511,4850329.6107561495
18,1978-01-01,4854730.988409993,4902618.1396628665,4877909.596789919
19,1979-01-01,4883144.100759641,4931079.683323558,4907639.783060972
20,1980-01-01,4901584.234790724,4949066.901781488,4926665.395399023
21,1981-01-01,4921178.550010882,4971282.989631499,4945554.94728887
22,1982-01-01,4919079.415696895,4966192.5604271935,4941908.648951506
23,1983-01-01,4916768.807345393,4965875.834922376,4940412.550851271
24,1984-01-01,4880146.870631907,4929295.876795822,4905955.279593102
25,1985-01-01,4845500.518627252,4895491.5018773265,4871179.729518869
26,1986-01-01,4806997.537114243,4857553.07941681,4832284.477717865
27,1987-01-01,4769798.38521145,4821008.189910745,4795538.272098312
28,1988-01-01,4738656.5540737705,4784298.593068441,4761044.254378384
29,1989-01-01,4702839.124271738,4750388.58100556,4726267.562049659
30,1990-01-01,4664495.673909821,4711603.59279254,4687371.171114883
31,1991-01-01,4626369.409364617,4675846.504568517,4650625.003080385
32,1992-01-01,4591739.124907778,4639475.227411385,4616131.022945217
33,1993-01-01,4556087.755432704,4605146.66319423,4581358.302569127
34,1994-01-01,4518279.99272462,4565238.722084962,4542465.872735108
35,1995-01-01,4484828.397367416,4532368.9174371855,4509354.288696254
36,1996-01-01,4453156.554805691,4503290.63959868,4478494.892556162
37,1997-01-01,4468085.698128507,4514258.10407836,4491525.470680525
38,1998-01-01,4474857.230541351,4525267.808557621,4500305.729241299
39,1999-01-01,4537063.550276677,4585768.600300904,4560223.235256327
40,2000-01-01,4598510.11886545,4646646.688192119,4622450.186381128
41,2001-01-01,4660425.193692258,4710237.000269547,4684659.436890556
42,2002-01-01,4718599.957584402,4764973.930843317,4742484.01800058
43,2003-01-01,4778210.978718412,4825722.410164913,4802458.799348349
44,2004-01-01,4840973.355405092,4888523.704962035,4864685.75055458
45,2005-01-01,4904275.559006022,4949884.38208003,4926895.001144928
46,2006-01-01,4960144.684951823,5008239.49813837,4984695.204594905
47,2007-01-01,5021642.069029313,5068110.479895421,5044645.6082810825
48,2008-01-01,5007341.47305707,5056459.228545311,5031898.408203915
49,2009-01-01,4995299.069547638,5041936.662298052,5018928.098877639
50,2010-01-01,4978659.55287115,5024441.325414028,5001778.5106636165
51,2011-01-01,4962992.876838442,5010349.752896686,4986779.1226872355
52,2012-01-01,4949278.445975974,4997458.89198606,4974031.922609708
53,2013-01-01,4938884.089357614,4984499.100153372,4961061.613283487
54,2014-01-01,4921974.815331301,4969517.416332374,4943912.025068999
55,2015-01-01,4904318.722612756,4953029.911154258,4928912.637092539
56,2016-01-01,4892130.933961319,4940099.681690088,4916165.437015535
57,2017-01-01,4879100.079615576,4925843.812117366,4903195.127688777
58,2018-01-01,4862310.600957927,4908934.867583907,4886045.539474754
59,2019-01-01,4848138.43376443,4894824.949433722,4871046.15149734
60,2020-01-01,4835804.899833947,4883356.826318619,4858298.95142119
61,2021-01-01,4820170.574737743,4870319.99366665,4845328.642093975
62,2022-01-01,4798493.864391879,4856432.2668472845,4828179.053880261
63,2023-01-01,4775205.2845736975,4849369.075250362,4813179.665903722
64,2024-01-01,4745827.019275936,4850910.757884194,4800432.465825973
65,2025-01-01,4715630.103800856,4856618.417523158,4787462.156500411
66,2026-01-01,4673166.362028162,4862049.176058127,4770312.568285667
67,2027-01-01,4632450.314278705,4874587.407417515,4755313.18030845
68,2028-01-01,4588259.101481878,4894714.886752862,4742565.980232088
69,2029-01-01,4536517.53851065,4907771.140286014,4729595.670905117
70,2030-01-01,4496294.779225798,4921735.880121486,4712446.0826915745
