,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,61566.72317230896,68096.77176170159,64932.742030793735
1,1961-01-01,60435.15079274827,67574.85831819795,63786.017403262
2,1962-01-01,59822.89212972626,66765.10680269067,63424.84472667306
3,1963-01-01,59507.49130007018,66545.54443123694,63162.90347176979
4,1964-01-01,59458.102115956164,66397.41463867224,62999.64800644766
5,1965-01-01,58442.03691309189,65474.50088857486,61852.92339601281
6,1966-01-01,57989.907484437805,65108.18018535963,61491.75073647409
7,1967-01-01,57663.53686376805,64839.778081915625,61229.80951900676
8,1968-01-01,57492.52454814058,64738.66278317523,61066.554091120954
9,1969-01-01,56209.05508817344,63183.3119014542,59919.82951046601
10,1970-01-01,55967.14493538823,62723.16957602145,59558.65686898125
11,1971-01-01,55596.17052113653,62789.063488382766,59296.715658236186
12,1972-01-01,55470.02337043134,62514.24517969033,59133.46026605513
13,1973-01-01,54406.7462705391,61665.09901811485,57986.73570278591
14,1974-01-01,53751.51068085698,61028.866531798114,57625.563092015065
15,1975-01-01,53825.752947104185,60766.15948477733,57363.621911984264
16,1976-01-01,53894.22166871133,60537.83155399464,57200.56574244459
17,1977-01-01,52745.21085504381,59807.461312826665,56054.04094763238
18,1978-01-01,51977.91792753199,59009.1858803548,55693.077622617624
19,1979-01-01,52195.024376086454,58687.42876062891,55431.3457283432
20,1980-01-01,51813.633358471496,58825.769378729485,55268.89854828965
21,1981-01-01,50658.67749066715,57645.4211789956,54122.98441142749
22,1982-01-01,50899.671936018516,57818.83467893505,54407.78281896623
23,1983-01-01,51171.878614079964,58123.45758909605,54791.81265724561
24,1984-01-01,51847.586403239875,58709.0232548146,55274.74521202937
25,1985-01-01,51144.778266078654,58353.66306834115,54776.793564525724
26,1986-01-01,51267.90671426954,58440.41113498318,55062.62126419441
27,1987-01-01,52027.976087399526,59233.92489944805,55447.68179959365
28,1988-01-01,52516.03058099685,59552.451754263166,55931.42812457428
29,1989-01-01,52014.74031869273,59269.18131077296,55433.477909047884
30,1990-01-01,52364.14261252645,59278.2761518512,55719.30703678188
31,1991-01-01,52707.57789424581,59479.77123199483,56104.36757233194
32,1992-01-01,52893.39099206001,60045.06178950482,56588.11389746339
33,1993-01-01,52529.603150385585,59511.72611223241,56090.16364763651
34,1994-01-01,52756.16963633608,59982.393493726675,56375.99274116377
35,1995-01-01,53230.38064386047,60045.35267554394,56761.05327494571
36,1996-01-01,53498.44781273011,60677.93974729057,57244.799598312005
37,1997-01-01,53198.094024689875,60078.34741834328,56746.84935586879
38,1998-01-01,53481.051460368595,60390.00368095813,57032.67845676145
39,1999-01-01,53851.84164715573,60682.39988408586,57417.73900107376
40,2000-01-01,54573.50414769246,61340.23216178114,57901.48530672859
41,2001-01-01,53818.71199051151,60930.33591050277,57403.53504868057
42,2002-01-01,54062.971344840844,61166.440784231294,57689.3641236007
43,2003-01-01,54640.17244660358,61528.03026424565,58074.424629259745
44,2004-01-01,55202.86951400843,61863.44510028691,58558.17089924602
45,2005-01-01,54550.83503819889,61421.69368455847,58060.22060543967
46,2006-01-01,54945.45685296175,61661.723801855944,58346.03860302177
47,2007-01-01,55427.95352940326,62423.20422928658,58731.08803134629
48,2008-01-01,55666.426386559695,62589.038775580135,59214.82060464254
49,2009-01-01,55437.71722945246,62343.91177546086,58716.85657661642
50,2010-01-01,55588.39898527702,62411.17655970513,59002.671929591605
51,2011-01-01,55905.42274465939,62988.46727904976,59387.718713306094
52,2012-01-01,56564.360216001995,63296.483490922205,59871.4512866027
53,2013-01-01,56021.554748100985,62730.26397815936,59373.48725857723
54,2014-01-01,56148.36263695169,63139.84317337968,59659.30261155381
55,2015-01-01,56472.71739756291,63610.643425617454,60044.349395268044
56,2016-01-01,57335.406169732196,63990.12107058596,60528.081968562874
57,2017-01-01,56575.55716393269,63292.92065144877,60030.1179405388
58,2018-01-01,56892.35806009321,63758.236648939586,60315.93329351395
59,2019-01-01,57361.985187442966,64280.42494697064,60700.9800772318
60,2020-01-01,58029.97359813672,64866.771965081796,61184.712650523055
61,2021-01-01,57131.947347650144,64216.38829502423,60686.748622500665
62,2022-01-01,57498.73137802617,64641.73436398196,60972.56397547545
63,2023-01-01,57780.56275179392,65074.672741915194,61357.61075918982
64,2024-01-01,58416.022260438236,65229.623981409386,61841.343332488235
65,2025-01-01,57873.62769642108,64680.88236052786,61343.37930446035
66,2026-01-01,58206.14743982803,64983.383599433655,61629.19465743716
67,2027-01-01,58458.9973041139,65352.39920918058,62014.24144115443
68,2028-01-01,58958.98169560449,66111.62494148697,62497.974014445965
69,2029-01-01,58536.82093039116,65427.4138829439,62000.00998642303
70,2030-01-01,58659.11071613191,65871.41789747783,62285.82533939634
