,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1004430.8992568732,1134867.5397672686,1072175.7598509495
1,1961-01-01,987011.966727406,1114247.7559930068,1050571.7035713864
2,1962-01-01,983700.2685386458,1109637.4057406175,1044317.666109977
3,1963-01-01,971826.3982741578,1099448.3180739686,1034919.7955125857
4,1964-01-01,955104.7494767706,1087411.2181271731,1022371.6421396877
5,1965-01-01,937097.3133919747,1071323.861382183,1000767.5858496146
6,1966-01-01,935252.7637090661,1060244.9952003418,994513.5483777211
7,1967-01-01,922691.4726303663,1046218.558675069,985115.6777726538
8,1968-01-01,905727.4150509018,1035511.7078767533,972567.5243920749
9,1969-01-01,884407.0152458013,1015008.8980377995,950963.4680939516
10,1970-01-01,881234.100934598,1010789.8630140311,944709.4306201827
11,1971-01-01,870600.998970177,997041.3232312904,935311.5600154892
12,1972-01-01,853739.7927951665,989203.077606798,922763.4066376238
13,1973-01-01,835345.1460519423,963395.0265901991,901159.3503480306
14,1974-01-01,830996.1370924138,960414.1578670962,894905.3128784256
15,1975-01-01,814727.0917749753,955597.8803052942,885507.4422779068
16,1976-01-01,805511.8704668476,939271.1417256668,872959.288909207
17,1977-01-01,788173.3188883723,914455.5755644346,851355.232628806
18,1978-01-01,780880.998953736,909531.7423472119,845101.1951727925
19,1979-01-01,767176.5195477029,902415.3784767716,835703.3245858732
20,1980-01-01,760395.5816461106,891032.2947929557,823158.4500125959
21,1981-01-01,735474.0174204422,861079.3792094657,801557.6815106213
22,1982-01-01,732420.5781772906,858752.6499906187,795306.9774662956
23,1983-01-01,720754.7586554232,848089.0606575222,785912.4402910543
24,1984-01-01,713508.9303408674,840418.8981683995,773374.0368260257
25,1985-01-01,686035.6677144532,817137.1028000856,751785.2912457547
26,1986-01-01,682803.2717363074,808836.0096440348,745546.5226510845
27,1987-01-01,665921.4954190918,805339.0210376905,736171.7957096631
28,1988-01-01,657603.888753154,787508.0313267558,723646.7859927157
29,1989-01-01,638906.5680168776,768224.4785645417,702196.0260555104
30,1990-01-01,630784.7425547845,760570.5112928184,696094.8660940005
31,1991-01-01,622626.642749348,749287.650601038,686850.0019164581
32,1992-01-01,608534.4420061813,738565.9361361924,674454.8549633957
33,1993-01-01,589034.1646555236,714559.6898439848,653004.2256856996
34,1994-01-01,577234.9931115258,712743.3339007088,646903.1960266626
35,1995-01-01,573017.2199073944,698668.4300375781,637658.3332334352
36,1996-01-01,563237.9668850402,690946.5382267595,625263.1876646973
37,1997-01-01,537769.2146297668,670620.8103946334,603812.5583807747
38,1998-01-01,534622.408165,659656.6932540654,597711.5287155199
39,1999-01-01,526712.9379847088,651635.7560086634,588466.6659180848
40,2000-01-01,512847.8623759658,634450.4588164125,576071.5203435359
41,2001-01-01,490050.67521774507,619757.9190304573,554620.891056673
42,2002-01-01,487229.7508854311,611412.6811940421,548519.8613885966
43,2003-01-01,474631.9389587122,606646.4532847591,539274.998589578
44,2004-01-01,463371.175019571,588687.379410233,526879.8530177625
45,2005-01-01,440139.14787518786,574466.2688240611,505429.2237337099
46,2006-01-01,431838.87473285105,563305.5611630781,499328.1940726355
47,2007-01-01,428952.3233459116,553843.9124933473,490083.3312807012
48,2008-01-01,415351.33862974576,541365.9445476541,477688.18571815477
49,2009-01-01,391123.1940814007,522803.8427133291,456237.55644338415
50,2010-01-01,385005.4062811183,510518.1794159293,450136.52678729245
51,2011-01-01,378354.6620030641,508623.45918890415,440891.6640002683
52,2012-01-01,360325.93028076773,491038.4460846331,428496.5184377298
53,2013-01-01,342390.1628175734,471338.54225130146,407045.8891629502
54,2014-01-01,336018.0568603027,467818.337999973,400944.85950689204
55,2015-01-01,331580.68871025764,457196.25296331174,391699.99671985
56,2016-01-01,315000.2693297893,449633.2477004083,379304.85115730367
57,2017-01-01,295763.45629425376,426239.0905056201,357854.2218825377
58,2018-01-01,283891.6991463672,413393.61193403276,351753.192226446
59,2019-01-01,278353.2694926141,408099.14596714324,342508.32943944354
60,2020-01-01,258689.30434792986,394452.9107105401,330113.1838768821
61,2021-01-01,241383.71627939693,380291.434294877,308662.5546021438
62,2022-01-01,240382.6342376643,366919.1785300358,302561.52494602965
63,2023-01-01,228615.05866768546,358281.1717278549,293316.6621589997
64,2024-01-01,217840.00841633754,343245.04819855426,280921.51659646176
65,2025-01-01,192965.76581094213,324955.0022296535,259470.88732166565
66,2026-01-01,184788.1870219573,313978.778723923,253369.85766561492
67,2027-01-01,178277.26279457522,310246.47760607884,244124.99487859884
68,2028-01-01,166636.94829540985,295882.1596283497,231729.849316039
69,2029-01-01,150743.49078764144,278633.26871726214,210279.22004129773
70,2030-01-01,139556.57182562505,268641.03651188256,204178.1903851484
