,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1169177.7380316763,1175825.6414459462,1172490.010222643
1,1961-01-01,1199824.7808327198,1206416.445599591,1202864.8744643333
2,1962-01-01,1231338.2876653713,1238039.3416535181,1234729.0739007837
3,1963-01-01,1263159.2398547088,1269833.5752809052,1266557.894449283
4,1964-01-01,1294987.1955775246,1301788.2989394327,1298313.1090268048
5,1965-01-01,1322143.0792189208,1328593.7634420658,1325447.352014316
6,1966-01-01,1350682.6763113223,1357281.7657489085,1354079.784353039
7,1967-01-01,1367292.0491071122,1373863.275232567,1370616.7037968705
8,1968-01-01,1383772.1001817596,1390309.7478594317,1387080.0172697501
9,1969-01-01,1391678.288608264,1398290.7856893633,1394996.7690859775
10,1970-01-01,1390625.6366739925,1397355.094397072,1394138.8335845757
11,1971-01-01,1390038.7032302828,1396544.4241027618,1393251.172826658
12,1972-01-01,1381231.2943516457,1387867.4603887396,1384438.9247065554
13,1973-01-01,1370814.6437065874,1377557.1377572557,1374129.5133963132
14,1974-01-01,1356712.128680341,1363446.5175535055,1360123.0934017817
15,1975-01-01,1342693.857116157,1349062.5063996792,1346086.9481507395
16,1976-01-01,1326840.3517938566,1333386.0286850778,1330011.1571758583
17,1977-01-01,1309052.1989707968,1315777.2073704456,1312418.3028934263
18,1978-01-01,1289242.8645738363,1296044.522913093,1292541.4831618692
19,1979-01-01,1269559.273890289,1275915.712731805,1272634.9381737965
20,1980-01-01,1249288.7305303223,1256007.7407047236,1252647.3747941582
21,1981-01-01,1227830.14864067,1234415.2140433562,1231132.0309222972
22,1982-01-01,1207894.838222146,1214635.2167677274,1211247.7987801356
23,1983-01-01,1187812.071713211,1194398.9705202398,1191333.841381528
24,1984-01-01,1167898.548351902,1174670.0594077758,1171346.782090714
25,1985-01-01,1149716.5838444373,1156301.403855565,1152856.1874937124
26,1986-01-01,1132840.286730723,1139312.7148549608,1135988.4402741091
27,1987-01-01,1120229.329104818,1127025.3235615252,1123619.4532888175
28,1988-01-01,1107925.4826613415,1114332.9225041543,1111176.8603324706
29,1989-01-01,1094124.814353185,1100327.339147976,1097227.1580235413
30,1990-01-01,1081823.748277975,1088040.0287482901,1084887.896282552
31,1991-01-01,1069300.6174419364,1076024.2241298528,1072506.5591412012
32,1992-01-01,1056689.207868751,1063125.438075965,1060051.616028923
33,1993-01-01,1037397.2735856809,1043953.6996199454,1040798.173201266
34,1994-01-01,1019819.6123842284,1026583.0634408144,1023169.66203569
35,1995-01-01,1002076.2656942385,1008999.9385284674,1005505.6258147947
36,1996-01-01,984723.0765927556,991059.3712943777,987767.9836232262
37,1997-01-01,965066.7736176112,971835.9493259725,968508.7251075173
38,1998-01-01,947636.7667775364,954202.4501528147,950874.4141439515
39,1999-01-01,930067.2781654593,936535.1671595667,933210.7096666293
40,2000-01-01,912104.6024342399,918942.199241863,915509.5304228477
41,2001-01-01,893159.2087252697,899616.2104047647,896286.8347527344
42,2002-01-01,878250.5394573169,884820.267275188,881538.6809820904
43,2003-01-01,863759.0513652489,869919.7425140219,866760.8019547455
44,2004-01-01,851232.2813713517,857644.2898870393,854466.3936522495
45,2005-01-01,837346.626393714,843893.3763071864,840665.2819948032
46,2006-01-01,825297.5943664946,831732.360997944,828474.2049700387
47,2007-01-01,813010.9086454988,819473.171597443,816253.4026892084
48,2008-01-01,804919.9797295416,811376.183826245,808106.1027486147
49,2009-01-01,795171.6020168688,801860.3488109192,798463.4613935987
50,2010-01-01,787171.4556192068,793805.8983047155,790419.4926805467
51,2011-01-01,779278.379873584,785980.1222422053,782345.7987108273
52,2012-01-01,770960.5624661774,777577.3115191404,774198.4987703839
53,2013-01-01,761265.3265169869,767841.8744136319,764555.8574153578
54,2014-01-01,753137.9331998241,759851.483148044,756511.8887024963
55,2015-01-01,745184.7145468338,751798.2480134441,748438.1947328153
56,2016-01-01,736862.357688209,743837.2050235755,740290.8947921393
57,2017-01-01,727598.14933604,733851.4153154185,730648.2534373447
58,2018-01-01,719399.856359749,725772.4717845218,722604.2847242921
59,2019-01-01,711330.6977404,718036.9292368435,714530.5907550224
60,2020-01-01,703054.1762730806,709619.9464557864,706383.2908139706
61,2021-01-01,692825.8711802508,700141.5826879689,696740.6494593666
62,2022-01-01,683764.4599388071,693871.9360409986,688696.6807461899
63,2023-01-01,672633.9053777001,688453.797981747,680622.986776539
64,2024-01-01,658981.3057314466,685458.9913969904,672475.6868362013
65,2025-01-01,644464.3030535628,681511.4167991346,662833.0454808904
66,2026-01-01,628284.0177450797,679696.5658382851,654789.0767681315
67,2027-01-01,612235.0152391914,679574.5810534647,646715.3827987796
68,2028-01-01,597610.3136030043,678017.8796623946,638568.0828578214
69,2029-01-01,579520.5807522458,678084.4540266537,628925.4415031121
70,2030-01-01,562894.3093676239,678083.3858474381,620881.472789864
