,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1323434.5745164272,1628689.9957329696,1476614.202488585
1,1961-01-01,1323194.2689704718,1642473.973037887,1482000.4311296062
2,1962-01-01,1339995.5803373288,1658948.832674005,1496942.0743570486
3,1963-01-01,1351270.2646726125,1658583.6415386274,1509760.4037408784
4,1964-01-01,1365400.9186910603,1675088.0596497124,1520452.841704151
5,1965-01-01,1365930.528063097,1680760.5435971771,1525839.0697801136
6,1966-01-01,1374536.2881014063,1698905.236173587,1540780.7124440386
7,1967-01-01,1391047.710657131,1693391.8744759602,1553599.0397690868
8,1968-01-01,1399244.6653948105,1722237.2590088549,1564291.4756735736
9,1969-01-01,1423607.6479469314,1721318.381907516,1569677.7011819787
10,1970-01-01,1430472.481078756,1754709.3927302663,1584619.3411132034
11,1971-01-01,1435746.5988845718,1760385.931201207,1597437.666464636
12,1972-01-01,1450280.8009183058,1760333.4865895489,1608130.0982061585
13,1973-01-01,1459368.652317178,1783744.2696794071,1613516.3213465959
14,1974-01-01,1473675.594557291,1791864.9527944936,1628457.51093773
15,1975-01-01,1479181.828672844,1792498.7259152615,1641275.3859490785
16,1976-01-01,1491555.9349086361,1808620.7933079596,1651967.3572353597
17,1977-01-01,1495901.8158819533,1811844.5960193616,1657353.1186590353
18,1978-01-01,1512436.4980569342,1829806.0562272256,1672289.6185441993
19,1979-01-01,1528728.1725846322,1839465.650580666,1685102.8038495816
20,1980-01-01,1538937.9028034273,1850955.0477141945,1695787.6839278545
21,1981-01-01,1540813.4903595464,1866508.1284325195,1701166.3347155578
22,1982-01-01,1547453.7027418953,1871469.7920563528,1716092.3400651861
23,1983-01-01,1565689.112031287,1889246.0118498774,1728895.0308350255
24,1984-01-01,1573916.1491797268,1897345.748425786,1739542.8312476855
25,1985-01-01,1593153.2668578352,1911679.1971556456,1744865.4605982865
26,1986-01-01,1600512.4082720343,1927155.4134379888,1759743.678303834
27,1987-01-01,1591910.1860039944,1902256.5737304415,1753132.3906077999
28,1988-01-01,1583370.4434564887,1902968.1550384844,1744395.211491197
29,1989-01-01,1561864.1987064958,1878684.1829400433,1730282.6575885061
30,1990-01-01,1558738.5376046884,1880893.1405190844,1725778.793634378
31,1991-01-01,1556918.6121888438,1875120.4556772276,1719151.574149631
32,1992-01-01,1550325.2415678888,1858052.6995393147,1710398.4632443173
33,1993-01-01,1533041.4917339582,1856181.046922865,1696285.867125892
34,1994-01-01,1522878.3155474742,1846728.778717018,1691781.9610713543
35,1995-01-01,1533219.4257564838,1825567.131228487,1685154.7399746736
36,1996-01-01,1519852.3882206583,1836822.863384467,1676401.6274574236
37,1997-01-01,1498271.368020542,1821241.418067309,1662289.0298212958
38,1998-01-01,1488634.2362587135,1814769.220592999,1657785.1222531889
39,1999-01-01,1506987.7787438154,1809954.4093769658,1651157.8996219486
40,2000-01-01,1484974.350153188,1806533.7885322226,1642404.78604523
41,2001-01-01,1473253.543883544,1780602.2009467704,1628292.1884007824
42,2002-01-01,1462047.391323596,1781810.3457907736,1623789.5421360577
43,2003-01-01,1466146.3250965974,1779954.489246819,1617163.5812915363
44,2004-01-01,1453243.3180728743,1756568.0194604415,1608424.716176241
45,2005-01-01,1446248.5623499951,1760383.0494847533,1594326.4060301231
46,2006-01-01,1430040.2294531038,1739425.5712922076,1589852.3804104181
47,2007-01-01,1428936.9713139797,1751480.473786083,1583255.040210945
48,2008-01-01,1413539.575249582,1722186.0745412998,1574537.6379117742
49,2009-01-01,1397756.1668072604,1720421.142757083,1560460.8493840203
50,2010-01-01,1399023.5484578428,1715016.035514228,1555992.653085212
51,2011-01-01,1392926.9751807484,1724721.2730512908,1549401.1422066106
52,2012-01-01,1390478.1661735352,1698945.0593857602,1540683.7399074403
53,2013-01-01,1357595.7412383251,1683676.142414694,1526606.951379683
54,2014-01-01,1361804.1811912986,1687926.536688765,1522138.7550808885
55,2015-01-01,1366155.0783514893,1677284.5745213248,1515547.244202275
56,2016-01-01,1360673.1585114424,1660106.9205995705,1506829.8419031058
57,2017-01-01,1342798.811466888,1649751.716721639,1492753.0533753498
58,2018-01-01,1335804.0205632614,1651646.483573136,1488284.8570765415
59,2019-01-01,1317107.3663379545,1640679.2596064217,1481693.3461979404
60,2020-01-01,1335944.5630990183,1639038.1614175541,1472975.943898773
61,2021-01-01,1306142.0604043945,1608047.562221527,1458899.1553710275
62,2022-01-01,1292823.1549934263,1611409.2771667934,1454430.95907221
63,2023-01-01,1294289.342168048,1608806.2907142534,1447839.448193603
64,2024-01-01,1280143.493692744,1599988.3648513588,1439122.04589443
65,2025-01-01,1271773.6129199003,1571729.1319094528,1425045.2573666717
66,2026-01-01,1269369.5001905982,1584654.2876350472,1420577.0610678778
67,2027-01-01,1265512.4415417197,1569459.6562717713,1413985.55018927
68,2028-01-01,1252205.6189134996,1561594.6026241316,1405268.1478901021
69,2029-01-01,1231844.5841111531,1549198.1510011223,1391191.3593623575
70,2030-01-01,1221685.5691603897,1543952.321116367,1386723.1630635196
