,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1.3399307552851615e-09,1.3353886760461918e-09,0.0
1,1961-01-01,-1.2471902035467393e-09,1.3070640013296728e-09,0.0
2,1962-01-01,-1.2839560421688224e-09,1.3226181085462208e-09,0.0
3,1963-01-01,-1.286676932590048e-09,1.327002584427789e-09,0.0
4,1964-01-01,-1.1686370340481735e-09,1.3024346790399578e-09,0.0
5,1965-01-01,-1.2514706609677884e-09,1.2019329170240345e-09,0.0
6,1966-01-01,-1.2536245246468502e-09,1.254352101937261e-09,0.0
7,1967-01-01,-1.3808342429869216e-09,1.2623029024355317e-09,0.0
8,1968-01-01,-1.3593366099473785e-09,1.2074738482061678e-09,0.0
9,1969-01-01,-1.2731175323721462e-09,1.3865331100826124e-09,0.0
10,1970-01-01,-1.2901536291964474e-09,1.3908707814030023e-09,0.0
11,1971-01-01,-1.1776302880882425e-09,1.2384278680529604e-09,0.0
12,1972-01-01,-1.3372089421116265e-09,1.3753106113943106e-09,0.0
13,1973-01-01,-1.2291090299948888e-09,1.3032584574136538e-09,0.0
14,1974-01-01,-1.3106465664363465e-09,1.2752334070328143e-09,0.0
15,1975-01-01,-1.4058911626272838e-09,1.192803154355744e-09,0.0
16,1976-01-01,-1.3301541336250516e-09,1.2122087638210239e-09,0.0
17,1977-01-01,-1.3151908668379983e-09,1.1967059424066516e-09,0.0
18,1978-01-01,-1.297989717640744e-09,1.308137197662465e-09,0.0
19,1979-01-01,-1.2787781687630704e-09,1.335503643451241e-09,0.0
20,1980-01-01,-1.3223185309851772e-09,1.3035202976153931e-09,0.0
21,1981-01-01,-1.1381907557224584e-09,1.2900664735663463e-09,0.0
22,1982-01-01,-1.2541219203076668e-09,1.2594040574765562e-09,0.0
23,1983-01-01,-1.3087134936652428e-09,1.142313676334013e-09,0.0
24,1984-01-01,-1.2452250891654665e-09,1.2651585715593172e-09,0.0
25,1985-01-01,-1.1990723136788052e-09,1.3110060242435865e-09,0.0
26,1986-01-01,-1.2099077224006934e-09,1.3162331261346683e-09,0.0
27,1987-01-01,-1.1379350733487223e-09,1.4109465360857812e-09,0.0
28,1988-01-01,-1.1712299815636867e-09,1.200855628664089e-09,0.0
29,1989-01-01,-1.2848444939228015e-09,1.3112113994922826e-09,0.0
30,1990-01-01,-1.2409505819985619e-09,1.3051572430605236e-09,0.0
31,1991-01-01,-1.3005820099770184e-09,1.2794190590187236e-09,0.0
32,1992-01-01,-1.3350889122516273e-09,1.3175802474997494e-09,0.0
33,1993-01-01,-1.2271395308197167e-09,1.2790304125093048e-09,0.0
34,1994-01-01,-1.2793535218996417e-09,1.216297132513717e-09,0.0
35,1995-01-01,-1.3200627104176617e-09,1.2876182591061977e-09,0.0
36,1996-01-01,-1.2482779367253904e-09,1.315015254306586e-09,0.0
37,1997-01-01,-1.3085829239697417e-09,1.3393227650036527e-09,0.0
38,1998-01-01,-1.324398188633134e-09,1.227616388846546e-09,0.0
39,1999-01-01,-1.2737371123292357e-09,1.2263794629965167e-09,0.0
40,2000-01-01,-1.3572274353798561e-09,1.2718337827936059e-09,0.0
41,2001-01-01,-1.2667971111302378e-09,1.253112896973778e-09,0.0
42,2002-01-01,-1.377636220956491e-09,1.1948200206007162e-09,0.0
43,2003-01-01,-1.2837233664601588e-09,1.2702250054150867e-09,0.0
44,2004-01-01,-1.2361818048902508e-09,1.2932254977720005e-09,0.0
45,2005-01-01,-1.2269314447193405e-09,1.2315536530448056e-09,0.0
46,2006-01-01,-1.2740076879897487e-09,1.2091855328256196e-09,0.0
47,2007-01-01,-1.2198591808623065e-09,1.2267114323094611e-09,0.0
48,2008-01-01,-1.3517641307119462e-09,1.2327583201021795e-09,0.0
49,2009-01-01,-1.337063470711475e-09,1.2805100847972434e-09,0.0
50,2010-01-01,-1.3097741898294974e-09,1.3681353044314499e-09,0.0
51,2011-01-01,-1.3235933968376788e-09,1.2257673440166157e-09,0.0
52,2012-01-01,-1.2144491038675986e-09,1.2181423913611714e-09,0.0
53,2013-01-01,-1.22371472575087e-09,1.3084472025095987e-09,0.0
54,2014-01-01,-1.2269830532365995e-09,1.1737295844638202e-09,0.0
55,2015-01-01,-1.363049115058559e-09,1.35263358606844e-09,0.0
56,2016-01-01,-1.2036887455832253e-09,1.273591685367818e-09,0.0
57,2017-01-01,-1.3031075566890712e-09,1.2949931671262173e-09,0.0
58,2018-01-01,-1.3766407561884373e-09,1.1712454325037022e-09,0.0
59,2019-01-01,-1.251777382626691e-09,1.2798780898815617e-09,0.0
60,2020-01-01,-1.2927023297060106e-09,1.2399449009300642e-09,0.0
61,2021-01-01,-1.3284261258376431e-09,1.2668761830210137e-09,0.0
62,2022-01-01,-1.2612004849669692e-09,1.289322087821009e-09,0.0
63,2023-01-01,-1.295936507725958e-09,1.3618489498312956e-09,0.0
64,2024-01-01,-1.4156833712839582e-09,1.5846416200235134e-09,0.0
65,2025-01-01,-1.6110302352315587e-09,1.7336112766240181e-09,0.0
66,2026-01-01,-1.865805935028181e-09,1.9854285776101082e-09,0.0
67,2027-01-01,-2.170245013861313e-09,2.3262932870590266e-09,0.0
68,2028-01-01,-2.456090351476272e-09,2.7832374550423305e-09,0.0
69,2029-01-01,-3.04334113925193e-09,3.056909403205022e-09,0.0
70,2030-01-01,-3.684388913450489e-09,3.566177975555271e-09,0.0
