,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1.350606440549673e-09,1.3264825958678674e-09,0.0
1,1961-01-01,-1.1921465557567457e-09,1.2967131254542675e-09,0.0
2,1962-01-01,-1.2586847675614e-09,1.146129938557821e-09,0.0
3,1963-01-01,-1.3101962584550578e-09,1.2113109971994427e-09,0.0
4,1964-01-01,-1.1873271693977115e-09,1.3052999747401896e-09,0.0
5,1965-01-01,-1.1681288721916158e-09,1.2204010225506082e-09,0.0
6,1966-01-01,-1.262115244060018e-09,1.3273841302427583e-09,0.0
7,1967-01-01,-1.321091949166575e-09,1.2634399499213975e-09,0.0
8,1968-01-01,-1.3032127492282324e-09,1.2440650965301077e-09,0.0
9,1969-01-01,-1.3261458491170314e-09,1.247207308530436e-09,0.0
10,1970-01-01,-1.2282921686573623e-09,1.2587127473318497e-09,0.0
11,1971-01-01,-1.255199693770156e-09,1.29905274479934e-09,0.0
12,1972-01-01,-1.247488716221519e-09,1.2611986736722084e-09,0.0
13,1973-01-01,-1.2355598715781027e-09,1.1940109967265702e-09,0.0
14,1974-01-01,-1.2675013521031955e-09,1.3384095314392412e-09,0.0
15,1975-01-01,-1.293596982588388e-09,1.2477907111035168e-09,0.0
16,1976-01-01,-1.2664658342077513e-09,1.3050784694882835e-09,0.0
17,1977-01-01,-1.2755652208580766e-09,1.2346886549570415e-09,0.0
18,1978-01-01,-1.3696966722368343e-09,1.1923786748257486e-09,0.0
19,1979-01-01,-1.2722095157515975e-09,1.2801411980623634e-09,0.0
20,1980-01-01,-1.2841843524132191e-09,1.2433314687349633e-09,0.0
21,1981-01-01,-1.3102875093138037e-09,1.3662328358115075e-09,0.0
22,1982-01-01,-1.327091182481611e-09,1.2019007805937437e-09,0.0
23,1983-01-01,-1.255626689563381e-09,1.1928458936409425e-09,0.0
24,1984-01-01,-1.2885424722111407e-09,1.2259013015180674e-09,0.0
25,1985-01-01,-1.2360126538910803e-09,1.2950879985805274e-09,0.0
26,1986-01-01,-1.2840340185456075e-09,1.3402016770849274e-09,0.0
27,1987-01-01,-1.2945005412356459e-09,1.2623644621038534e-09,0.0
28,1988-01-01,-1.2606415330964732e-09,1.2962257838452723e-09,0.0
29,1989-01-01,-1.3653599972869127e-09,1.2441985698613953e-09,0.0
30,1990-01-01,-1.3015001629430908e-09,1.2251102350231268e-09,0.0
31,1991-01-01,-1.2411630914292463e-09,1.3097131153773856e-09,0.0
32,1992-01-01,-1.2213747742247206e-09,1.3045544029417262e-09,0.0
33,1993-01-01,-1.340258773187347e-09,1.329337338159718e-09,0.0
34,1994-01-01,-1.2908894987965113e-09,1.311668587942524e-09,0.0
35,1995-01-01,-1.3198891252716203e-09,1.1773868720624825e-09,0.0
36,1996-01-01,-1.281828890873598e-09,1.1724121062274352e-09,0.0
37,1997-01-01,-1.27640486886659e-09,1.2950299323640802e-09,0.0
38,1998-01-01,-1.3135868315113416e-09,1.280649610700367e-09,0.0
39,1999-01-01,-1.242589239795872e-09,1.3174407263082506e-09,0.0
40,2000-01-01,-1.26865007270001e-09,1.2520279039662037e-09,0.0
41,2001-01-01,-1.258538953435117e-09,1.2963085418104005e-09,0.0
42,2002-01-01,-1.2197450466134948e-09,1.2694741156282337e-09,0.0
43,2003-01-01,-1.3273432373346638e-09,1.2367846827973363e-09,0.0
44,2004-01-01,-1.2704286536368388e-09,1.260931213439341e-09,0.0
45,2005-01-01,-1.2214051410305656e-09,1.4031304409320611e-09,0.0
46,2006-01-01,-1.3521979392752008e-09,1.252747498231647e-09,0.0
47,2007-01-01,-1.2931016766592074e-09,1.3099618833386461e-09,0.0
48,2008-01-01,-1.349011896609064e-09,1.2705346667036295e-09,0.0
49,2009-01-01,-1.3191414474595469e-09,1.3169547448865344e-09,0.0
50,2010-01-01,-1.3351884268101335e-09,1.3204313926791513e-09,0.0
51,2011-01-01,-1.2568297766799189e-09,1.2978720295463644e-09,0.0
52,2012-01-01,-1.178747307916115e-09,1.2994396367015574e-09,0.0
53,2013-01-01,-1.2421469920726771e-09,1.2905191595965218e-09,0.0
54,2014-01-01,-1.1972597797362844e-09,1.2993910983865916e-09,0.0
55,2015-01-01,-1.2761604214687068e-09,1.3611611836068737e-09,0.0
56,2016-01-01,-1.2002181266184658e-09,1.3131118461260348e-09,0.0
57,2017-01-01,-1.2686469951478984e-09,1.278570231023581e-09,0.0
58,2018-01-01,-1.3136242582827325e-09,1.3003209751310281e-09,0.0
59,2019-01-01,-1.1478135190848187e-09,1.2935348577403588e-09,0.0
60,2020-01-01,-1.2524504093690956e-09,1.270313910866796e-09,0.0
61,2021-01-01,-1.300994422407803e-09,1.2422749976284366e-09,0.0
62,2022-01-01,-1.3661708193771748e-09,1.1918390966963012e-09,0.0
63,2023-01-01,-1.3444491605399722e-09,1.4395448866801595e-09,0.0
64,2024-01-01,-1.4781506850451884e-09,1.3711544986129682e-09,0.0
65,2025-01-01,-1.7531082040170351e-09,1.5598173475832494e-09,0.0
66,2026-01-01,-1.8184929284299961e-09,1.8035301383467746e-09,0.0
67,2027-01-01,-2.177482941562077e-09,2.126700459692274e-09,0.0
68,2028-01-01,-2.786974117547769e-09,2.5165730567694905e-09,0.0
69,2029-01-01,-2.8772094799510747e-09,2.8768388524866635e-09,0.0
70,2030-01-01,-3.356099993726703e-09,3.0821445929247347e-09,0.0
