,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1.313775101336318e-09,1.2808125117434348e-09,0.0
1,1961-01-01,-1.1357877393704983e-09,1.2704229080420695e-09,0.0
2,1962-01-01,-1.3391082777485998e-09,1.2271745883906411e-09,0.0
3,1963-01-01,-1.4393758038770492e-09,1.2561064441334376e-09,0.0
4,1964-01-01,-1.2226341220902729e-09,1.268826819628727e-09,0.0
5,1965-01-01,-1.2338469568839214e-09,1.403631405751826e-09,0.0
6,1966-01-01,-1.3272759776017874e-09,1.296689186924101e-09,0.0
7,1967-01-01,-1.2082346868039177e-09,1.296811010299045e-09,0.0
8,1968-01-01,-1.2252589386964972e-09,1.2748608115639468e-09,0.0
9,1969-01-01,-1.300240741491935e-09,1.326540521740877e-09,0.0
10,1970-01-01,-1.261381054711182e-09,1.2819093882970764e-09,0.0
11,1971-01-01,-1.3181742941638941e-09,1.311064363831105e-09,0.0
12,1972-01-01,-1.2851693209928666e-09,1.2437946467806256e-09,0.0
13,1973-01-01,-1.2710396715170372e-09,1.3002297524394937e-09,0.0
14,1974-01-01,-1.2848557185807537e-09,1.36432720353424e-09,0.0
15,1975-01-01,-1.307751576949381e-09,1.3699633625579733e-09,0.0
16,1976-01-01,-1.2889152189849798e-09,1.3026902823468224e-09,0.0
17,1977-01-01,-1.2360005034550836e-09,1.3044533522249765e-09,0.0
18,1978-01-01,-1.2521796465762862e-09,1.2566665251330955e-09,0.0
19,1979-01-01,-1.3084677691258942e-09,1.2205954236089187e-09,0.0
20,1980-01-01,-1.3056410824305057e-09,1.2173378022268411e-09,0.0
21,1981-01-01,-1.402050590039373e-09,1.3140471189695518e-09,0.0
22,1982-01-01,-1.2896038310007976e-09,1.2276602333926183e-09,0.0
23,1983-01-01,-1.3187781101954224e-09,1.2457886459061432e-09,0.0
24,1984-01-01,-1.2799073209094022e-09,1.2759228052888083e-09,0.0
25,1985-01-01,-1.341929375676332e-09,1.3111530208216478e-09,0.0
26,1986-01-01,-1.3323958557409192e-09,1.1827300371286386e-09,0.0
27,1987-01-01,-1.2157806748352963e-09,1.1947078463726327e-09,0.0
28,1988-01-01,-1.2960779647276937e-09,1.338600532830885e-09,0.0
29,1989-01-01,-1.3310360310411438e-09,1.2275061484246546e-09,0.0
30,1990-01-01,-1.2820031788307374e-09,1.2908066651903801e-09,0.0
31,1991-01-01,-1.3518156306148119e-09,1.2338834896267374e-09,0.0
32,1992-01-01,-1.4405771619044983e-09,1.1979640052316317e-09,0.0
33,1993-01-01,-1.232936905644183e-09,1.1622927074802987e-09,0.0
34,1994-01-01,-1.282461319663186e-09,1.284189900248521e-09,0.0
35,1995-01-01,-1.2151205235005722e-09,1.4322374185727698e-09,0.0
36,1996-01-01,-1.2302256354221532e-09,1.4369461575424087e-09,0.0
37,1997-01-01,-1.2640400564621903e-09,1.2267204843353435e-09,0.0
38,1998-01-01,-1.233668149118689e-09,1.2573709991713593e-09,0.0
39,1999-01-01,-1.2581226084042454e-09,1.3156956659501105e-09,0.0
40,2000-01-01,-1.237650959178449e-09,1.3293971707692527e-09,0.0
41,2001-01-01,-1.3680869515691497e-09,1.2995077202527014e-09,0.0
42,2002-01-01,-1.245447490059414e-09,1.1894536117828077e-09,0.0
43,2003-01-01,-1.3595909697044337e-09,1.313236980480794e-09,0.0
44,2004-01-01,-1.3272081029651369e-09,1.3109465873641137e-09,0.0
45,2005-01-01,-1.2530994758385653e-09,1.2950298861680183e-09,0.0
46,2006-01-01,-1.2173741420021976e-09,1.2536024341791112e-09,0.0
47,2007-01-01,-1.3053662625561034e-09,1.2050140550380517e-09,0.0
48,2008-01-01,-1.2763405029310776e-09,1.2527502870829328e-09,0.0
49,2009-01-01,-1.230310222236289e-09,1.1899663118574259e-09,0.0
50,2010-01-01,-1.2259425052117031e-09,1.2467210684187388e-09,0.0
51,2011-01-01,-1.2683377661597548e-09,1.3009583511358326e-09,0.0
52,2012-01-01,-1.3141683941700868e-09,1.1285409684712216e-09,0.0
53,2013-01-01,-1.350030825030824e-09,1.2937979500073774e-09,0.0
54,2014-01-01,-1.2428686151487089e-09,1.362943424108457e-09,0.0
55,2015-01-01,-1.3759831285673638e-09,1.389089332273023e-09,0.0
56,2016-01-01,-1.1920737263694574e-09,1.2312441588872228e-09,0.0
57,2017-01-01,-1.2847214522540768e-09,1.3437769487990003e-09,0.0
58,2018-01-01,-1.2060592657357383e-09,1.1882196669587986e-09,0.0
59,2019-01-01,-1.4535218212133844e-09,1.3072169329501956e-09,0.0
60,2020-01-01,-1.3963337383151495e-09,1.233449141655797e-09,0.0
61,2021-01-01,-1.2634957367665763e-09,1.34040036238842e-09,0.0
62,2022-01-01,-1.3320377591649378e-09,1.3499173807818713e-09,0.0
63,2023-01-01,-1.4600843796889053e-09,1.3665761691642222e-09,0.0
64,2024-01-01,-1.5243910374910593e-09,1.5611979671888563e-09,0.0
65,2025-01-01,-1.6593492715563398e-09,1.7752441663934809e-09,0.0
66,2026-01-01,-2.152988427113673e-09,1.8417433307248599e-09,0.0
67,2027-01-01,-2.3833867056377295e-09,2.1652913144254323e-09,0.0
68,2028-01-01,-2.7163675176864543e-09,2.4510050158122132e-09,0.0
69,2029-01-01,-3.03448723134289e-09,2.9467750509660995e-09,0.0
70,2030-01-01,-3.5465893903287905e-09,3.5405917474325987e-09,0.0
