,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1.2755066422379975e-09,1.3361322869247407e-09,0.0
1,1961-01-01,-1.3018175690572038e-09,1.1906701430404392e-09,0.0
2,1962-01-01,-1.3199515638544436e-09,1.2424285208943016e-09,0.0
3,1963-01-01,-1.3927373138062903e-09,1.320403142639426e-09,0.0
4,1964-01-01,-1.2735903337771287e-09,1.2817630267983619e-09,0.0
5,1965-01-01,-1.3134466114857866e-09,1.2759578361656048e-09,0.0
6,1966-01-01,-1.3008580905205058e-09,1.2814996514215306e-09,0.0
7,1967-01-01,-1.3286557742212925e-09,1.2817263869316624e-09,0.0
8,1968-01-01,-1.2634687137744907e-09,1.2869971205145376e-09,0.0
9,1969-01-01,-1.3303180677676262e-09,1.3182015064007797e-09,0.0
10,1970-01-01,-1.2693031248291147e-09,1.243603497169248e-09,0.0
11,1971-01-01,-1.1716307274611306e-09,1.2791240649517525e-09,0.0
12,1972-01-01,-1.3063319151269475e-09,1.2169128009162673e-09,0.0
13,1973-01-01,-1.2951448533884106e-09,1.239793143360538e-09,0.0
14,1974-01-01,-1.2347393967543882e-09,1.3569953448343215e-09,0.0
15,1975-01-01,-1.297748206329805e-09,1.2400074867143209e-09,0.0
16,1976-01-01,-1.2687098069340708e-09,1.3350074903034521e-09,0.0
17,1977-01-01,-1.238012208580305e-09,1.2762310315121884e-09,0.0
18,1978-01-01,-1.3380639732687772e-09,1.3115165878909793e-09,0.0
19,1979-01-01,-1.322019873478976e-09,1.2716037194167534e-09,0.0
20,1980-01-01,-1.3495419637262532e-09,1.2883647663792744e-09,0.0
21,1981-01-01,-1.260306745928018e-09,1.3039589714749047e-09,0.0
22,1982-01-01,-1.1886280755614324e-09,1.2112827675507539e-09,0.0
23,1983-01-01,-1.244715501132227e-09,1.2587226230592647e-09,0.0
24,1984-01-01,-1.3180426210205804e-09,1.2561025005006833e-09,0.0
25,1985-01-01,-1.3113270620881643e-09,1.2783891822050483e-09,0.0
26,1986-01-01,-1.2812318454183534e-09,1.2304068106260104e-09,0.0
27,1987-01-01,-1.2239357708985125e-09,1.1981512032024287e-09,0.0
28,1988-01-01,-1.3534674548562247e-09,1.2959641583561134e-09,0.0
29,1989-01-01,-1.3030059781247753e-09,1.3157649042868254e-09,0.0
30,1990-01-01,-1.2999960389475655e-09,1.288504374478789e-09,0.0
31,1991-01-01,-1.300752745698902e-09,1.3430546053259151e-09,0.0
32,1992-01-01,-1.3789828407691191e-09,1.239342506926346e-09,0.0
33,1993-01-01,-1.2173552820264069e-09,1.2833600089478137e-09,0.0
34,1994-01-01,-1.2373749441139343e-09,1.2101458524794837e-09,0.0
35,1995-01-01,-1.2382901277558195e-09,1.27057072032781e-09,0.0
36,1996-01-01,-1.268746544618011e-09,1.285163067343629e-09,0.0
37,1997-01-01,-1.3482984263856587e-09,1.285091995071794e-09,0.0
38,1998-01-01,-1.2586044547723778e-09,1.2389200778763317e-09,0.0
39,1999-01-01,-1.288618001869588e-09,1.3402398675732284e-09,0.0
40,2000-01-01,-1.3695777015604554e-09,1.2253024547833765e-09,0.0
41,2001-01-01,-1.3269569101176944e-09,1.3000764932766047e-09,0.0
42,2002-01-01,-1.1750256793191969e-09,1.2439159564651677e-09,0.0
43,2003-01-01,-1.2391723807899157e-09,1.3293729069691323e-09,0.0
44,2004-01-01,-1.327360796942935e-09,1.3034627243832897e-09,0.0
45,2005-01-01,-1.3412559682920164e-09,1.3276917344777839e-09,0.0
46,2006-01-01,-1.337974230501498e-09,1.3487148678452288e-09,0.0
47,2007-01-01,-1.3125620492424344e-09,1.1606581626026267e-09,0.0
48,2008-01-01,-1.2859579526549525e-09,1.251653587834138e-09,0.0
49,2009-01-01,-1.285084290521191e-09,1.2633961886855192e-09,0.0
50,2010-01-01,-1.3016109617929795e-09,1.297497360476034e-09,0.0
51,2011-01-01,-1.191292501980566e-09,1.257181287419305e-09,0.0
52,2012-01-01,-1.3074282843966528e-09,1.326623912148179e-09,0.0
53,2013-01-01,-1.192551811554325e-09,1.34126239397001e-09,0.0
54,2014-01-01,-1.19672108112247e-09,1.380173234428587e-09,0.0
55,2015-01-01,-1.1870721842488237e-09,1.2588184561878837e-09,0.0
56,2016-01-01,-1.3096124380986804e-09,1.212164794669065e-09,0.0
57,2017-01-01,-1.2837728943535666e-09,1.2785401420288637e-09,0.0
58,2018-01-01,-1.2717277219564131e-09,1.2026982273486268e-09,0.0
59,2019-01-01,-1.3155245287917935e-09,1.2317066371968053e-09,0.0
60,2020-01-01,-1.2697672288966847e-09,1.3642287083842776e-09,0.0
61,2021-01-01,-1.238074631793062e-09,1.2745354010247711e-09,0.0
62,2022-01-01,-1.3074807336867354e-09,1.234222732979116e-09,0.0
63,2023-01-01,-1.476219421159068e-09,1.4458605361581242e-09,0.0
64,2024-01-01,-1.4640797345233454e-09,1.4190780854499665e-09,0.0
65,2025-01-01,-1.7503033563673591e-09,1.5230879960541935e-09,0.0
66,2026-01-01,-1.937387838101799e-09,1.832344144360819e-09,0.0
67,2027-01-01,-2.252675258930295e-09,2.289399523297341e-09,0.0
68,2028-01-01,-2.6615404925052482e-09,2.539789560151353e-09,0.0
69,2029-01-01,-2.9563629332602405e-09,2.8710055508967103e-09,0.0
70,2030-01-01,-3.5564081345096347e-09,3.345540564010697e-09,0.0
