,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,471.02687418226685,628.9814637163695,549.405638760695
1,1961-01-01,508.36995827473606,663.1555374676191,590.019733918062
2,1962-01-01,514.3676738683074,674.109031778869,595.6965124942708
3,1963-01-01,538.8972720738566,696.2906023228958,612.6013557553686
4,1964-01-01,561.7417085320154,712.7421143618615,640.7430874701064
5,1965-01-01,600.9702000174684,760.467423908535,681.3571826533584
6,1966-01-01,607.7323111347955,768.1303736031625,687.0339612553823
7,1967-01-01,624.8101867274067,784.494235955234,703.9388045641931
8,1968-01-01,652.1030245781174,817.7184299451445,732.0805363266687
9,1969-01-01,693.8673340335426,851.35573341519,772.6946315620402
10,1970-01-01,696.2330276261615,856.2131703922498,778.371410249586
11,1971-01-01,720.2964867764854,871.678313159079,795.276253613195
12,1972-01-01,748.2453237237728,901.5993538945288,823.4179854311649
13,1973-01-01,787.2003140083566,946.9038950353918,864.0320807008231
14,1974-01-01,793.9621949696641,951.3224279674149,869.7088593821335
15,1975-01-01,802.7083993727473,963.1291811728577,886.6137027394814
16,1976-01-01,834.6813400001638,997.8349629292661,914.7509143714865
17,1977-01-01,876.8168842446985,1038.5934069071213,955.360477071108
18,1978-01-01,885.8125264730561,1038.8148059185432,961.0311060312059
19,1979-01-01,902.5498475060582,1063.4082105906043,977.9297996673207
20,1980-01-01,929.6277414522364,1088.7713872189647,1006.0496831401556
21,1981-01-01,969.5593648871703,1125.205422666344,1046.6418702061792
22,1982-01-01,976.5718380999317,1123.0848102986106,1052.2806619459975
23,1983-01-01,998.0283641485182,1152.1892304511998,1069.1475183618732
24,1984-01-01,1023.6516017283236,1177.8629007829256,1097.2503973131695
25,1985-01-01,1050.5555922792873,1207.5842424417253,1132.3700429493636
26,1986-01-01,1051.908744946699,1208.0214704426535,1132.5673841616906
27,1987-01-01,1052.8972275395017,1210.1255168604093,1133.5204009020658
28,1988-01-01,1064.109773381209,1220.6169461673335,1145.7103060961388
29,1989-01-01,1093.181578700152,1246.026582893638,1170.3281394423827
30,1990-01-01,1082.3920137246953,1241.0742048428049,1160.052361840816
31,1991-01-01,1083.320665931385,1240.9483395170585,1161.0001287450216
32,1992-01-01,1091.3539473804985,1255.8482530803412,1173.1847841029155
33,1993-01-01,1117.5131390544361,1279.2407930231477,1197.7977480035768
34,1994-01-01,1104.2892239665907,1264.838055952361,1187.5171142610568
35,1995-01-01,1110.1681244099436,1269.1220986662606,1188.4636532451068
36,1996-01-01,1118.4190777940662,1273.698133483605,1200.6470806828822
37,1997-01-01,1142.7664997241654,1304.245218876475,1225.254131370987
38,1998-01-01,1130.7992388378252,1286.1615241773109,1214.9676005722965
39,1999-01-01,1132.460174504145,1295.3903893017964,1215.9090656011278
40,2000-01-01,1150.3117594616767,1303.8326574626274,1228.0866218180506
41,2001-01-01,1174.8925642978465,1332.1656854237656,1252.6928040193056
42,2002-01-01,1162.2311385513199,1317.3999040531714,1242.405406911338
43,2003-01-01,1163.907470398015,1326.713697436471,1243.3460744794709
44,2004-01-01,1177.6335097036037,1332.09895041192,1255.5236304549942
45,2005-01-01,1196.8079609570477,1359.5596740950507,1280.1298124141063
46,2006-01-01,1194.7728115561779,1346.0713413129893,1269.8424152814737
47,2007-01-01,1196.3276760407218,1358.3174167099323,1270.7830828247656
48,2008-01-01,1204.920578697604,1360.5020095204504,1282.9606388186235
49,2009-01-01,1226.0613582694548,1389.427661523655,1307.566820796083
50,2010-01-01,1214.7065970541423,1378.3965662561632,1297.2794236601565
51,2011-01-01,1222.8309398211106,1384.7727773602276,1298.2200912003063
52,2012-01-01,1236.0046584473691,1397.9205061405942,1310.3976471941526
53,2013-01-01,1252.993176661313,1412.2677209155415,1335.0038291716555
54,2014-01-01,1244.3226179949688,1399.460265969405,1324.716432035655
55,2015-01-01,1247.472775934661,1405.5541243668795,1325.6570995758568
56,2016-01-01,1257.9902630301704,1417.3241680871308,1337.8346555696828
57,2017-01-01,1282.6065975049132,1442.8915625708137,1362.4408375471794
58,2018-01-01,1271.621734411047,1428.7749157081687,1352.1534404112554
59,2019-01-01,1283.8533292740688,1432.1607602699542,1353.0941079514182
60,2020-01-01,1286.8790142332214,1446.0068204065312,1365.2716639452065
61,2021-01-01,1313.787523416577,1471.9423611477275,1389.8778459226528
62,2022-01-01,1301.2321827127253,1460.782751534467,1379.5904487867867
63,2023-01-01,1302.7513336994643,1460.3352516093742,1380.5311163269564
64,2024-01-01,1312.7078021188645,1472.9058474875744,1392.7086723208424
65,2025-01-01,1338.820367125821,1492.4016207682882,1417.3148542983424
66,2026-01-01,1325.4075621260986,1486.2358380458186,1407.0274571623181
67,2027-01-01,1329.3245916068304,1489.0088322291408,1407.9681247025158
68,2028-01-01,1341.7006332734918,1498.5819566974433,1420.1456806963108
69,2029-01-01,1364.5612333897943,1523.8018838079163,1444.7518626737506
70,2030-01-01,1360.907423472337,1517.5635076720155,1434.4644655379675
