,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1058.7869851860348,1732.071458176454,1388.70837830772
1,1961-01-01,1148.4699087159645,1763.8993703515896,1455.7253384611265
2,1962-01-01,1202.506485836074,1862.898163351179,1526.615135762384
3,1963-01-01,1233.8542160223521,1873.5263495517277,1552.1029880689907
4,1964-01-01,1202.1976355480492,1855.0253842638178,1532.1962633489343
5,1965-01-01,1275.1785410827194,1915.8147646387472,1599.2132235104132
6,1966-01-01,1344.193745468877,1981.917919088397,1670.1030208197071
7,1967-01-01,1384.1552082262017,1989.9799447569058,1695.5908731454376
8,1968-01-01,1320.2411056282017,1984.0003847488201,1675.6841484444085
9,1969-01-01,1394.9879833294501,2072.931318927153,1742.7011085481947
10,1970-01-01,1484.0259250122344,2150.303356695182,1813.5909058118166
11,1971-01-01,1501.7071713210905,2164.972370161009,1839.078758100719
12,1972-01-01,1496.7690851210289,2135.5268914321114,1819.1720332916675
13,1973-01-01,1584.4342394048242,2220.2944883412533,1886.1889933360126
14,1974-01-01,1600.1483678336929,2279.280209642176,1957.078790493516
15,1975-01-01,1651.6717362072588,2320.7737836422216,1982.5666426763423
16,1976-01-01,1665.2094372469694,2317.547063836773,1962.6599178659587
17,1977-01-01,1695.7121978702041,2341.098947584217,2029.676877908959
18,1978-01-01,1736.6686375089655,2444.4628041855904,2100.566675116302
19,1979-01-01,1817.5532325034453,2484.973690423552,2126.0545273489834
20,1980-01-01,1743.309974181463,2429.377300776071,2106.147802507532
21,1981-01-01,1851.259160453656,2489.9795915008,2173.1647625194746
22,1982-01-01,1917.3513937956516,2576.6420664726575,2244.0545596973607
23,1983-01-01,1925.7830701803687,2596.8138287329252,2269.542411900486
24,1984-01-01,1940.935699574104,2589.8539389341204,2249.6356870495465
25,1985-01-01,1987.9899777385028,2625.4028587667617,2316.6526472082114
26,1986-01-01,2073.8615404632114,2725.126076100346,2387.5424445143244
27,1987-01-01,2081.2001142506097,2740.2279665013343,2413.040677429897
28,1988-01-01,2044.0777718228826,2732.1740086388536,2393.1443333185302
29,1989-01-01,2121.2549204850825,2788.9792287318055,2460.186286565504
30,1990-01-01,2178.7409668829423,2869.154875599534,2531.1010086731803
31,1991-01-01,2227.631847039403,2900.7854805321967,2556.646343995604
32,1992-01-01,2199.286998065239,2864.7742763809542,2536.797102291251
33,1993-01-01,2294.5070168738325,2953.126629642844,2603.911434702384
34,1994-01-01,2350.0441813611806,3013.9564831766684,2674.8983382164915
35,1995-01-01,2374.7845006533726,3029.847945776961,2700.513420656621
36,1996-01-01,2352.098945222601,3008.524593845966,2680.7339260697076
37,1997-01-01,2453.260041834411,3093.1000540283694,2766.959308846992
38,1998-01-01,2525.6366329153284,3175.7005386588503,2857.0050467423603
39,1999-01-01,2603.5049152869587,3222.4996108906766,2901.6947448086057
40,2000-01-01,2560.9743155269744,3240.570781134079,2901.04377958613
41,2001-01-01,2668.9610382881897,3320.39437682588,2987.369254723242
42,2002-01-01,2757.9231002054444,3414.05704837213,3077.6081223841466
43,2003-01-01,2754.9390138973827,3429.9636606048207,3122.4450450701997
44,2004-01-01,2782.4460283655785,3451.154380895177,3121.9426966792876
45,2005-01-01,2894.1424468350747,3557.535127851411,3208.417195816791
46,2006-01-01,2964.4309977729354,3599.2377233548173,3298.7150936900034
47,2007-01-01,3025.436831429078,3670.36735643656,3343.611046588889
48,2008-01-01,3024.944955068048,3703.737357623586,3343.132193095207
49,2009-01-01,3096.438338325598,3746.111173187139,3429.630251500084
50,2010-01-01,3191.57169653065,3872.2208503016923,3519.9479200080555
51,2011-01-01,3227.230770541195,3898.47106360309,3564.8636435411972
52,2012-01-01,3242.9622823539403,3905.1294814883836,3564.3847900476376
53,2013-01-01,3314.711931706275,3984.4163839657185,3650.882848452324
54,2014-01-01,3409.235369892804,4091.8722876441966,3741.200516960476
55,2015-01-01,3449.3189248126205,4106.7520237664485,3786.116240493529
56,2016-01-01,3455.860395643575,4116.135101130699,3785.6373870000284
57,2017-01-01,3521.5239636721526,4200.084244230042,3872.135445404745
58,2018-01-01,3617.5972752655543,4318.4481759953605,3962.453113912728
59,2019-01-01,3681.1592497322945,4327.98168327924,4007.368837445783
60,2020-01-01,3692.283072306376,4336.04545759275,4006.88998395252
61,2021-01-01,3761.58106948718,4408.596903048576,4093.388042357321
62,2022-01-01,3875.0307932443156,4504.468010178153,4183.705710865082
63,2023-01-01,3912.4172500726227,4554.491993104788,4228.621434398248
64,2024-01-01,3916.835149052451,4558.508635134861,4228.142580904448
65,2025-01-01,3988.186302887532,4617.310389975742,4314.6406393092
66,2026-01-01,4092.6306895176613,4753.264006836862,4404.958307817452
67,2027-01-01,4124.00007290678,4780.1035326416895,4449.874031350426
68,2028-01-01,4102.633325155401,4778.3468793828415,4449.3951778571945
69,2029-01-01,4194.618957648332,4864.509193406401,4535.893236261988
70,2030-01-01,4295.428371013237,4960.258975275859,4626.21090476964
