,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1030.3098935197927,1397.3495368226977,1214.7648902708977
1,1961-01-01,1102.3823026311304,1474.0826928388951,1303.1285814918886
2,1962-01-01,1176.281813839334,1527.9962925679963,1355.5929209170322
3,1963-01-01,1256.8053313305998,1610.4716277585194,1437.5910303527935
4,1964-01-01,1361.436506036263,1724.273684072451,1549.1293906426267
5,1965-01-01,1438.777440657144,1813.6065637504732,1637.4930815601988
6,1966-01-01,1503.6174436171548,1864.9541688324734,1689.9574206827615
7,1967-01-01,1588.2795651467,1972.9263516964338,1771.9566335855468
8,1968-01-01,1707.3651721754472,2064.034171385618,1883.49609734245
9,1969-01-01,1791.656696154695,2149.578941320998,1971.8660620450562
10,1970-01-01,1845.174171806938,2216.36518554563,2024.3562226282552
11,1971-01-01,1914.9345484607225,2284.414640691951,2106.3801534055087
12,1972-01-01,2028.1089259697587,2395.1436198633155,2217.953553827925
13,1973-01-01,2134.4292988196376,2494.3974150765334,2306.352380997812
14,1974-01-01,2166.7770346503,2547.5904636622267,2358.8522674096803
15,1975-01-01,2256.257344753891,2621.2285581836923,2440.8859240155543
16,1976-01-01,2372.8879809364585,2727.233411566541,2552.461751198974
17,1977-01-01,2463.7381174142624,2825.6509981248946,2640.863011778508
18,1978-01-01,2509.6450072034877,2868.10335920965,2693.364817995895
19,1979-01-01,2587.716874874308,2955.321209213978,2775.4003944072665
20,1980-01-01,2696.876887646569,3068.5091305564847,2886.976221937242
21,1981-01-01,2804.613941634111,3167.6670870441167,2975.377482864239
22,1982-01-01,2838.536744792496,3212.6311863298088,3027.8792890114482
23,1983-01-01,2916.077675073517,3300.7546731979405,3109.914865352726
24,1984-01-01,3040.024788332131,3411.466706925072,3221.465910039886
25,1985-01-01,3132.3435580151827,3489.0545294503286,3309.8142924078657
26,1986-01-01,3180.569028100119,3532.3146998197894,3362.2633648077385
27,1987-01-01,3236.7602901944315,3616.0032855319964,3418.70728181339
28,1988-01-01,3316.2200397393526,3698.270988837343,3504.691449673259
29,1989-01-01,3381.5940439066712,3741.961690900278,3567.3615907013004
30,1990-01-01,3390.704231466509,3784.409515837349,3594.202580890298
31,1991-01-01,3461.7810940609916,3844.6789723270867,3650.572451682313
32,1992-01-01,3555.7492542279742,3924.985764024347,3736.482573328486
33,1993-01-01,3602.146935690105,3982.1372618116075,3799.146354486938
34,1994-01-01,3629.499125253975,4015.2318912593737,3825.981002183367
35,1995-01-01,3709.6047386033956,4068.366404366072,3882.34942004707
36,1996-01-01,3764.1266164390863,4135.654005083629,3968.2580887650797
37,1997-01-01,3849.1296135818234,4212.314829460933,4030.921869766385
38,1998-01-01,3866.8287589581137,4240.197545131213,4057.7565173062712
39,1999-01-01,3916.3763567192786,4283.255921323022,4114.125023217814
40,2000-01-01,4025.9465470873834,4396.933498130026,4200.035622598096
41,2001-01-01,4077.25482160873,4440.851506551699,4262.701339681741
42,2002-01-01,4109.828137133707,4468.369927284045,4289.566989672055
43,2003-01-01,4154.144273052843,4516.6933338356885,4345.966409856522
44,2004-01-01,4255.494759565911,4623.680427896359,4434.144231801073
45,2005-01-01,4312.31099896766,4684.707954378412,4499.083383017811
46,2006-01-01,4343.512610742253,4711.03839163145,4528.193036856097
47,2007-01-01,4392.90138025769,4778.497877529173,4586.836460888141
48,2008-01-01,4483.0131831221215,4861.1295299774665,4675.020819373263
49,2009-01-01,4563.813337571499,4940.0499395637835,4739.966525038626
50,2010-01-01,4592.399378089435,4941.016934325642,4769.076862475445
51,2011-01-01,4640.814942065415,5017.478370755944,4827.720970106368
52,2012-01-01,4719.096095855076,5090.827569620419,4915.905328591434
53,2013-01-01,4804.782634085109,5156.781381724441,4980.851034256918
54,2014-01-01,4821.082852217172,5195.1444590632955,5009.96137169359
55,2015-01-01,4885.483828024143,5254.683767644366,5068.605479324607
56,2016-01-01,4974.74193058782,5360.603343278441,5156.789837809614
57,2017-01-01,5037.056717136674,5418.205922648508,5221.735543475076
58,2018-01-01,5067.399907523687,5432.877136874637,5250.845880911888
59,2019-01-01,5137.908912911664,5495.545828867045,5309.489988542861
60,2020-01-01,5214.6819453362,5586.017926461813,5397.674347027746
61,2021-01-01,5284.860042891677,5648.243702596753,5462.620052693117
62,2022-01-01,5315.346244485985,5701.663312736799,5491.73039013009
63,2023-01-01,5363.174238223463,5735.526827758318,5550.374497761029
64,2024-01-01,5445.419766139095,5817.176370524715,5638.55885624622
65,2025-01-01,5520.100904937397,5885.939141177696,5703.504561911677
66,2026-01-01,5540.745313700567,5918.242290587428,5732.614899348284
67,2027-01-01,5600.3307717017415,5969.183493015047,5791.259006979319
68,2028-01-01,5690.8217097283805,6056.084374323773,5879.443365464195
69,2029-01-01,5761.08774380008,6139.204869201951,5944.389071129565
70,2030-01-01,5796.728849030648,6157.365121266851,5973.499408566658
