,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,3952.640552942008,4741.879161085364,4341.589677502662
1,1961-01-01,3955.211239300372,4778.40247661308,4396.7059906977875
2,1962-01-01,4067.4462517209786,4917.202811630746,4496.550738070045
3,1963-01-01,4112.720298728408,4966.247217646596,4572.219648218455
4,1964-01-01,4209.28598007797,5037.378068282,4623.72261139412
5,1965-01-01,4288.384481087288,5111.027691265651,4678.838924560321
6,1966-01-01,4329.798126275712,5222.6970319179245,4778.683671903706
7,1967-01-01,4409.728266102827,5263.13464984701,4854.352582009163
8,1968-01-01,4488.4420149426915,5345.325099264399,4905.855545141811
9,1969-01-01,4540.574732705416,5357.004606380529,4960.971858192216
10,1970-01-01,4629.289972615301,5467.574846442888,5060.81660232637
11,1971-01-01,4716.188938767401,5543.470513646761,5136.485509243858
12,1972-01-01,4772.984444542099,5611.7343809312315,5187.981762033917
13,1973-01-01,4811.961825646122,5678.4754757506025,5243.091346451769
14,1974-01-01,4918.211075742014,5768.310078051401,5342.870604539563
15,1975-01-01,5009.015781301915,5838.965706641939,5418.474025410725
16,1976-01-01,5043.93173121117,5830.879779884867,5418.913969935795
17,1977-01-01,5015.3850609209385,5853.282491790204,5422.827365792055
18,1978-01-01,5038.404911095494,5905.099001523633,5471.594027341905
19,1979-01-01,5061.349415638495,5920.536714679314,5496.184851675157
20,1980-01-01,5087.242814774737,5885.340429058822,5496.599883919839
21,1981-01-01,5086.516283876094,5913.355696241726,5500.4882992429375
22,1982-01-01,5144.662613413202,5946.751768416008,5549.18752090494
23,1983-01-01,5172.359654890722,5981.378166422497,5573.710905350252
24,1984-01-01,5153.504302798663,5967.166412506833,5574.008168264866
25,1985-01-01,5156.893894916384,5961.623686375686,5577.764273072468
26,1986-01-01,5243.936211723582,6045.4358439931075,5626.389140495162
27,1987-01-01,5235.230323981236,6050.871902768924,5650.777333309548
28,1988-01-01,5236.39712502248,6060.639148647586,5650.99957915108
29,1989-01-01,5234.970222486335,6036.607122274545,5654.69258774895
30,1990-01-01,5299.013195565972,6134.624913535719,5703.254531356146
31,1991-01-01,5330.529960447543,6149.953926309183,5727.591032570813
32,1992-01-01,5306.144276230496,6156.823612882667,5727.761586812625
33,1993-01-01,5287.904282729232,6134.8058580750085,5731.4048436869325
34,1994-01-01,5342.065342628834,6182.60313312364,5779.917171504065
35,1995-01-01,5383.3997085376795,6234.84522750482,5804.20617942361
36,1996-01-01,5400.34381129943,6212.119177171193,5804.329240370089
37,1997-01-01,5392.737219615738,6227.41202313186,5807.924285709653
38,1998-01-01,5436.763182151868,6267.009981396676,5856.38853371731
39,1999-01-01,5447.629142104869,6299.397366611138,5880.676942522732
40,2000-01-01,5432.881889566535,6306.410094678016,5880.791925561425
41,2001-01-01,5491.788430857138,6300.319432259285,5884.379469626027
42,2002-01-01,5503.440768098725,6342.294491458773,5932.830748074665
43,2003-01-01,5535.621392635464,6389.091733423631,5957.106189306652
44,2004-01-01,5557.097687166408,6374.563551051398,5957.215675526016
45,2005-01-01,5542.059775135213,6370.087007231222,5960.797707711319
46,2006-01-01,5610.511055067993,6448.289798338654,6009.248978009332
47,2007-01-01,5598.6104224441915,6432.2232186406045,6033.524411090722
48,2008-01-01,5623.778620053638,6452.970475819115,6033.633897206132
49,2009-01-01,5645.17929164711,6434.732565577656,6037.215929287464
50,2010-01-01,5683.494814680044,6475.531320687608,6085.667199592423
51,2011-01-01,5695.166549938956,6561.826868020292,6109.94263268074
52,2012-01-01,5703.058992742216,6532.8153918106955,6110.052118796121
53,2013-01-01,5681.460162956657,6558.766693390168,6113.634150877378
54,2014-01-01,5744.415736487751,6559.383548753914,6162.0854211823735
55,2015-01-01,5774.730310542444,6569.470324222808,6186.360854270591
56,2016-01-01,5762.735093705518,6583.571611927969,6186.470340386106
57,2017-01-01,5777.44606086257,6598.6511727748775,6190.0523724672785
58,2018-01-01,5803.004936418873,6615.314708244191,6238.503642772234
59,2019-01-01,5857.873830145943,6722.254662222901,6262.779075860322
60,2020-01-01,5875.997962085579,6691.1324425200555,6262.888561976099
61,2021-01-01,5855.4203226377085,6695.529933412045,6266.470594057258
62,2022-01-01,5889.665063545911,6731.422740797037,6314.921864362156
63,2023-01-01,5918.107629732731,6759.108889829804,6339.197297450423
64,2024-01-01,5931.553378827646,6771.216708133425,6339.306783565663
65,2025-01-01,5880.3291932370275,6744.137548113951,6342.888815647068
66,2026-01-01,5992.1520124704875,6782.649112391765,6391.340085952057
67,2027-01-01,5984.885761997927,6827.72996438249,6415.615519040124
68,2028-01-01,5973.89447468428,6821.959261187811,6415.72500515586
69,2029-01-01,6003.8736109399415,6840.2696350964925,6419.307037237074
70,2030-01-01,6041.748539099808,6911.052084303396,6467.7583075418725
