,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1803.3178316823019,2276.122060919953,2039.2042269852852
1,1961-01-01,1844.9170993044272,2323.5461674111416,2087.9050170084865
2,1962-01-01,1840.9174928187417,2309.9441600643595,2081.0459150093557
3,1963-01-01,1867.2346833237884,2342.4614934391684,2101.6631502054533
4,1964-01-01,1919.5411048119809,2384.7873080423587,2149.745965288785
5,1965-01-01,1954.412157591475,2442.519284466704,2198.4467552854885
6,1966-01-01,1958.0017943305195,2429.1227173797583,2191.587653259964
7,1967-01-01,1948.0805476839043,2431.9067355776883,2212.204888609873
8,1968-01-01,2020.0187338870337,2504.458746787067,2260.287703847081
9,1969-01-01,2069.345693719174,2549.9569791251065,2308.9884939317894
10,1970-01-01,2060.416484018541,2543.4670002864113,2302.1293919322743
11,1971-01-01,2090.6082089813785,2563.293522532609,2322.7466272426327
12,1972-01-01,2140.5433744441234,2599.338207246027,2370.8294423460484
13,1973-01-01,2189.1204726523633,2661.790920751619,2419.5302322742236
14,1974-01-01,2169.0200001269873,2662.6524433938134,2412.671049330114
15,1975-01-01,2176.234193704945,2684.164392765282,2433.2882036958035
16,1976-01-01,2250.6484164482367,2710.952516047561,2481.370937864036
17,1977-01-01,2288.402627092317,2752.4206119495043,2530.071646635288
18,1978-01-01,2288.3081531242774,2768.8128337826806,2523.212273906245
19,1979-01-01,2301.853505372354,2775.891591771234,2543.829238486984
20,1980-01-01,2364.3118008582433,2827.8452361694476,2591.9117830053856
21,1981-01-01,2414.662756304426,2873.317749063758,2640.6123016071865
22,1982-01-01,2390.880028426807,2877.3872782926487,2633.7529289959716
23,1983-01-01,2410.074667601981,2889.262621420399,2654.3698936946594
24,1984-01-01,2454.908647744187,2940.7786258238134,2702.4524383233684
25,1985-01-01,2519.0827993996545,2990.94618232632,2751.153022254862
26,1986-01-01,2517.0457916869645,2979.6120997115295,2744.293714727427
27,1987-01-01,2523.3104768242406,2991.7428967929905,2764.9242433914333
28,1988-01-01,2577.3940716326065,3042.544683025485,2813.0203519428
29,1989-01-01,2618.1903309405043,3091.0108797481957,2861.7406139920545
30,1990-01-01,2632.666254684966,3119.072078724361,2854.9009308167724
31,1991-01-01,2632.5084232766712,3099.2698204439785,2875.5449218677513
32,1992-01-01,2684.994569890148,3179.8287528967803,2923.6544928061103
33,1993-01-01,2747.6856430005764,3214.758714075516,2972.4211174912143
34,1994-01-01,2743.2985969268,3207.465655167532,2965.627670278128
35,1995-01-01,2753.5289958939234,3227.5699152899547,2986.3451190981013
36,1996-01-01,2801.5950638412087,3271.242443427634,3034.528147805714
37,1997-01-01,2840.668421503379,3325.3335490691616,3083.352921416389
38,1998-01-01,2833.2164294410813,3319.299129415037,3076.6174642523174
39,1999-01-01,2867.3723836631534,3313.5035573641912,3097.41206608136
40,2000-01-01,2930.020902576014,3410.6622006854172,3168.820210673985
41,2001-01-01,2994.976472143445,3476.696518508594,3240.910235103502
42,2002-01-01,3020.904736722332,3487.3347151528924,3257.4030354781034
43,2003-01-01,3051.527890758869,3534.1295129821547,3301.372173162565
44,2004-01-01,3122.805225996261,3604.0696086868174,3372.8420386533553
45,2005-01-01,3215.1994223671613,3692.31416985517,3444.99395307956
46,2006-01-01,3221.7748467423057,3683.392589241079,3461.5342045512407
47,2007-01-01,3258.3748819076754,3737.704738645099,3505.5507933327367
48,2008-01-01,3339.7084092539385,3805.820016626587,3577.041655931992
49,2009-01-01,3407.622377513518,3890.1779883026616,3649.214624992694
50,2010-01-01,3442.379139850814,3910.2498482983374,3665.763570394685
51,2011-01-01,3441.547484220104,3939.9674520022577,3709.7888531065037
52,2012-01-01,3524.5988874036307,4019.30430685917,3781.2797157057935
53,2013-01-01,3623.064588725466,4102.303060812822,3853.45268476661
54,2014-01-01,3628.4049451753444,4101.526272606256,3870.001630168542
55,2015-01-01,3665.7435068228992,4149.856556442268,3914.0269128804844
56,2016-01-01,3752.892432347979,4242.466480653592,3985.5177754795914
57,2017-01-01,3835.8197592281904,4293.5586589079985,4057.6907445405177
58,2018-01-01,3842.6485840599803,4315.22300887811,4074.2396899425066
59,2019-01-01,3864.8646561609835,4347.065855174939,4118.2649726546015
60,2020-01-01,3955.9834595786665,4425.552126383448,4189.755835253401
61,2021-01-01,4013.166631858754,4503.323533386649,4261.928804314335
62,2022-01-01,4029.1257707779087,4497.65367960062,4278.477749716406
63,2023-01-01,4090.8956701033294,4565.613709434029,4322.503032428276
64,2024-01-01,4167.226269179321,4652.511523940808,4393.993895027744
65,2025-01-01,4231.885663847686,4702.33923240954,4466.166864088385
66,2026-01-01,4252.000665462589,4720.459934061661,4482.715809490315
67,2027-01-01,4298.368764015314,4765.064034519269,4526.741092202428
68,2028-01-01,4365.641855676427,4857.983000762054,4598.2319548013
69,2029-01-01,4431.032730528678,4926.08740355799,4670.40492386215
70,2030-01-01,4439.49703744984,4924.575073167663,4686.953869264333
