,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1677.1404338818886,2603.561483139062,2132.4740139780342
1,1961-01-01,1710.6230018885813,2670.5862974674797,2207.3312457962256
2,1962-01-01,1714.3912512964857,2626.7905258199376,2168.3515003945
3,1963-01-01,1683.141214113248,2615.6121672308223,2135.3007318520695
4,1964-01-01,1630.1698172535366,2552.499539992231,2108.207480346535
5,1965-01-01,1732.5633596039029,2649.7634148480583,2183.0647121779243
6,1966-01-01,1674.1787649207922,2622.0377400096736,2144.084966789379
7,1967-01-01,1611.4092050273298,2546.146323246679,2111.034198241255
8,1968-01-01,1642.3141300204973,2573.2936057255124,2083.9409467300447
9,1969-01-01,1716.19151855854,2607.9888010355116,2158.798178575176
10,1970-01-01,1637.2863797728764,2557.5425271190798,2119.8247468746595
11,1971-01-01,1617.0709715383236,2529.2446864821286,2086.7802920212034
12,1972-01-01,1591.9618545038693,2532.8246895321818,2059.69336813631
13,1973-01-01,1683.0856078183097,2599.3534617139803,2134.5569449232157
14,1974-01-01,1670.246086677744,2581.0765453402487,2095.599429152492
15,1975-01-01,1578.1862233933068,2513.5149778048544,2062.5708902287606
16,1976-01-01,1570.4716553669855,2493.878673029736,2035.5143005000914
17,1977-01-01,1622.2646757063667,2577.4890800660837,2110.4082945504847
18,1978-01-01,1629.711526278051,2535.767781139076,2071.487027062892
19,1979-01-01,1564.9537475784034,2472.9571446165464,2038.4947364222505
20,1980-01-01,1529.8393590255196,2481.665847824046,2011.506537197589
21,1981-01-01,1662.6912763982186,2539.9838792187384,2086.469109123266
22,1982-01-01,1573.3739543045235,2485.2781048932056,2047.6368087909693
23,1983-01-01,1558.5925134715947,2466.841656278909,2014.7334853056923
24,1984-01-01,1590.022095913774,2544.658798694607,2076.6066245913253
25,1985-01-01,1788.2238333137582,2702.5287344716244,2240.6807461812723
26,1986-01-01,1828.4890662811313,2745.3978857356888,2290.6741285575704
27,1987-01-01,1880.7508960043785,2760.917130052544,2346.6697541247795
28,1988-01-01,1946.7585474301097,2902.2121582148784,2408.622896728884
29,1989-01-01,2095.277021641276,3010.3943971861504,2572.8174468179554
30,1990-01-01,2188.716143705798,3065.0868340343477,2622.9309286535636
31,1991-01-01,2222.831350748408,3146.280511201822,2678.973658307515
32,1992-01-01,2293.900479557541,3216.8198635926105,2740.9739049984523
33,1993-01-01,2469.952984421978,3386.872807206443,2905.1690219425036
34,1994-01-01,2506.0877565145893,3450.048790577457,2955.2830690843903
35,1995-01-01,2540.6810286597356,3452.170843386536,3011.3260930662123
36,1996-01-01,2572.0847821975644,3528.3619551791367,3073.3266340849987
37,1997-01-01,2774.958333724982,3697.9122607437853,3237.5217510106577
38,1998-01-01,2827.7454240095344,3736.8592929593956,3287.6357981342703
39,1999-01-01,2911.6355022322277,3850.446526664639,3343.678822095607
40,2000-01-01,2956.4810505398386,3834.210412092626,3405.679363100879
41,2001-01-01,3102.173734873435,4056.91051317256,3569.874480024661
42,2002-01-01,3139.7761594616904,4111.667086871684,3619.988527139565
43,2003-01-01,3193.8993119516963,4143.8810810335,3676.0315511015287
44,2004-01-01,3281.132784141243,4201.519238048961,3738.0320921062
45,2005-01-01,3430.175440920382,4377.861164394852,3902.2272090287393
46,2006-01-01,3452.3767979348195,4398.347107449471,3952.3412561342207
47,2007-01-01,3516.3926390607526,4474.864433809331,4008.3842800866432
48,2008-01-01,3610.9474804323618,4513.760703891862,4070.3848210732094
49,2009-01-01,3787.3879292158854,4711.509119916987,4234.579937977838
50,2010-01-01,3840.78261197706,4743.5996328348,4284.69398508039
51,2011-01-01,3839.0055350041116,4789.995331230893,4340.737009029936
52,2012-01-01,3962.0407649426706,4870.312330427627,4402.737550016562
53,2013-01-01,4075.4776682241954,5026.967371062564,4566.93266692121
54,2014-01-01,4133.786135654274,5060.151830298698,4617.046714023654
55,2015-01-01,4210.0564322445825,5147.27013761068,4673.089737973332
56,2016-01-01,4246.295078843536,5162.710934726028,4735.090278959903
57,2017-01-01,4435.251046285966,5381.749297180182,4899.285395864584
58,2018-01-01,4482.217840977331,5382.793040602678,4949.399442967132
59,2019-01-01,4549.497881308531,5461.170892466385,5005.442466916737
60,2020-01-01,4614.0315386530265,5540.615279261828,5067.443007903298
61,2021-01-01,4757.048499922091,5695.522880316663,5231.638124807889
62,2022-01-01,4816.662798926125,5731.242142638218,5281.752171910472
63,2023-01-01,4880.416787521097,5853.763514030511,5337.795195860112
64,2024-01-01,4962.475946529577,5860.283808142869,5399.795736846708
65,2025-01-01,5143.404218679724,6066.709021994238,5563.990853751353
66,2026-01-01,5169.280306949268,6090.712943006715,5614.104900853826
67,2027-01-01,5171.449327833404,6130.860855184217,5670.147924803459
68,2028-01-01,5269.763114165782,6208.208654532078,5732.14846579008
69,2029-01-01,5423.533497305811,6395.9416329633505,5896.343582694632
70,2030-01-01,5462.087409274465,6412.806217326888,5946.457629797402
