,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,798.2930716744227,983.4064647676032,894.2254127138835
1,1961-01-01,864.9986856895463,1055.0819654979102,957.6687556376
2,1962-01-01,882.1381477182842,1084.9002310566946,979.4102689943642
3,1963-01-01,900.1800695461496,1088.5072351244778,997.38492562357
4,1964-01-01,914.0568425722466,1105.8370622490338,1011.6242224099243
5,1965-01-01,972.383419416581,1171.825603101458,1075.067565333143
6,1966-01-01,1004.1973739651561,1198.166881514385,1096.8090786894077
7,1967-01-01,1021.0050305264791,1211.067471196932,1114.783735333969
8,1968-01-01,1030.2945676654867,1223.3818351025266,1129.0230321356603
9,1969-01-01,1102.8136810693418,1296.5020095423286,1192.4663750850061
10,1970-01-01,1118.3096847315999,1307.5080863955307,1214.2078887446362
11,1971-01-01,1130.6529336142642,1329.6764010473978,1232.1825456795582
12,1972-01-01,1149.3699743590648,1350.259575279054,1246.4221558842564
13,1973-01-01,1211.1301743196573,1411.095638860297,1309.8658130821389
14,1974-01-01,1247.8427425930633,1440.895181063221,1345.2013040460056
15,1975-01-01,1279.6876649757492,1471.3267493258043,1376.7699382851433
16,1976-01-01,1299.9683004045999,1497.9337153301926,1404.6321078443011
17,1977-01-01,1390.7681523560168,1584.327407805978,1481.7356464770605
18,1978-01-01,1424.168995544091,1622.6845938801212,1517.1246757092265
19,1979-01-01,1444.3701375730438,1647.676717474453,1548.7468482166498
20,1980-01-01,1478.2045859745883,1674.3660662618236,1576.6768330062664
21,1981-01-01,1552.757427961364,1752.1094099965226,1653.8483726646582
22,1982-01-01,1588.3453795273103,1789.0581938621467,1689.2906516011765
23,1983-01-01,1623.4146748276985,1818.4166122249903,1720.9660738129337
24,1984-01-01,1645.3844676561184,1846.6654559663675,1748.9385981664725
25,1985-01-01,1723.0191379447215,1923.633304282695,1826.1633205885464
26,1986-01-01,1765.8111947870211,1974.2065778437304,1861.648559401328
27,1987-01-01,1800.0669234032432,1985.4638408423734,1893.3829932306332
28,1988-01-01,1819.9509588532233,2019.5925153947842,1921.3820672170846
29,1989-01-01,1905.283649943685,2094.543124426698,1998.6291502217805
30,1990-01-01,1934.7330313818488,2127.1558392512707,2034.1366885226407
31,1991-01-01,1978.1065925534024,2174.67066530235,2072.698523386285
32,1992-01-01,1997.0572543908802,2203.254024782789,2107.5249984070706
33,1993-01-01,2091.794959095993,2302.444209097708,2196.5172440607357
34,1994-01-01,2147.910377065706,2349.4541945259252,2243.737854402284
35,1995-01-01,2185.3155764182197,2385.3135635836597,2287.192055019742
36,1996-01-01,2226.3481215706133,2421.899587088292,2326.910895794182
37,1997-01-01,2340.287770273218,2523.9818911169273,2430.87355244403
38,1998-01-01,2393.657246923973,2586.126356910345,2493.0236710193694
39,1999-01-01,2451.3476009466767,2658.403137793919,2551.4162600844315
40,2000-01-01,2503.0821677071617,2708.0153572903473,2606.082136202317
41,2001-01-01,2616.7809388723444,2811.7240807446124,2710.062816206626
42,2002-01-01,2672.2179936412363,2871.704592798379,2772.2309088896727
43,2003-01-01,2726.7481730638888,2926.63617016195,2830.6321448480785
44,2004-01-01,2787.1741969573764,2983.4291199207737,2885.2980209534826
45,2005-01-01,2894.4311700944877,3097.0016819683347,2989.2787009448234
46,2006-01-01,2955.5280691581283,3147.3820343405437,3051.442809608954
47,2007-01-01,3008.0499569165554,3205.8463454076973,3109.8400615481764
48,2008-01-01,3059.937366441164,3252.812410324215,3154.0065884396176
49,2009-01-01,3148.783173907083,3349.178397778438,3247.459153876938
50,2010-01-01,3199.8199308462486,3387.9908544893965,3299.127897335932
51,2011-01-01,3246.273819568009,3448.847915862373,3347.029784070253
52,2012-01-01,3296.995642941042,3497.1734657352627,3391.196310961661
53,2013-01-01,3379.554421619931,3588.4215820683808,3484.648876398968
54,2014-01-01,3430.76845646415,3629.678090600848,3536.31761985786
55,2015-01-01,3473.0122054036965,3680.274681151655,3584.219506592198
56,2016-01-01,3525.592327249938,3729.609933515216,3628.3860334837013
57,2017-01-01,3614.2039185500457,3820.215841556033,3721.8385989209205
58,2018-01-01,3672.9295049918,3863.6554164919776,3773.507342379915
59,2019-01-01,3724.6432241619586,3922.6583056131894,3821.4092291140378
60,2020-01-01,3769.182855444799,3968.1874100169107,3865.57575600574
61,2021-01-01,3856.9821468342816,4054.631304498467,3959.0283214428487
62,2022-01-01,3912.068016912469,4112.314698477578,4010.697064901886
63,2023-01-01,3955.9764069748157,4158.324587685273,4058.5989516362097
64,2024-01-01,4000.980841955725,4210.320582442542,4102.765478527528
65,2025-01-01,4098.715758731181,4297.456306823088,4196.218043964976
66,2026-01-01,4146.099897923038,4351.612847115803,4247.886787423842
67,2027-01-01,4191.105050027969,4401.461112096205,4295.788674158004
68,2028-01-01,4236.488251262477,4447.713401559011,4339.95520104969
69,2029-01-01,4325.104278924961,4533.940717865111,4433.407766486831
70,2030-01-01,4373.408573018163,4592.012889801004,4485.076509945955
