,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1972.5402141981515,2883.7276416820373,2432.1757832014155
1,1961-01-01,2172.5690110205865,3103.2429363053375,2623.6926442378235
2,1962-01-01,2195.5092676958157,3115.838589633867,2663.8781450949605
3,1963-01-01,2263.064673305302,3185.5808730599906,2701.5464913574315
4,1964-01-01,2264.0899051530355,3197.359132550665,2736.7569226292344
5,1965-01-01,2477.718972340196,3379.597081828773,2928.273783633456
6,1966-01-01,2526.104372841127,3405.2623021675827,2968.4592844585127
7,1967-01-01,2566.272547552807,3458.813396733869,3006.127630718197
8,1968-01-01,2575.2564256402406,3493.6207373816596,3041.3380619872014
9,1969-01-01,2774.065760324903,3710.626371988018,3232.854922995754
10,1970-01-01,2838.3563351447265,3740.071597837597,3273.0404238337514
11,1971-01-01,2868.4988572545117,3768.1296823916455,3310.7087700828615
12,1972-01-01,2890.8525824441235,3790.7869437363365,3345.919201324941
13,1973-01-01,3071.617755929821,3993.8650405928674,3537.436062325631
14,1974-01-01,3121.133937006811,4073.5169415819973,3577.621563130263
15,1975-01-01,3206.786341363964,4068.82545000912,3615.2899093459287
16,1976-01-01,3179.3589693139634,4099.127690484665,3650.5003406162928
17,1977-01-01,3391.7176586702794,4303.523897851853,3842.017201645327
18,1978-01-01,3419.708332460653,4356.950904774137,3882.2027024804893
19,1979-01-01,3484.993862084806,4385.056281279232,3919.871048726626
20,1980-01-01,3510.5562034804866,4409.155510928434,3955.0814800063554
21,1981-01-01,3734.763388072595,4635.4954053166275,4146.598341044833
22,1982-01-01,3739.8329689682305,4629.516060474901,4186.783841966111
23,1983-01-01,3769.659515068452,4678.257241071445,4224.4521882984045
24,1984-01-01,3810.72822742644,4731.528574652028,4259.718458088306
25,1985-01-01,4002.0703523794105,4931.442459849286,4451.33787591558
26,1986-01-01,4037.3216466500407,4940.118558769111,4491.625653353912
27,1987-01-01,4063.6705236097478,4986.455242033454,4529.482971013657
28,1988-01-01,4113.1637057824955,5064.286750323576,4564.882373682703
29,1989-01-01,4327.156060591197,5216.685187103057,4756.703903584275
30,1990-01-01,4366.658892208969,5280.069071121297,4797.1932408779185
31,1991-01-01,4417.499340018517,5326.237270924989,4842.375293483264
32,1992-01-01,4421.841361092189,5350.835427318931,4885.0994310980095
33,1993-01-01,4641.0748265787,5535.805841599683,5084.238606244517
34,1994-01-01,4679.685805782046,5557.563301009989,5132.025595216928
35,1995-01-01,4734.272190208959,5585.81285037887,5177.360716782183
36,1996-01-01,4777.2052301847,5729.356026560887,5220.237923356632
37,1997-01-01,4955.8625933840785,5901.145617266536,5458.27305712769
38,1998-01-01,5079.276803715225,6019.170845583057,5544.849731613589
39,1999-01-01,5192.624810047242,6082.712166383975,5629.021954086173
40,2000-01-01,5251.556046315001,6172.911128192383,5710.8394345047745
41,2001-01-01,5490.855050462535,6432.401274945635,5949.091035228461
42,2002-01-01,5560.349038226963,6517.828269008067,6035.941323121708
43,2003-01-01,5656.745524859788,6539.779456241591,6120.274456426116
44,2004-01-01,5709.470762063263,6655.807854928305,6202.22654617377
45,2005-01-01,5982.089026270549,6927.385361054643,6440.613125018077
46,2006-01-01,6068.271734935797,6949.62146983832,6527.601410357868
47,2007-01-01,6162.7896695727295,7078.375166547663,6612.072541108504
48,2008-01-01,6249.191273958296,7128.460472647559,6694.097166268764
49,2009-01-01,6504.188350335552,7412.2921317585715,6932.556479253375
50,2010-01-01,6560.63618261416,7457.566362520343,7019.556173993156
51,2011-01-01,6668.658101473947,7573.490252460679,7104.038714144012
52,2012-01-01,6701.241527571316,7647.227411263752,7186.063339304306
53,2013-01-01,6976.1229833448215,7877.991552354421,7424.5226522889025
54,2014-01-01,7042.9868172760835,7940.8050289393705,7511.522347028502
55,2015-01-01,7112.420778217565,8044.486287862339,7596.004887179488
56,2016-01-01,7191.780843185517,8174.067142780079,7678.0295123398355
57,2017-01-01,7487.295342775205,8360.912968515528,7916.488825324381
58,2018-01-01,7564.187573151706,8461.392332294186,8003.48852006416
59,2019-01-01,7615.27936285396,8530.35561274206,8087.971060214869
60,2020-01-01,7704.455791324595,8620.842380434022,8169.995685375421
61,2021-01-01,7957.44970909224,8842.149273440758,8408.45499835978
62,2022-01-01,8039.157504719458,8959.19222251156,8495.454693099615
63,2023-01-01,8148.73188753082,9054.482791463903,8579.937233250563
64,2024-01-01,8167.434264996889,9158.624670239042,8661.96185841072
65,2025-01-01,8466.332127556589,9342.184162736707,8900.42117139546
66,2026-01-01,8509.632649044814,9446.074063671762,8987.42086613507
67,2027-01-01,8588.270611457137,9515.706455286521,9071.903406285834
68,2028-01-01,8708.507781318267,9623.142679224557,9153.928031446436
69,2029-01-01,8912.19251278888,9866.577151419453,9392.387344430786
70,2030-01-01,9021.534525426818,9946.83038614483,9479.387039170875
