,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1111.317417272665,1132.8594083632233,1122.1079472524968
1,1961-01-01,1095.3600532972985,1116.9077042442295,1106.1680628636282
2,1962-01-01,1079.864474834936,1100.892812176557,1089.9907575111995
3,1963-01-01,1060.830656522295,1082.177686643157,1071.6427015097017
4,1964-01-01,1040.705463752571,1061.5955099280418,1051.1423298366742
5,1965-01-01,1024.8431669093452,1045.6987046234824,1035.2306348432155
6,1966-01-01,1009.6234502348864,1030.0548983170895,1019.0814418659817
7,1967-01-01,1014.2967406562229,1036.601258644076,1026.1209091394785
8,1968-01-01,1020.7333420149047,1042.219816632087,1031.008060741429
9,1969-01-01,1030.1940069232,1051.5140274298083,1040.5542620950807
10,1970-01-01,1045.0475995980048,1066.6038076577984,1055.913203588492
11,1971-01-01,1058.6804708612838,1080.1613264386965,1069.099834607462
12,1972-01-01,1068.2251923004271,1090.243289269775,1080.1341524442425
13,1973-01-01,1085.311622852077,1106.5265309486995,1095.8169180736963
14,1974-01-01,1100.3056599418924,1122.0528309387078,1111.1758620583928
15,1975-01-01,1113.5354373379735,1134.8600470445747,1124.3624955686482
16,1976-01-01,1117.551320888892,1138.9884900703767,1128.4692824595725
17,1977-01-01,1126.2838275825757,1149.037677144621,1137.205537606332
18,1978-01-01,1113.6816174673015,1135.4150167940365,1125.0204903223437
19,1979-01-01,1100.2048138717964,1120.9142547449474,1110.663132563916
20,1980-01-01,1083.4019751508465,1105.0807176903518,1094.1534591417017
21,1981-01-01,1071.755913591638,1093.7910318406614,1082.216770522416
22,1982-01-01,1059.3564698845648,1081.4846024795338,1070.0317232757434
23,1983-01-01,1044.5706607242073,1066.6336335676635,1055.674365554597
24,1984-01-01,1041.2139989632542,1062.5383636023848,1052.2190144325414
25,1985-01-01,1054.7401818368523,1077.4097286285642,1066.1588743455209
26,1986-01-01,1069.3199990223059,1091.152103329429,1079.7796746492804
27,1987-01-01,1079.5929907668808,1101.8171225925903,1091.2286062012258
28,1988-01-01,1088.9940018672728,1110.9284586557474,1100.5252220816624
29,1989-01-01,1104.023880197714,1125.7826518167583,1114.4655249418936
30,1990-01-01,1117.3338503830953,1139.8032754978062,1128.0867669826503
31,1991-01-01,1128.7419367947005,1150.6115896022877,1139.5345160998136
32,1992-01-01,1138.0512308555608,1159.4295243625174,1148.8299495454196
33,1993-01-01,1145.1220030734448,1165.4720233248063,1154.9147369664754
34,1994-01-01,1149.5030069890054,1171.489867983335,1160.7019267250553
35,1995-01-01,1154.0798294492777,1175.4875543062858,1164.2675024257437
36,1996-01-01,1154.8541240227216,1176.7553909166706,1165.6807624547507
37,1997-01-01,1160.079182156493,1181.1821856538484,1170.2846340513936
38,1998-01-01,1164.3048162445148,1185.4181900382303,1174.594954203555
39,1999-01-01,1165.195958391101,1187.7485806360087,1176.7329638348842
40,2000-01-01,1165.980954144044,1187.67333424162,1176.7186577789626
41,2001-01-01,1171.2406920740823,1192.224695175128,1181.3225293133994
42,2002-01-01,1181.6024424205534,1203.2998949261041,1192.804227466798
43,2003-01-01,1190.4287384982715,1212.1422775420765,1202.1136151458345
44,2004-01-01,1225.4418783541726,1247.7623622336248,1236.8382917267093
45,2005-01-01,1266.0197439274757,1286.842119317671,1276.2763211926626
46,2006-01-01,1304.303383867873,1325.4914717757267,1315.342164525446
47,2007-01-01,1341.1514288639032,1362.9679718831494,1352.2356973836006
48,2008-01-01,1386.3650013886224,1408.0426182052045,1396.892863152421
49,2009-01-01,1435.2272363552295,1457.255818907677,1446.290594105581
50,2010-01-01,1485.1965719760105,1506.007588538233,1495.2723860203628
51,2011-01-01,1532.1971490690767,1553.065916533697,1542.0818674607658
52,2012-01-01,1576.176694484026,1596.2373175141327,1586.7390332295222
53,2013-01-01,1625.3417683947846,1646.5770019295555,1636.1367641826832
54,2014-01-01,1674.1324320467897,1695.6277079508623,1685.118556097385
55,2015-01-01,1720.836751307293,1742.838620719636,1731.928037537767
56,2016-01-01,1765.0096018793274,1786.9493536171622,1776.5852033066294
57,2017-01-01,1814.9244726197805,1836.6446664051207,1825.9829342596884
58,2018-01-01,1864.2497846947501,1886.2192909984071,1874.96472617447
59,2019-01-01,1910.9034047176467,1932.2740149637477,1921.7742076146687
60,2020-01-01,1955.465862487855,1977.0256300121143,1966.4313733837078
61,2021-01-01,2004.0340401258811,2027.156639356703,2015.829104336684
62,2022-01-01,2050.017021821404,2078.6522598241854,2064.810896251513
63,2023-01-01,2092.3412359173926,2130.5012173000623,2111.6203776918856
64,2024-01-01,2131.4104115598852,2183.9594457030157,2156.2775434605874
65,2025-01-01,2171.5372850122126,2246.6234789428627,2205.675274413879
66,2026-01-01,2211.024309938964,2305.8137962372875,2254.6570663285374
67,2027-01-01,2243.6622957110053,2366.7353714924457,2301.4665477687695
68,2028-01-01,2272.402296286788,2431.811110130119,2346.1237135377696
69,2029-01-01,2303.977932812867,2494.0965221375036,2395.5214444907915
70,2030-01-01,2338.0550213337347,2562.319164872981,2444.5032364056474
