,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,135927.6120200434,143444.4994734539,139616.6060668488
1,1961-01-01,137538.75161598498,144895.02634754684,141346.72890497316
2,1962-01-01,139994.61708064415,147273.19770086976,143682.5856377135
3,1963-01-01,141499.73568365694,149362.12655906202,145457.4273452558
4,1964-01-01,142505.80015338305,150409.27105160727,146672.02175796145
5,1965-01-01,144520.79965747916,152166.10719804117,148402.14459775834
6,1966-01-01,146729.04763286666,154665.1084415838,150738.00133216602
7,1967-01-01,148852.23621872225,156562.35770371993,152512.8430432119
8,1968-01-01,149823.77645208492,157579.51891481574,153727.4374594196
9,1969-01-01,151786.51334130153,158936.82109918332,155457.56029679163
10,1970-01-01,153704.9761575797,161727.84662769502,157793.41702522148
11,1971-01-01,155706.38707055163,163377.26313725504,159568.25872962043
12,1972-01-01,156947.8662481656,164419.56216216116,160782.8531367369
13,1973-01-01,158848.0053682072,166370.41820177925,162512.97596809024
14,1974-01-01,160871.08526101283,168385.81091042014,164848.83268925932
15,1975-01-01,162808.68345527604,170456.72577259393,166623.67438639802
16,1976-01-01,163925.4739779659,171508.3927312231,167838.26879178954
17,1977-01-01,165877.3183417002,173357.20358185115,169568.3916214133
18,1978-01-01,168091.02351730122,175369.38859843375,171904.24835563177
19,1979-01-01,169707.3244231778,177525.61471075437,173679.09006582055
20,1980-01-01,170869.76458444932,178903.3328001052,174896.0932290751
21,1981-01-01,172831.1893421618,180541.2739318373,176628.63141589946
22,1982-01-01,175013.05879230722,182912.59439549648,178970.8923030137
23,1983-01-01,176855.0559304795,184480.3886132065,180752.1381660955
24,1984-01-01,178733.54734513248,186371.5277155066,182526.1335029619
25,1985-01-01,180930.4210505641,188675.360464752,184818.76674514855
26,1986-01-01,184122.32238638244,191700.8222459022,187715.59696827337
27,1987-01-01,186123.76572355526,194021.811227201,190051.41216817795
28,1988-01-01,187895.28811110265,195875.51863472804,191826.980073244
29,1989-01-01,190437.78332127235,197987.93333755663,194119.61331329163
30,1990-01-01,193128.37702254576,200859.32711145084,197016.44353428698
31,1991-01-01,195634.19293994084,203295.76712819797,199352.073889443
32,1992-01-01,197375.32290200837,205061.68322676132,201127.45694975965
33,1993-01-01,199689.2676334231,207192.50110395925,203419.90475136967
34,1994-01-01,202644.12376634756,210310.91794337268,206316.5500405878
35,1995-01-01,205089.51718482285,212489.8733076895,208652.0716722398
36,1996-01-01,206751.10082616706,214337.9951608447,210427.34600904502
37,1997-01-01,208636.44049207878,215883.59081248494,212288.2942967653
38,1998-01-01,211071.12894005608,218441.38432578454,214754.61903250666
39,1999-01-01,212904.50565242063,220485.8028524519,216656.88679534107
40,2000-01-01,214209.42385245295,221720.9072761387,217998.58620701608
41,2001-01-01,216082.43260682398,223691.9822627448,219856.16227582534
42,2002-01-01,218517.3222215543,226092.41996360378,222319.12400746997
43,2003-01-01,220534.9879116115,227975.97964648218,224221.07071508575
44,2004-01-01,221883.97095087433,229231.48284831448,225562.77012904757
45,2005-01-01,224118.4122312805,231439.0080310937,227420.34620013926
46,2006-01-01,226199.05731090833,233501.740183307,229883.307936475
47,2007-01-01,227951.7847955861,235578.9469856593,231785.2546487759
48,2008-01-01,231715.3087713212,239191.85286779687,235512.6929201539
49,2009-01-01,236054.6983754964,243645.4234541892,239762.54411951362
50,2010-01-01,240825.05326881577,248732.08675719958,244611.24470976167
51,2011-01-01,245015.72722334496,252562.6221896597,248898.93027598076
52,2012-01-01,248921.07836207,256646.73664281442,252626.36854735686
53,2013-01-01,253352.73482956056,261001.0919490706,256876.219746715
54,2014-01-01,258185.26886796358,265503.86487287586,261724.92033696172
55,2015-01-01,262113.6695086507,269863.9462381283,266012.60590317857
56,2016-01-01,266058.3507497764,273424.1664260701,269740.0441745598
57,2017-01-01,270244.83558997774,277644.65721740155,273989.8953739139
58,2018-01-01,275154.7081082798,282548.52598952793,278838.595964162
59,2019-01-01,279273.0103322812,286949.7751797987,283126.2815303715
60,2020-01-01,283211.7553396638,290724.80399385386,286853.7198017624
61,2021-01-01,287390.2747189103,295105.95298794523,291103.5710011141
62,2022-01-01,291990.519146564,299573.4389933812,295952.271591362
63,2023-01-01,296544.9741254274,304210.65787652344,300239.9571575796
64,2024-01-01,300351.5152559832,307785.74790100893,303967.39542895125
65,2025-01-01,304357.9968345148,312027.3569992033,308217.24662831565
66,2026-01-01,308769.2780444778,316931.8041154362,313065.94721856137
67,2027-01-01,312777.72242701554,321670.3826806518,317353.63278477127
68,2028-01-01,316788.2086147709,325185.1859919169,321081.0710561606
69,2029-01-01,320727.03533325414,330117.0577031626,325330.9222555143
70,2030-01-01,325392.5353713645,334842.7263460685,330179.6228457616
