,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,84585.67574575312,85717.59616308207,85167.38170550531
1,1961-01-01,83841.59136089814,84945.0639641377,84382.28184950544
2,1962-01-01,83001.41476877706,84070.80924118454,83538.101428747
3,1963-01-01,81989.9612873731,83167.31305210816,82591.63614556767
4,1964-01-01,80992.96003145717,82141.5902932635,81546.36497524437
5,1965-01-01,80186.78531882963,81302.90523003814,80761.86497889976
6,1966-01-01,79369.84450773077,80504.02188629948,79918.28277883424
7,1967-01-01,78590.7954145188,79725.75885146199,79127.91668186893
8,1968-01-01,77675.92363487672,78781.59298742792,78238.74469775747
9,1969-01-01,77220.20932207779,78298.37482632007,77748.08779881874
10,1970-01-01,77076.86046741392,78164.41446662664,77593.96801461594
11,1971-01-01,76780.58646112421,77901.7418478979,77337.56336503242
12,1972-01-01,76866.08503024261,77944.6889700657,77416.38099676909
13,1973-01-01,77211.18539831956,78302.89792641124,77758.44964114993
14,1974-01-01,77629.76361564214,78730.28537041004,78150.27812900033
15,1975-01-01,77880.24930002147,79003.87260763261,78439.82175146966
16,1976-01-01,78021.57583733891,79165.35884231678,78630.68852524846
17,1977-01-01,78506.9178666533,79695.53839120547,79085.11329562221
18,1978-01-01,78917.29951142863,80089.82120865192,79477.07082191143
19,1979-01-01,79230.73970245621,80280.15959845095,79766.74348281993
20,1980-01-01,79370.10787995765,80548.2278362352,79957.6102566641
21,1981-01-01,79848.9490700902,80982.07666980171,80412.03502710383
22,1982-01-01,80225.58890653767,81380.81420686164,80803.99257667024
23,1983-01-01,80575.63427407615,81663.3952163904,81093.66526085028
24,1984-01-01,80740.3442099277,81873.69289832076,81285.8015044735
25,1985-01-01,81559.46190618149,82687.44981840842,82132.05779831983
26,1986-01-01,82322.13578588153,83454.10087657855,82914.7762701653
27,1987-01-01,83480.61604380874,84568.38356228301,84029.03150475975
28,1988-01-01,84419.8875144537,85651.84754610487,85044.4808522157
29,1989-01-01,85770.38282534838,86933.03859192108,86326.55554680954
30,1990-01-01,86987.80865835665,88089.79646112007,87543.9016587397
31,1991-01-01,88208.49148349575,89313.378594614,88773.00105159942
32,1992-01-01,89343.15392447692,90458.86224671623,89903.29455731109
33,1993-01-01,90948.25910477526,92069.67188438667,91490.87705345689
34,1994-01-01,92476.28330743498,93601.74270314723,93012.896246183
35,1995-01-01,94405.83156488043,95520.79813474239,94980.44458355184
36,1996-01-01,96328.77572715814,97436.85355076581,96849.18703375217
37,1997-01-01,98406.41101558131,99586.33751366986,98986.16467592209
38,1998-01-01,100513.89346437951,101629.58941273217,101056.0779350214
39,1999-01-01,102500.75623705846,103592.73884927142,103024.31903412678
40,2000-01-01,104285.3450913368,105451.02957922737,104894.31416221097
41,2001-01-01,106439.05969208067,107585.99732607476,107032.46763856568
42,2002-01-01,108550.26549403863,109674.01873360912,109109.46988305384
43,2003-01-01,110541.82627427836,111634.90653553035,111084.18726217591
44,2004-01-01,112936.77815399361,114092.7994978351,113485.00006537569
45,2005-01-01,115580.90401966538,116729.01361375571,116155.42551181972
46,2006-01-01,118223.49267497093,119307.88945985053,118758.55780122621
47,2007-01-01,120700.23701455549,121840.36204808795,121259.4052252167
48,2008-01-01,123934.05166464564,125064.11318647588,124486.05221699635
49,2009-01-01,127418.25139604241,128496.62398929823,127984.5744114577
50,2010-01-01,130851.84092830635,131992.66075549266,131412.3121557586
51,2011-01-01,134164.3287302692,135301.0329686755,134737.76503469053
52,2012-01-01,137380.522099391,138523.42829234563,137964.4120264584
53,2013-01-01,140851.89934876587,142024.42386442111,141462.9342209206
54,2014-01-01,144323.89776859042,145457.67527189787,144890.67196520662
55,2015-01-01,147635.47994140518,148771.32703078268,148216.12484413534
56,2016-01-01,150862.3278969781,152024.7499678206,151442.77183592145
57,2017-01-01,154366.4200360689,155506.77590968902,154941.29403036556
58,2018-01-01,157833.67057060098,158919.25878573093,158369.03177466645
59,2019-01-01,161121.41455707393,162277.62597734304,161694.48465356283
60,2020-01-01,164357.90633575598,165470.0737523808,164921.1316453789
61,2021-01-01,167777.71541490662,168959.81802673396,168419.65383980787
62,2022-01-01,171209.13621876674,172484.42482701736,171847.39158411848
63,2023-01-01,174362.18349748023,175928.89898039476,175172.84446304492
64,2024-01-01,177383.50822363584,179270.52818935527,178399.49145480426
65,2025-01-01,180642.95090705733,183014.45202347322,181898.01364928918
66,2026-01-01,183820.3479050877,186887.30128168024,185325.75139356696
67,2027-01-01,186694.39195858588,190560.93618284716,188651.20427246968
68,2028-01-01,189423.0587410691,194215.14050769623,191877.85126427852
69,2029-01-01,192365.1798832647,198158.47150275763,195376.37345871577
70,2030-01-01,195588.39122450055,202088.3593244522,198804.1112030317
