,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,21216.840849074564,22668.35444338191,21949.940765860956
1,1961-01-01,21266.834319053327,22635.177158201463,21943.12455402255
2,1962-01-01,21491.603447650992,22883.526288834677,22199.128053360957
3,1963-01-01,21744.974878416775,23150.14259230904,22508.91483429827
4,1964-01-01,22147.416103234766,23531.445704097132,22872.06013228856
5,1965-01-01,22144.500820648285,23584.82397393121,22865.24392029359
6,1966-01-01,22412.574400349786,23875.348616623367,23121.247419475967
7,1967-01-01,22673.84144496935,24156.430457877377,23431.032638730718
8,1968-01-01,23057.371972748726,24492.257081534754,23794.17637503872
9,1969-01-01,23027.85832367228,24512.892756321824,23787.226767485052
10,1970-01-01,23299.455004750238,24742.52431159089,24043.072109198336
11,1971-01-01,23639.89223558636,25065.941675425678,24352.70073220801
12,1972-01-01,24011.03407458594,25495.992093362536,24715.467003778856
13,1973-01-01,23984.66867861379,25426.77651305868,24708.27072739545
14,1974-01-01,24165.9253687504,25599.11391219855,24877.655239897635
15,1975-01-01,24369.33047456489,25816.281704976187,25100.82303369632
16,1976-01-01,24694.88980912266,26081.324287263706,25377.224066581184
17,1977-01-01,24594.69021815887,26012.80078745037,25283.425934419578
18,1978-01-01,24755.99607651413,26117.337005911995,25452.684907246676
19,1979-01-01,24893.638192448547,26397.939737182824,25675.727161370334
20,1980-01-01,25246.52592761384,26683.92281488107,25952.127931478786
21,1981-01-01,25101.507241482832,26572.146791977695,25858.329535820638
22,1982-01-01,25361.206574629337,26699.60965778548,26027.588506047527
23,1983-01-01,25512.197638827416,27040.576113297975,26250.630757571536
24,1984-01-01,25839.74623017032,27249.647134912873,26527.031197275846
25,1985-01-01,25711.146788635535,27129.57299439473,26433.19097572315
26,1986-01-01,25859.419248387196,27314.222669152834,26602.408235865943
27,1987-01-01,26123.109129610464,27514.679505384982,26825.40134553793
28,1988-01-01,26430.24941281467,27807.02033808702,27101.75297226265
29,1989-01-01,26210.366819250154,27648.35213539803,26929.85517663014
30,1990-01-01,26306.913987377477,27737.08181537631,27021.228134753823
31,1991-01-01,26479.438841163577,27878.032104904476,27166.32406600942
32,1992-01-01,26630.018560381974,28026.872013874185,27364.77851431835
33,1993-01-01,26528.92692001412,27883.219707529985,27192.819531820263
34,1994-01-01,26571.70364792126,28024.791993864666,27284.131470254848
35,1995-01-01,26761.58793161132,28123.322395309006,27429.226689854524
36,1996-01-01,26885.60746837534,28306.326851314814,27627.680426510076
37,1997-01-01,26730.61768322241,28107.005408762387,27455.721443649374
38,1998-01-01,26831.03483161801,28243.971725257514,27547.03338172417
39,1999-01-01,26980.05562865536,28369.92243168111,27692.12860168822
40,2000-01-01,27146.51813566033,28599.229239554184,27890.582340553774
41,2001-01-01,26990.395469801973,28436.240085667494,27718.623360139136
42,2002-01-01,27041.835848522333,28518.361571555084,27809.94674363322
43,2003-01-01,27256.56721005521,28715.55011775153,27955.053408422435
44,2004-01-01,27443.122963171623,28891.001495169305,28153.535691598052
45,2005-01-01,27285.955058387353,28621.206570232764,27981.605333701686
46,2006-01-01,27413.388954463167,28859.762274436216,28136.43169563928
47,2007-01-01,27606.050608416273,28992.89400729196,28345.041338876435
48,2008-01-01,28137.233669522113,29599.652720644357,28869.803462447468
49,2009-01-01,28283.35093462321,29755.23159512446,29025.04686231457
50,2010-01-01,28706.458413831864,30159.109148119496,29442.667187536346
51,2011-01-01,29224.5818734321,30648.683231212828,29914.070794053565
52,2012-01-01,29736.34432576773,31102.09052851359,30438.83291762548
53,2013-01-01,29861.287298751027,31301.717974815907,30594.07631749282
54,2014-01-01,30302.865066614766,31741.581144606113,31011.696642716044
55,2015-01-01,30759.779730610906,32151.585507961445,31483.100249233416
56,2016-01-01,31291.50490762129,32757.996238078435,32007.86237280345
57,2017-01-01,31542.3282018181,32889.729275990336,32163.105772672505
58,2018-01-01,31888.84235763839,33303.30364887843,32580.726097894258
59,2019-01-01,32367.632956041496,33773.11703987756,33052.12970441507
60,2020-01-01,32821.50893323445,34231.50351387778,33576.891827981766
61,2021-01-01,33046.08374399282,34441.80023833456,33732.13522785241
62,2022-01-01,33434.08218697491,34857.171998748876,34149.75555307346
63,2023-01-01,33927.26254219983,35346.94947937486,34621.159159590985
64,2024-01-01,34434.983136839764,35835.313456259,35145.92128316421
65,2025-01-01,34545.07102374137,36018.657523057766,35301.16468302916
66,2026-01-01,34984.0227798035,36500.98794220498,35718.78500825295
67,2027-01-01,35429.51070698501,36993.844715900224,36190.188614773186
68,2028-01-01,35963.46076270122,37439.4131526289,36714.950738340456
69,2029-01-01,36037.45538822368,37638.06359432265,36870.19413821032
70,2030-01-01,36396.850398936665,38081.522276614494,37287.81446343055
