,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,56398.75887863537,56705.78074741942,56548.0109421559
1,1961-01-01,55643.30760033987,55949.33889770429,55789.52178483301
2,1962-01-01,54903.911730887856,55214.992857910256,55071.19578475892
3,1963-01-01,54188.491989414506,54504.99163683096,54357.37920530616
4,1964-01-01,53497.2257127165,53808.06430655361,53647.45082434751
5,1965-01-01,52737.6923698347,53068.1010203374,52905.2503077037
6,1966-01-01,52043.22601884283,52357.38740109785,52203.16844382619
7,1967-01-01,51399.14081101355,51727.1408806293,51566.44481901289
8,1968-01-01,50774.254300237895,51090.07303283655,50933.609392693936
9,1969-01-01,50203.57964514655,50532.64162707138,50370.29484186466
10,1970-01-01,49693.06840426153,50022.422308187066,49858.6951770114
11,1971-01-01,49198.74584146424,49528.35568163415,49351.46552933344
12,1972-01-01,48789.73328570194,49106.989947190836,48942.46366668085
13,1973-01-01,48333.27713756135,48646.81767132306,48485.86526925125
14,1974-01-01,47956.58233651161,48262.45772585039,48119.493063414055
15,1975-01-01,47603.55074517138,47917.64616902721,47757.49087475226
16,1976-01-01,47317.66024910879,47638.38557827548,47475.77283548034
17,1977-01-01,46984.03659772719,47309.25571130772,47146.806984235154
18,1978-01-01,46767.635558814945,47081.41425248663,46916.389728588256
19,1979-01-01,46537.13804445976,46848.75633341134,46690.34249011665
20,1980-01-01,46462.54127976719,46787.376311985296,46630.08503288431
21,1981-01-01,46355.68706707209,46676.675153109696,46523.18650499935
22,1982-01-01,46508.11439182656,46829.05828102512,46667.109265346524
23,1983-01-01,46663.20007989121,46972.62052683097,46815.40204286979
24,1984-01-01,46952.39627286875,47261.690821491335,47109.93508157733
25,1985-01-01,47301.53589501375,47618.808257619814,47469.20451745823
26,1986-01-01,47713.54410417163,48029.23936170037,47865.58312536091
27,1987-01-01,48098.705997420446,48422.954929568106,48266.57112053982
28,1988-01-01,48523.44585236066,48829.152728353074,48671.447314212026
29,1989-01-01,48884.95347585946,49187.61698050043,49031.157170060615
30,1990-01-01,49274.75184764208,49583.64913914677,49427.97499459837
31,1991-01-01,49655.08818233916,49985.62474464407,49829.21335248778
32,1992-01-01,50072.654761614926,50404.57937447162,50234.33990887187
33,1993-01-01,50498.58707073501,50820.592827376015,50655.585033943564
34,1994-01-01,50961.430989229106,51268.511437942296,51113.76999855187
35,1995-01-01,51662.58422046805,51992.07984888157,51838.16589831149
36,1996-01-01,52409.0812996718,52728.98488508304,52566.44999656862
37,1997-01-01,53180.15173499299,53481.12149463493,53326.34374339213
38,1998-01-01,53956.15587664274,54272.862548153425,54122.252060296174
39,1999-01-01,54766.59256194507,55073.690086969305,54922.53039411412
40,2000-01-01,55563.47524060982,55885.87877425988,55726.587102166995
41,2001-01-01,56314.4535378363,56645.29001281278,56486.37072357916
42,2002-01-01,56848.19620557429,57153.64532380838,56995.54111442646
43,2003-01-01,57354.2904877115,57665.48053932144,57509.081522447144
44,2004-01-01,57873.94211424893,58179.45729125293,58026.51012859572
45,2005-01-01,58338.291273142124,58659.700723244925,58498.880365635916
46,2006-01-01,58837.76835886121,59157.254980149766,59008.05075603992
47,2007-01-01,59368.02903531708,59674.77712099954,59521.591163623954
48,2008-01-01,59806.38511835461,60127.86975433247,59961.20885830754
49,2009-01-01,60194.226244150705,60519.049895283686,60355.55500330129
50,2010-01-01,60614.520062591386,60948.24173467573,60786.9144823159
51,2011-01-01,61055.038082787905,61378.54544310417,61222.643978504195
52,2012-01-01,61503.23845131144,61829.329229489886,61662.261673189365
53,2013-01-01,61916.259775279796,62217.90732472066,62056.60781818316
54,2014-01-01,62325.587690589564,62642.03996301395,62487.967297199764
55,2015-01-01,62758.3195203747,63084.77504025365,62923.69679338848
56,2016-01-01,63211.67429639263,63523.539855648574,63363.31448807104
57,2017-01-01,63604.70872475208,63919.87590616438,63757.660633067375
58,2018-01-01,64034.319673396465,64342.20969382114,64189.020112081955
59,2019-01-01,64460.201042548506,64787.488045957274,64624.749608275204
60,2020-01-01,64905.74857191167,65210.96750965293,65064.36730295356
61,2021-01-01,65304.433659402894,65635.55026469052,65458.713447951886
62,2022-01-01,65694.7737456665,66090.42779844593,65890.07292696525
63,2023-01-01,66085.38448993363,66588.30111631002,66325.80242315428
64,2024-01-01,66406.73004335129,67141.81849946578,66765.42011784067
65,2025-01-01,66652.95630643843,67695.46327588207,67159.76626283138
66,2026-01-01,66944.99272221704,68251.1900300292,67591.125741849
67,2027-01-01,67162.0577135815,68884.69515196932,68026.85523804137
68,2028-01-01,67447.2883665367,69542.47151056341,68466.47293272078
69,2029-01-01,67619.26645281492,70151.63687469577,68860.81907771796
70,2030-01-01,67869.85996790255,70812.88964549333,69292.17855673053
