,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,186701.23856368975,189935.9341143978,188284.2764976938
1,1961-01-01,186457.62202771034,189747.5899314454,188110.4337720193
2,1962-01-01,186401.66585754434,189804.85432084676,188195.32412762762
3,1963-01-01,186425.43343015056,189912.52793315315,188174.65512711785
4,1964-01-01,186449.97327487997,189768.6805029146,188048.3386615563
5,1965-01-01,186193.9510534636,189618.0383656254,187873.94820425438
6,1966-01-01,186249.8044885454,189797.70875440718,187958.29232476966
7,1967-01-01,185385.03028184484,188844.62023711507,187048.5252912572
8,1968-01-01,184311.93791570328,187601.20554885262,186033.1107926927
9,1969-01-01,183011.38686729045,186504.5056988781,184688.39077900606
10,1970-01-01,181876.9083686244,185410.56986378072,183605.21524899447
11,1971-01-01,180603.30256847834,183896.5853727911,182416.4803853023
12,1972-01-01,179375.3451200359,182814.66207924287,181122.0980551661
13,1973-01-01,177979.5122158054,181477.24387705934,179776.98926196765
14,1974-01-01,177005.25469482454,180548.39439117032,178693.81375025178
15,1975-01-01,175844.2811398525,179288.00486763223,177505.0789048555
16,1976-01-01,174569.11419771018,178054.29436809875,176210.69658545963
17,1977-01-01,173027.41986019537,176601.43267636216,174865.58780303109
18,1978-01-01,171993.25568503153,175306.84525331875,173782.41228226118
19,1979-01-01,170863.9804488762,174381.30784529602,172593.677427811
20,1980-01-01,169602.26377959442,173041.7335043787,171298.82818057758
21,1981-01-01,168195.2923663113,171624.2393226028,169953.25119105726
22,1982-01-01,167181.43195125516,170501.98173493167,168866.2701031429
23,1983-01-01,165967.7533531254,169327.766319165,167673.72968154802
24,1984-01-01,164285.19787192607,167580.452384931,165909.58235443704
25,1985-01-01,162453.3990429429,165725.85144569306,164090.68350575023
26,1986-01-01,160939.0869907025,164211.30745762866,162535.01242720598
27,1987-01-01,159070.24889503286,162574.05254157033,160873.13501654804
28,1988-01-01,157286.30091367493,160824.06812952136,159105.6101408375
29,1989-01-01,155602.4037668814,158965.5371285305,157286.06251092532
30,1990-01-01,153906.78707545437,157360.54108135583,155729.74442378295
31,1991-01-01,152347.15021941095,155893.45339039984,154067.86698706716
32,1992-01-01,150582.51873391226,154198.0664874402,152300.34208529931
33,1993-01-01,148854.4313341092,152200.77520936783,150480.8353873257
34,1994-01-01,147186.05385284574,150674.53782236337,148924.55812028536
35,1995-01-01,145567.12952135637,148919.43488106274,147263.91344047608
36,1996-01-01,143811.06807418205,147250.22034936433,145497.6212956147
37,1997-01-01,143375.13471882942,146813.04365337786,145234.4538217386
38,1998-01-01,143652.58983769722,146934.18851684488,145230.26348583313
39,1999-01-01,143514.54840283483,146796.1940888966,145121.24444276444
40,2000-01-01,143702.36202393,147079.7269935707,145398.50951491029
41,2001-01-01,143897.680890859,147317.23289518274,145629.35400728812
42,2002-01-01,144427.53381766638,147988.079288275,146119.41798808498
43,2003-01-01,144855.40108759765,148060.26721317787,146503.9226352012
44,2004-01-01,145089.07408772552,148473.22564765636,146782.83500310875
45,2005-01-01,145357.90819745013,148681.21674832076,147015.33130438672
46,2006-01-01,145606.22728502602,149135.95226019563,147505.46834827703
47,2007-01-01,146047.75053602166,149552.4788769619,147890.04605848767
48,2008-01-01,148408.97888028598,151799.8587134327,150073.76988598896
49,2009-01-01,150552.36527487726,153905.2691395705,152216.29630839475
50,2010-01-01,152871.10077089685,156503.22986297245,154611.22693462906
51,2011-01-01,155192.40442001435,158467.89440557262,156900.59822718252
52,2012-01-01,157554.27281601966,160699.8293852712,159084.32205468396
53,2013-01-01,159561.6351202735,162958.38039038295,161226.84847708995
54,2014-01-01,161900.63119693726,165347.73094126538,163621.77910332466
55,2015-01-01,164254.6039696118,167729.87023596105,165911.1503958778
56,2016-01-01,166272.44274332328,169829.21890566958,168094.87422337895
57,2017-01-01,168525.60497846935,171958.2233598708,170237.40064578527
58,2018-01-01,171096.015295927,174271.10749733215,172632.33127201948
59,2019-01-01,173233.32090635883,176554.75502771736,174921.70256457338
60,2020-01-01,175524.86022493365,178861.44986934544,177105.4263920743
61,2021-01-01,177607.5250827624,180901.3865457382,179247.95281448078
62,2022-01-01,179920.60979266072,183504.22022779766,181642.88344071482
63,2023-01-01,181967.6965487279,185696.092517296,183932.25473326814
64,2024-01-01,184050.70071783857,188060.61090137003,186115.9785607697
65,2025-01-01,185887.2274526943,190360.8840275721,188258.50498317537
66,2026-01-01,188055.08393613584,193021.1695102523,190653.4356094101
67,2027-01-01,189801.83542800747,195886.15483948425,192942.80690196375
68,2028-01-01,191666.5463724536,198381.67594725805,195126.53072946484
69,2029-01-01,193416.4866456046,201182.38219930942,197269.05715187124
70,2030-01-01,195270.24859537926,204079.09748101694,199663.98777810458
