,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,250025.0557028548,254748.8107431604,252457.15529406248
1,1961-01-01,252796.74597495113,257630.99268161214,255229.20460856144
2,1962-01-01,254691.13864388366,259466.15600096845,257219.52211015453
3,1963-01-01,256819.58372257446,261278.67394625233,259057.1263893954
4,1964-01-01,258447.28156928363,262958.9876640236,260758.79961477884
5,1965-01-01,261783.2788565346,266605.4584115639,264167.01068085484
6,1966-01-01,264457.8864271611,269193.7455447658,266791.7517871549
7,1967-01-01,268821.19838437415,273314.00292854296,271066.78378274746
8,1968-01-01,272803.7551571014,277543.0849692242,275205.8847244718
9,1969-01-01,278111.210928822,282788.8769140361,280424.1635892239
10,1970-01-01,284466.6133734658,288969.33425757434,286742.8496274662
11,1971-01-01,290584.4274474281,295237.80570029875,292907.15594347887
12,1972-01-01,297975.2861761187,302474.47381395404,300171.20493803755
13,1973-01-01,306248.39117074263,310750.1839682678,308522.5404730341
14,1974-01-01,313787.10772667977,318289.4613692137,316076.90024900466
15,1975-01-01,321210.6049375644,325722.77520652546,323476.8803027436
16,1976-01-01,328347.3007591247,332911.3867012567,330740.929299859
17,1977-01-01,336994.4500295351,341395.4731467711,339092.26483741915
18,1978-01-01,344379.39847724885,349119.3782459175,346636.0970767497
19,1979-01-01,351718.226821088,356392.304436219,354025.54959385
20,1980-01-01,356575.843710597,361112.2712885374,358863.2317591495
21,1981-01-01,362510.5833866112,367078.25249897427,364781.55288453435
22,1982-01-01,367730.3950339718,372275.2134509458,369877.18835423945
23,1983-01-01,372534.8791675509,376999.3998311214,374818.44410168554
24,1984-01-01,377435.3507669998,382031.7051096311,379620.79026225314
25,1985-01-01,382194.7961577784,386734.57374833134,384470.1984038603
26,1986-01-01,386368.50011499936,390941.3407085743,388532.19888876285
27,1987-01-01,387438.4081926364,391964.094966404,389618.0257265918
28,1988-01-01,388293.8040433826,392802.66345947236,390567.9215105945
29,1989-01-01,388009.103745721,392786.41513726336,390322.8058470993
30,1990-01-01,387040.2406253872,391437.54720809095,389304.20199081796
31,1991-01-01,386058.79351316043,390496.7896674038,388131.21841531096
32,1992-01-01,384565.90308542224,389104.6264513712,386822.30378592585
33,1993-01-01,384208.5578842122,388927.17635671335,386577.1881627954
34,1994-01-01,383267.3453655794,387711.3572911854,385558.58434684214
35,1995-01-01,385984.9811184101,390640.85004300094,388472.9117883843
36,1996-01-01,389157.3820712774,393604.9301899287,391251.308175942
37,1997-01-01,396058.23598219536,400673.9695687273,398538.458136205
38,1998-01-01,402723.8287029268,407287.0237182146,405031.5399429477
39,1999-01-01,412216.2921651013,416777.85541543696,414396.9869826827
40,2000-01-01,421414.44407025736,425977.89981376374,423631.3954263248
41,2001-01-01,431744.04570274614,436326.6570177919,433958.4886555736
42,2002-01-01,441089.46101856267,445842.89807391405,443483.4495129214
43,2003-01-01,450645.77586532896,455067.59389017586,452854.03064811777
44,2004-01-01,459615.6923575465,464319.7847679963,462088.68544481706
45,2005-01-01,469942.6050743057,474890.50129076437,472416.0257019254
46,2006-01-01,480945.0000161854,485579.4952835294,483280.4895728441
47,2007-01-01,491735.73592718923,496272.83784932655,493990.5737213438
48,2008-01-01,503104.2292405318,507837.0950506959,505428.8038071423
49,2009-01-01,515513.6248215039,520185.53274364077,517965.75654600654
50,2010-01-01,527297.5181600928,531824.872764481,529694.2974078716
51,2011-01-01,538931.6371665079,543522.8504269553,541268.45854757
52,2012-01-01,550624.7614115862,554891.4957333292,552706.6886333053
53,2013-01-01,563024.1497638015,567557.6223299184,565243.6413721757
54,2014-01-01,574688.0734374202,579352.782202318,576972.1822339599
55,2015-01-01,586442.713562516,590877.6339064164,588546.3433736424
56,2016-01-01,597709.8947560724,602356.1700379538,599984.573459474
57,2017-01-01,610149.5016000337,614792.4264570458,612521.5261982479
58,2018-01-01,621932.2285762402,626448.9389043553,624250.067060113
59,2019-01-01,633498.6747660838,638043.7641770133,635824.2281996235
60,2020-01-01,644937.6974601023,649528.7484667873,647262.4582856122
61,2021-01-01,657405.3337268864,662026.181887326,659799.4110243055
62,2022-01-01,668676.1156511297,674075.9341052357,671527.9518862228
63,2023-01-01,679702.1584081595,686831.7472226925,683102.1130258926
64,2024-01-01,689368.7467162408,699751.2419374537,694540.3431115842
65,2025-01-01,700713.182085175,714030.5054537925,707077.295850574
66,2026-01-01,709916.4848935091,728762.1973429674,718805.8367123147
67,2027-01-01,719544.542759744,742085.4147432084,730379.9978518598
68,2028-01-01,727823.5730235575,757056.8860791889,741818.2279378099
69,2029-01-01,737443.1953159635,772753.9722316593,754355.1806765466
70,2030-01-01,745980.9758974003,787343.3333367751,766083.7215384942
