,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,9335.404263318393,10327.164809407166,9807.843628024464
1,1961-01-01,9319.7493741358,10289.065067795193,9836.197486007397
2,1962-01-01,9488.850793836806,10508.531643303735,10019.46127106178
3,1963-01-01,9691.14328621876,10682.238005563686,10182.042072764194
4,1964-01-01,9826.522211738204,10850.850706313906,10323.81135158139
5,1965-01-01,9890.547345732175,10827.062209714304,10352.165192581358
6,1966-01-01,10052.337488307221,11009.082489842434,10535.42896069919
7,1967-01-01,10208.967975356038,11152.437385084027,10698.009841189976
8,1968-01-01,10348.948962548766,11327.539243573103,10839.779198795555
9,1969-01-01,10384.4056549533,11357.380750150407,10868.180611281146
10,1970-01-01,10589.306826174903,11543.710655803712,11051.696612685062
11,1971-01-01,10730.307215125995,11763.197367030805,11214.529638087291
12,1972-01-01,10840.645857808991,11872.426923837513,11356.67696083103
13,1973-01-01,10905.640061086877,11877.698081350878,11385.409891106965
14,1974-01-01,11081.622951465399,12043.55908385415,11569.08055400752
15,1975-01-01,11256.646784980432,12213.427895239463,11732.068240906494
16,1976-01-01,11371.67450142307,12363.883856840357,11874.24823597126
17,1977-01-01,11403.916253403342,12452.66368071267,11903.013928081453
18,1978-01-01,11612.515700728452,12598.67604489128,12107.542386709469
19,1979-01-01,11772.508527627435,12797.351154024655,12291.387869335966
20,1980-01-01,11956.489605256029,12923.85957815444,12454.547918006772
21,1981-01-01,12042.54711282442,13008.959450507788,12504.351143321926
22,1982-01-01,12211.147887409667,13201.730055197157,12709.122452958853
23,1983-01-01,12395.973735188838,13389.551745972374,12893.210786594289
24,1984-01-01,12562.550654693234,13567.026623893824,13056.656179760474
25,1985-01-01,12567.641407693298,13613.07778643255,13107.0030524246
26,1986-01-01,12829.779702514548,13814.696347103949,13312.199761955839
27,1987-01-01,13144.382659261635,14151.55036304043,13661.99048339029
28,1988-01-01,13478.285793524125,14513.454186211451,13990.969681939287
29,1989-01-01,13732.343739357244,14710.990651023816,14207.063981395342
30,1990-01-01,14090.668598388962,15064.71475551228,14577.555255897172
31,1991-01-01,14421.378890426007,15409.22616069448,14927.36357794777
32,1992-01-01,14768.839053686272,15738.075284018973,15256.360377113113
33,1993-01-01,14980.004551884385,15943.733754547196,15472.454693172109
34,1994-01-01,15378.492742234524,16340.098541498894,15842.945984230948
35,1995-01-01,15693.213510926527,16674.179455245878,16192.75427078773
36,1996-01-01,16050.99857095239,16989.718009839107,16521.751034459765
37,1997-01-01,16255.013442890915,17222.49949572402,16737.84357072779
38,1998-01-01,16629.345773204645,17616.447699207383,17108.333086858744
39,1999-01-01,16952.322052854106,17963.88973277782,17458.139277796032
40,2000-01-01,17290.899372222993,18267.922300874423,17787.133924096506
41,2001-01-01,17476.089110481356,18461.195786738117,18003.226088403768
42,2002-01-01,17875.180730461107,18853.846681686908,18373.71525139111
43,2003-01-01,18254.377100417532,19233.11869531134,18723.52143837636
44,2004-01-01,18559.217152993944,19567.032330521546,19052.51611269066
45,2005-01-01,18748.37330907013,19735.820064187057,19268.608305089772
46,2006-01-01,19467.137294026787,20490.817948007647,19989.829954849032
47,2007-01-01,20207.492728111683,21154.076252977815,20690.3686286078
48,2008-01-01,20833.325145586376,21839.47038645907,21370.812112688
49,2009-01-01,21435.79586855754,22405.384180742712,21939.315988303882
50,2010-01-01,22163.210969600328,23150.078531432624,22661.253971271213
51,2011-01-01,22847.205932932924,23834.488124912015,23362.508978236605
52,2012-01-01,23539.58908407543,24527.097775778857,24042.952462317066
53,2013-01-01,24100.398002994352,25086.537387460066,24611.45633793288
54,2014-01-01,24797.17110671928,25815.140126148992,25333.394320900792
55,2015-01-01,25523.425857362196,26488.99909693257,26034.64932786607
56,2016-01-01,26203.098680516166,27185.559380123446,26715.09281194611
57,2017-01-01,26797.795981506606,27780.30568134921,27283.596687562378
58,2018-01-01,27523.111472258504,28484.08741284283,28005.53467052972
59,2019-01-01,28231.297079411026,29187.299656180803,28706.789677495974
60,2020-01-01,28922.687418596113,29895.4404745369,29387.23316157529
61,2021-01-01,29478.53809778116,30469.83264997526,29955.73703719208
62,2022-01-01,30235.58255882847,31176.726308149147,30677.675020159077
63,2023-01-01,30931.602364794875,31876.22506808916,31378.930027124487
64,2024-01-01,31544.54908981542,32544.04935524492,32059.373511205165
65,2025-01-01,32096.060876359552,33189.17220677056,32627.87738682039
66,2026-01-01,32814.44952923966,33867.47880516994,33349.8153697885
67,2027-01-01,33499.76544244546,34566.80656372399,34051.07037675452
68,2028-01-01,34138.56143162449,35266.02008348024,34731.51386083396
69,2029-01-01,34658.48661560432,35900.11883215812,35300.01773645058
70,2030-01-01,35338.54671909437,36667.946271625275,36021.95571941715
