,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,297020.9351835568,326426.2255490237,311954.2305294179
1,1961-01-01,291108.02053674945,321283.69153827196,306429.8191803938
2,1962-01-01,289435.69519836636,319847.31490120024,303974.75318492576
3,1963-01-01,285522.53177348373,316294.2479667865,300948.6405170435
4,1964-01-01,280953.3138016015,311913.9275740492,297350.3906626447
5,1965-01-01,276346.48921846226,307026.26364317036,291825.9792581716
6,1966-01-01,274412.74991684087,305136.8290912821,289370.91320740554
7,1967-01-01,269515.76500462845,301297.18267604057,286344.80048815004
8,1968-01-01,266968.0421865549,300161.5416645171,282746.55058237707
9,1969-01-01,262558.57949074934,293101.1586932988,277222.33794914966
10,1970-01-01,258853.4587317043,288958.809195727,274767.4806704796
11,1971-01-01,256011.59955156216,287163.40107924805,271741.57672119397
12,1972-01-01,252415.9586423097,283696.50009373075,268145.236543625
13,1973-01-01,247549.36974720008,277376.28590084414,262622.74010162294
14,1974-01-01,244611.89139977886,275752.128431114,260172.91552786535
15,1975-01-01,241760.4214513335,273612.0180667878,257152.04428349406
16,1976-01-01,239541.27342762394,270393.31407927506,255848.3139628072
17,1977-01-01,236069.52387067283,267072.43834269844,252624.70850058302
18,1978-01-01,236595.85308525094,267452.0883486566,252468.6183297431
19,1979-01-01,236307.76046908624,267162.4639163054,251741.481488291
20,1980-01-01,234898.7942852031,266236.13049073593,250443.41127628688
21,1981-01-01,231678.5440476143,262981.05378147255,247225.48142989288
22,1982-01-01,231382.91464052533,261999.81196092127,247073.84733025648
23,1983-01-01,231294.95245019151,261317.0391086527,246351.16656000604
24,1984-01-01,229320.5990130109,260043.1705528301,245057.27157880404
25,1985-01-01,226907.2826195045,257139.09162549704,241845.5323833292
26,1986-01-01,226506.73375251476,256602.02341515315,241696.81976502697
27,1987-01-01,226459.352498921,257717.36418962304,240977.8636656528
28,1988-01-01,223625.54006906072,256007.2296390293,239686.77037975896
29,1989-01-01,222646.81257894536,253269.02597591275,237417.0701687683
30,1990-01-01,223737.679931771,253305.4400520748,238207.8226579519
31,1991-01-01,222754.04430799585,253243.5304892907,238429.33327112868
32,1992-01-01,223517.70968703408,252452.82127729306,238078.70669778623
33,1993-01-01,221424.01746268274,252749.9389414256,236517.78065265913
34,1994-01-01,223083.15882887214,252087.49968527674,238015.3707662629
35,1995-01-01,223227.18715316005,254555.98182832485,238942.08750998936
36,1996-01-01,224199.6784334492,255813.97028091038,239296.6670671978
37,1997-01-01,222552.54898699408,254027.0194685775,237738.96191825054
38,1998-01-01,224628.11387495603,255167.3347423402,239239.76412776927
39,1999-01-01,223791.82947099715,255623.42543135255,240170.40724182886
40,2000-01-01,224970.48967734454,255981.4645385471,240529.05355922933
41,2001-01-01,223822.38966888323,253639.67728612028,238972.37919162627
42,2002-01-01,224886.84449960908,257201.06405891292,240476.26886728185
43,2003-01-01,225721.46913119097,256753.39563111262,241409.11187231945
44,2004-01-01,229170.42410412882,259569.10504365352,244285.45549996506
45,2005-01-01,229396.0832895788,259412.2833104592,245253.3762434693
46,2006-01-01,234969.97794320044,265603.78389194305,249277.73139729848
47,2007-01-01,237849.07541519552,268293.6478056697,252731.03988052183
48,2008-01-01,239659.567786107,270750.41451939655,255617.10818660376
49,2009-01-01,240800.29181735963,272418.425401972,256594.78025149682
50,2010-01-01,244217.8993011841,276621.1114102759,260624.0324147148
51,2011-01-01,248444.83785796163,280737.57825804636,264082.2379073163
52,2012-01-01,251864.03092863184,281857.2368732331,266968.3062133988
53,2013-01-01,253072.79179811664,283650.9189074612,267945.97827829083
54,2014-01-01,257211.73260040837,287441.547408927,271975.2304415141
55,2015-01-01,260151.346697958,291429.3330574242,275433.43593411206
56,2016-01-01,262163.5099229306,293164.84958746796,278319.50424019387
57,2017-01-01,264427.53761401953,295012.80683367164,279297.1763050875
58,2018-01-01,266408.80079962226,298173.22867970093,283326.4284683053
59,2019-01-01,270822.8015865075,301748.1698889721,286784.6339609093
60,2020-01-01,273435.71605907497,305330.6444092952,289670.70226698933
61,2021-01-01,275899.00445706176,305294.6035197861,290648.37433188735
62,2022-01-01,279815.69565340213,310436.2262987963,294677.62649510184
63,2023-01-01,283689.66261923005,314451.13159735955,298135.8319877019
64,2024-01-01,284761.0288235488,316847.14979055733,301021.90029378445
65,2025-01-01,287627.6661651343,317113.18700979487,301999.5723586743
66,2026-01-01,290384.2423444641,322721.5171666342,306028.8245218984
67,2027-01-01,293910.4761598913,323448.79209870705,309487.03001450025
68,2028-01-01,296060.41876666225,327464.9562970597,312373.09832058003
69,2029-01-01,297461.6533412067,329485.4477920314,313350.7703854779
70,2030-01-01,300576.96469051176,334595.89420616266,317380.02254868584
