,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1699100.5639949339,1778916.8251371575,1737909.2243258443
1,1961-01-01,1714217.999330412,1799706.2744041355,1754767.1441526988
2,1962-01-01,1727149.1607173046,1811100.882867195,1768963.3486733641
3,1963-01-01,1751004.3689430924,1831058.552113807,1791248.8574461967
4,1964-01-01,1785379.4951999472,1864381.2975154177,1821640.0528037604
5,1965-01-01,1794750.1217695228,1880503.4221136498,1838497.9726036307
6,1966-01-01,1810556.8346515126,1890517.136144436,1852694.1770973806
7,1967-01-01,1833508.5977551548,1916841.8267587875,1874979.5704669855
8,1968-01-01,1862409.5144557538,1946271.584370897,1905370.6504213293
9,1969-01-01,1866137.2234465126,1950269.4802709066,1908629.2364477087
10,1970-01-01,1868562.8173004554,1951547.0435260267,1907606.0168682784
11,1971-01-01,1875582.170652429,1954903.2533523133,1914672.1015268248
12,1972-01-01,1891859.347913492,1970974.5163398788,1929838.0588147938
13,1973-01-01,1890138.8506574233,1972391.361546968,1931429.0276052556
14,1974-01-01,1891103.690654405,1971309.1556417635,1930399.9941044124
15,1975-01-01,1897027.6449400526,1979124.4277217211,1937460.2648415323
16,1976-01-01,1914162.5957377392,1995978.8115337153,1952626.2224419636
17,1977-01-01,1915846.9036477276,1993960.4567736962,1954217.1915457537
18,1978-01-01,1912956.312272833,1993761.0830508522,1953193.5860030656
19,1979-01-01,1917613.0409826636,2000043.8997437449,1960259.2846983396
20,1980-01-01,1934948.9095897514,2016598.4347567,1975524.7503429917
21,1981-01-01,1937831.5013656807,2018442.1708502383,1977215.500115765
22,1982-01-01,1952320.550366077,2038184.1558948264,1993946.469871142
23,1983-01-01,1977716.3576507438,2062269.9882176388,2018766.7438644778
24,1984-01-01,2011380.215940678,2093017.4456864416,2051723.5532905771
25,1985-01-01,2031131.4511034684,2113753.196739889,2071158.793750987
26,1986-01-01,2044744.5293244617,2128689.760535623,2087925.2770456146
27,1987-01-01,2071681.258402143,2152527.205379476,2112794.8900245177
28,1988-01-01,2103504.6217434793,2188291.7877749563,2145770.189588228
29,1989-01-01,2125207.37768576,2206010.688593007,2165219.293386043
30,1990-01-01,2141801.843908783,2221413.41026073,2181999.6021400066
31,1991-01-01,2166190.075379707,2247637.4221696397,2206869.215083345
32,1992-01-01,2196975.5228743744,2278377.5378651917,2239844.5146114225
33,1993-01-01,2218958.6347064567,2298675.720090372,2259293.618401441
34,1994-01-01,2233556.2163439356,2315485.991899288,2276073.927147794
35,1995-01-01,2258838.699153539,2340869.6256271275,2300942.242044458
36,1996-01-01,2292355.65800559,2374748.58856756,2333916.2435258115
37,1997-01-01,2310277.388336137,2394805.6758905766,2353337.8697984656
38,1998-01-01,2330410.1820001467,2411119.025172578,2370090.7761025988
39,1999-01-01,2335744.2328656167,2419289.31307332,2377861.517288453
40,2000-01-01,2350515.9682207084,2433405.9661272415,2393710.9041183945
41,2001-01-01,2355510.2251451686,2437769.753955063,2395987.174860563
42,2002-01-01,2357570.0910212356,2440209.543226357,2395640.9771124544
43,2003-01-01,2361404.3385979286,2445457.653227656,2403384.083602424
44,2004-01-01,2379424.813534369,2465969.269338797,2419232.8765950715
45,2005-01-01,2379058.834754095,2463024.126718464,2421508.5518729403
46,2006-01-01,2380953.6883306922,2464859.3273035213,2421162.3540396513
47,2007-01-01,2389933.2256484213,2472122.1085812976,2428905.4604440797
48,2008-01-01,2427508.494215785,2511128.5937947705,2470426.768703021
49,2009-01-01,2458096.2203941555,2538343.5678153853,2498445.294905432
50,2010-01-01,2484027.245535123,2565207.6687935144,2523771.6123415898
51,2011-01-01,2514938.6928895535,2596774.3574065943,2557187.234015798
52,2012-01-01,2556516.175871609,2640113.3436962683,2598708.542274658
53,2013-01-01,2587899.279948005,2668079.813330133,2626727.0684771175
54,2014-01-01,2609918.785752599,2691093.9767462504,2652053.3859131625
55,2015-01-01,2645067.301971092,2727282.784272031,2685469.007587377
56,2016-01-01,2682421.5998240765,2770405.3150093546,2726990.3158463063
57,2017-01-01,2710737.2921612565,2798181.0787532195,2755008.8420486697
58,2018-01-01,2737593.0210937145,2824042.7759058946,2780335.159484827
59,2019-01-01,2771477.463907384,2860524.4756002817,2813750.7811588757
60,2020-01-01,2816158.4946599416,2898853.6541632437,2855272.0894179135
61,2021-01-01,2843364.8434878252,2925234.231157595,2883290.615620178
62,2022-01-01,2867157.3840033803,2949581.2106426987,2908616.9330564295
63,2023-01-01,2900073.2282753927,2983048.9854306267,2942032.554730609
64,2024-01-01,2939852.046865506,3028193.9195778323,2983553.862989472
65,2025-01-01,2963087.0404114923,3058349.747973465,3011572.38919203
66,2026-01-01,2983139.85959791,3088902.8788077957,3036898.7066280153
67,2027-01-01,3016081.302519823,3123816.897488123,3070314.328302115
68,2028-01-01,3051242.5540530616,3169543.335225221,3111835.6365611097
69,2029-01-01,3073741.132047271,3203498.6593929445,3139854.162763416
70,2030-01-01,3090968.923153572,3238638.099698809,3165180.480199713
