,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-6186688.879738682,7579.06012599944,-3094760.5516703143
1,1961-01-01,-5540637.2993103275,481937.125464905,-2680098.6178149497
2,1962-01-01,-5505413.263556295,657702.4507787521,-2258073.8758119103
3,1963-01-01,-4968746.130280829,1484154.3178675831,-1751655.8067683298
4,1964-01-01,-4545624.589223054,2189779.415633086,-1160864.4088271614
5,1965-01-01,-3728643.7366224737,2338223.3603615975,-746202.4750492554
6,1966-01-01,-3286438.3863957436,2981210.639753132,-324177.7331234766
7,1967-01-01,-3040939.448201185,3145744.220757911,182240.33587243687
8,1968-01-01,-2163235.783487926,4034614.9431911954,773031.7337661292
9,1969-01-01,-1968466.825984295,4226633.030524807,1187693.6675804183
10,1970-01-01,-1486897.2367273543,4910350.377610769,1609718.40964418
11,1971-01-01,-788870.2460763725,5215215.362354292,2116136.4787726505
12,1972-01-01,-299412.29803711834,5858208.946629103,2706927.876882366
13,1973-01-01,65363.25948311176,6103039.013756239,3121589.8108822117
14,1974-01-01,509870.26496385515,6777196.171673343,3543614.5530499145
15,1975-01-01,1041578.396576478,7173633.895297911,4050032.62228226
16,1976-01-01,1563257.828514419,7783368.829957417,4640824.020510687
17,1977-01-01,2088780.6791485879,8195586.956820416,5055485.954629578
18,1978-01-01,2636289.517244504,8713873.003703516,5477510.69693523
19,1979-01-01,2841651.7682162044,8914856.54949707,5983928.766305507
20,1980-01-01,3385175.9509276254,9760149.379050814,6574720.164639342
21,1981-01-01,4016603.2389078513,10161032.928848559,6989382.098863769
22,1982-01-01,4040060.2612895244,10540587.157738678,7411406.8411582
23,1983-01-01,4934577.455915838,11015517.728096653,7917824.910517445
24,1984-01-01,5379886.70370173,11657635.515525507,8508616.308704127
25,1985-01-01,5705696.010958696,12040605.875796497,8923278.242702935
26,1986-01-01,6152378.971116733,12459981.094427615,9345302.984849697
27,1987-01-01,6797999.34836287,13251687.488487117,9851721.050772399
28,1988-01-01,7463236.002037969,13519430.320331724,10442512.445593217
29,1989-01-01,7563508.5528044645,14022113.469872586,10857002.587730195
30,1990-01-01,8340651.825297412,14402380.920919046,11278856.007391166
31,1991-01-01,8666212.443905683,14879121.279934755,11785010.541136965
32,1992-01-01,9517469.000843672,15631478.187109731,12375538.403780557
33,1993-01-01,9549295.71265844,15914681.995074483,12789930.938079782
34,1994-01-01,10046967.663094634,16205579.259051293,13211687.016591921
35,1995-01-01,10547538.635717085,16914468.418977994,13717628.185286567
36,1996-01-01,11317657.807246096,17542341.744289916,14307942.682879534
37,1997-01-01,11738122.407128427,17715678.79297839,14722034.76871556
38,1998-01-01,11968175.607672935,18178871.52058834,15143491.21966246
39,1999-01-01,12653292.827405471,18969108.02695886,15649282.496359915
40,2000-01-01,13189784.01446288,19332503.162908345,16239434.111061528
41,2001-01-01,13824912.273736253,19790538.640827745,16653454.508821033
42,2002-01-01,13894058.260370813,20431170.10935735,17074837.653867964
43,2003-01-01,14442629.412521824,20775161.88062353,17580614.125979878
44,2004-01-01,14898101.515705578,21214577.03171621,18170763.926805377
45,2005-01-01,15437192.142395483,21788753.46535371,18584782.5057205
46,2006-01-01,15876080.693656316,22060431.204582985,19006126.991398145
47,2007-01-01,16362843.476980174,22471020.379438404,19511864.804139785
48,2008-01-01,16901378.900474984,23255926.0665529,20101975.945717126
49,2009-01-01,17455893.330667134,23632018.605036728,20515955.759467177
50,2010-01-01,17925802.02588456,24115910.455349647,20937300.2450817
51,2011-01-01,18412109.058011178,24671844.933984376,21443038.057761144
52,2012-01-01,19041918.202878464,24906996.022199143,22033149.19933826
53,2013-01-01,19299941.805714708,25535773.60994804,22447129.01308866
54,2014-01-01,19822543.530424006,26210857.64158134,22868473.498702887
55,2015-01-01,20218154.775839355,26569598.103953756,23374211.31138249
56,2016-01-01,21034570.257353567,27196804.1982318,23964322.45295947
57,2017-01-01,21265726.153253507,27443238.301894136,24378302.266709805
58,2018-01-01,21576199.139254916,27682936.0498293,24799646.75232432
59,2019-01-01,22150833.828931764,28085473.146139883,25305384.56500392
60,2020-01-01,22636148.950313814,29104547.743862264,25895495.706580456
61,2021-01-01,23309583.517605036,29452932.227731027,26309475.520330667
62,2022-01-01,23505338.544906177,29917492.093119588,26730820.005945593
63,2023-01-01,24022886.138415325,30367009.611034498,27236557.818624973
64,2024-01-01,24622727.678956885,30871689.953812577,27826668.960202575
65,2025-01-01,25097112.890863307,31373988.43704097,28240648.77395282
66,2026-01-01,25657566.298465192,31719334.779804803,28661993.25956684
67,2027-01-01,26120035.933547743,32270739.186327185,29167731.07224659
68,2028-01-01,26885748.993077084,32776504.029882606,29757842.213823058
69,2029-01-01,27049111.663990986,33370837.823750068,30171822.027573273
70,2030-01-01,27242161.844258353,33766899.246739484,30593166.513188384
