,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-13789641.83737231,592696.8520545645,-6401243.141887326
1,1961-01-01,-13561698.442221627,1577527.0686152226,-6171247.869885968
2,1962-01-01,-12833457.573524904,2261424.6500560846,-5279669.683682231
3,1963-01-01,-11530254.878418587,3286133.06945718,-4345638.299195852
4,1964-01-01,-10387070.108884018,3584625.0656293617,-3369379.547790803
5,1965-01-01,-10920035.81953671,4588414.04106676,-3139384.275695706
6,1966-01-01,-10166891.8586634,4974594.716013193,-2247806.089398572
7,1967-01-01,-8829127.325433537,6628222.301601737,-1313774.7046803394
8,1968-01-01,-7246755.158007331,7189707.347330209,-337515.9530433342
9,1969-01-01,-7590864.944111587,7292081.628097821,-107520.68089800142
10,1970-01-01,-6424571.898441222,8317945.454836537,784057.5055644959
11,1971-01-01,-5529195.542586262,8692386.947166938,1718088.89029398
12,1972-01-01,-4558945.533629273,10453820.690708097,2694347.642006916
13,1973-01-01,-4497942.203203337,9754351.797252888,2924342.9143331405
14,1974-01-01,-3026177.6803491837,11439780.57241657,3815921.1011476666
15,1975-01-01,-2038298.5395771463,11683835.836962663,4749952.48622949
16,1976-01-01,-1174518.8666896292,13052416.44565502,5726211.238280886
17,1977-01-01,-759652.6249404678,14166155.055532908,5956206.510946574
18,1978-01-01,-557646.2797055835,13833637.369908504,6847784.697679242
19,1979-01-01,7152.289108402919,14888142.049162436,7781816.082679429
20,1980-01-01,1435219.2893592585,16196111.086929766,8758074.834532421
21,1981-01-01,2019038.0376499903,16345923.437480967,8988070.106998887
22,1982-01-01,2123038.174281005,17067779.638728186,9879648.293645574
23,1983-01-01,3426837.4387931195,18360288.990571406,10813679.678559616
24,1984-01-01,4849396.253480596,19329109.412529483,11789938.43056545
25,1985-01-01,5041782.857903716,19513286.629573435,12019933.703151047
26,1986-01-01,5530412.323824455,20329458.054822575,12911511.889937064
27,1987-01-01,6836307.031812987,21544844.34532438,13845543.275198445
28,1988-01-01,7177224.700138104,22255571.7878645,14821802.027378887
29,1989-01-01,7816219.35519637,22478208.642581485,15051797.300140614
30,1990-01-01,8822597.355692573,23302242.293858726,15943375.487102859
31,1991-01-01,9966093.760463372,24249010.438210715,16877406.87232742
32,1992-01-01,10421791.870164795,25276298.462668143,17853665.6244704
33,1993-01-01,10761606.726062218,25348365.606165342,18083660.89707595
34,1994-01-01,11622085.31392307,26304300.777077183,18975239.08388259
35,1995-01-01,12880086.484706828,27426638.36098574,19909270.46903657
36,1996-01-01,14288322.21068928,28465087.750651143,20885529.221109837
37,1997-01-01,13788206.228321452,28899716.69802723,21115524.49379627
38,1998-01-01,13870389.67170612,29409623.91455831,22007102.68068389
39,1999-01-01,15627157.404258475,29902170.33280017,22941134.065549273
40,2000-01-01,16345988.2115991,30902405.564169317,23917392.817063622
41,2001-01-01,16145254.915433938,31636048.49186303,24147388.089187175
42,2002-01-01,17923826.73225479,32223771.16217555,25038966.2756065
43,2003-01-01,18354883.05615184,33757459.80465032,25972997.66029288
44,2004-01-01,19451451.964303616,34104993.89289126,26949256.411872532
45,2005-01-01,19597635.359962344,34453755.915351465,27179251.684066553
46,2006-01-01,20433010.163384024,35421169.83226531,28070829.870427653
47,2007-01-01,22283091.549828477,36658690.671125196,29004861.255056206
48,2008-01-01,22351843.98120773,37475874.911300294,29981120.006767534
49,2009-01-01,22399255.157869063,37120030.68465254,30211115.279090986
50,2010-01-01,23929520.803670682,39014153.31993423,31102693.46561655
51,2011-01-01,24105069.587717187,39245505.21424741,32036724.850409493
52,2012-01-01,25850150.46820268,40517382.72424768,33012983.60212044
53,2013-01-01,25881213.486667495,41004155.95847819,33242978.87444412
54,2014-01-01,26838467.789220992,41190291.96552232,34134557.0609702
55,2015-01-01,27956986.558128342,42495301.02446205,35068588.445762575
56,2016-01-01,28832165.053171426,42966862.00106277,36044847.19747345
57,2017-01-01,28800086.737191252,43625931.751533106,36274842.46979713
58,2018-01-01,29953536.110449973,43898160.99233988,37166420.656322695
59,2019-01-01,31236077.422836512,45324602.47098484,38100452.041115925
60,2020-01-01,32157679.451517876,46115082.77568241,39076710.79282607
61,2021-01-01,31818557.753915954,46663373.96845178,39306706.06515031
62,2022-01-01,32703339.56974475,47523586.03381006,40198284.25167594
63,2023-01-01,33815615.491107196,49158280.036042966,41132315.636468366
64,2024-01-01,35273264.39702627,49244063.15225599,42108574.38818001
65,2025-01-01,34937595.10467395,49218161.46788424,42338569.660503276
66,2026-01-01,35974678.1491538,50671032.228517994,43230147.84702912
67,2027-01-01,36955639.94983424,51155355.097191505,44164179.23182226
68,2028-01-01,38359776.73309371,52366031.22472703,45140437.983532056
69,2029-01-01,37658495.436547585,52390488.447330385,45370433.25585645
70,2030-01-01,39033199.662803166,53931481.20704,46262011.442381084
