,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-34496876.42193872,143862.51912467758,-16856037.300040666
1,1961-01-01,-33727635.8036268,-748701.6742590349,-17140174.192709208
2,1962-01-01,-31717892.701738566,2384234.370853494,-14314616.965312049
3,1963-01-01,-26925467.499247253,7281370.392150901,-10926999.939646948
4,1964-01-01,-22655502.561497048,10056286.823744303,-6978432.795002073
5,1965-01-01,-23912650.080000713,8898570.339662634,-7262569.689889826
6,1966-01-01,-21088026.83459733,13047067.123804064,-4437012.464706071
7,1967-01-01,-17238125.653312072,14864140.042446999,-1049395.4389224723
8,1968-01-01,-14151502.125163207,19506835.422885276,2899171.705842182
9,1969-01-01,-15352421.132607067,19952159.703857727,2615034.8146166876
10,1970-01-01,-10355326.670468865,22672784.029755104,5440592.0484012365
11,1971-01-01,-8076471.365494395,25903062.56608306,8828209.077491343
12,1972-01-01,-4202179.777364087,29881501.289065395,12776776.231613249
13,1973-01-01,-4974285.856030116,28373304.128973044,12492639.351419114
14,1974-01-01,-1456836.6468840614,32215633.157809403,15318196.590109609
15,1975-01-01,2261419.8707416905,34894647.526727155,18705813.624107026
16,1976-01-01,5233091.57453273,40447188.33796762,22654380.78229458
17,1977-01-01,4623846.294016369,39033638.579953566,22370243.906177483
18,1978-01-01,8416196.950236997,42614936.70322157,25195801.155765668
19,1979-01-01,11034316.683370402,44847295.282030836,28583418.200661562
20,1980-01-01,16435627.446510104,50957604.11207201,32531985.367465384
21,1981-01-01,14636547.42227275,49163072.635192074,32247848.499985956
22,1982-01-01,17149246.47692483,52019867.392258346,35073405.751496285
23,1983-01-01,22682605.025157426,55458323.616180494,38461022.79831436
24,1984-01-01,25927381.168762714,58415722.22084802,42409589.96521366
25,1985-01-01,24148255.06551835,58612826.84552036,42125453.10275098
26,1986-01-01,28313859.160703003,61721029.3275218,44951010.360272765
27,1987-01-01,31964958.96156603,65894591.94245311,48338627.418451
28,1988-01-01,34706916.328059934,70122193.41167258,52287194.5956132
29,1989-01-01,34150210.253609166,69678239.39965947,52003057.74017241
30,1990-01-01,38191466.03019679,72005796.07785279,54828615.00469667
31,1991-01-01,41555270.2902758,75135570.19230518,58216232.06546386
32,1992-01-01,46785766.46762455,79695892.70544821,62164799.245210804
33,1993-01-01,45632566.09112651,78246759.4391475,61880586.70842781
34,1994-01-01,46772517.35372411,81136787.92814465,64706068.49839413
35,1995-01-01,51003404.86326058,84681114.01479572,68092608.87338184
36,1996-01-01,55129070.357641675,89596161.12980697,72040099.36735514
37,1997-01-01,54273740.80887149,87554329.86686979,71754702.2393655
38,1998-01-01,57690574.66589179,91127986.27959858,74579002.6747166
39,1999-01-01,61028116.11616124,96008125.26135662,77965325.27101493
40,2000-01-01,63937848.240662925,96356050.99886432,81912418.37166455
41,2001-01-01,65079875.1686067,99034625.85425687,81626803.39947483
42,2002-01-01,67771423.98698911,101690441.58612815,84450730.35461396
43,2003-01-01,71210251.42860496,104879031.26805258,87836717.10506022
44,2004-01-01,74592976.92243135,109130885.97546792,91783529.65678006
45,2005-01-01,75242850.14343652,108786002.28709729,91497633.36706156
46,2006-01-01,78227397.5033092,111895110.30617759,94321296.18049319
47,2007-01-01,80630809.78014158,114603649.88313033,97707018.7892294
48,2008-01-01,85808194.40262803,118417915.11337724,101653261.17647594
49,2009-01-01,84649884.15223983,118220295.27181987,101366793.1601727
50,2010-01-01,87844487.58363307,120169054.6599582,104190025.63313109
51,2011-01-01,90919179.07443596,124538830.81368934,107575317.90139759
52,2012-01-01,94912343.04344751,128462106.21789798,111521560.28864142
53,2013-01-01,94180356.07452323,126954826.66582978,111235092.27234086
54,2014-01-01,96933258.07906868,132208647.92378162,114058324.74530004
55,2015-01-01,100108895.61991163,134976416.1453722,117443617.01356468
56,2016-01-01,104269013.17176545,136559226.20251605,121389859.40080765
57,2017-01-01,103899442.72771299,138160087.03053164,121103391.38450658
58,2018-01-01,106454470.28084183,141471658.04281607,123926623.85746506
59,2019-01-01,109918027.3636194,143589688.33099547,127311916.12573346
60,2020-01-01,114905550.36971334,146415163.80827865,131258158.51297104
61,2021-01-01,113948500.97295846,147139630.506349,130971690.49667215
62,2022-01-01,117229438.49961472,151078557.39400235,133794922.96963249
63,2023-01-01,119056350.04614164,153858128.39735684,137180215.23789653
64,2024-01-01,124671077.6084452,157860030.59933016,141126457.6251455
65,2025-01-01,124286260.06086579,157965497.76204306,140839989.60884243
66,2026-01-01,125913875.59929761,160348283.12499726,143663222.08179978
67,2027-01-01,130484444.87581208,162982076.2654531,147048514.35006842
68,2028-01-01,132821730.67286958,167354998.38048178,150994756.73730424
69,2029-01-01,133386788.9381727,167494343.27807334,150708288.72100598
70,2030-01-01,136613712.222802,170722102.53363153,153531521.1939625
