,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1531418.3870336288,289426.21970035805,-607348.2724226504
1,1961-01-01,-1278672.4522041366,445582.61399572564,-433309.65841088496
2,1962-01-01,-1240967.301410861,570965.4021707898,-369099.48459075927
3,1963-01-01,-1123117.8249579426,575051.4438425128,-308499.54964777164
4,1964-01-01,-1143845.6079062398,650129.9797313742,-251475.27274447517
5,1965-01-01,-976963.5259068743,765833.2490562827,-77436.65865757674
6,1966-01-01,-862150.6963182803,880786.0788580212,-13226.484762507782
7,1967-01-01,-807210.7472540132,869372.8863002625,47373.45024651848
8,1968-01-01,-731516.5927215872,993609.852742473,104397.7272158452
9,1969-01-01,-556517.7258341524,1207941.9072802833,278436.34131171013
10,1970-01-01,-519075.764644204,1202060.9189266409,342646.5152242382
11,1971-01-01,-515733.1455738479,1311846.1017788635,403246.4502088004
12,1972-01-01,-456614.1530217066,1342929.2108961318,460270.727191887
13,1973-01-01,-246362.9483388247,1570674.7016950806,634309.3413345355
14,1974-01-01,-193206.64003809914,1548639.3445360796,698519.5152545171
15,1975-01-01,-132970.96588813118,1658270.6284437433,759119.4502464794
16,1976-01-01,-57379.71194228556,1673788.0275213406,816143.7272151698
17,1977-01-01,102619.26099226013,1791517.4678110022,990182.3413433719
18,1978-01-01,15415.132530934507,1929332.9350646113,1054392.5152493638
19,1979-01-01,270277.0174922208,1982033.1099326333,1114992.4502272927
20,1980-01-01,250234.0592936788,2053853.3111133736,1172016.727212299
21,1981-01-01,484804.9278999138,2240142.4693927304,1346055.3413569022
22,1982-01-01,568179.5363298588,2324737.258768373,1410265.5153382511
23,1983-01-01,585430.1313082294,2346632.750163098,1470865.4503915773
24,1984-01-01,636685.5721043022,2354163.3622341473,1527889.7273756694
25,1985-01-01,840484.3755605511,2560695.6020539245,1701928.3414586135
26,1986-01-01,868425.8845951039,2636887.3663493483,1766138.5153498081
27,1987-01-01,928817.5328597198,2737657.496173362,1826738.4502553786
28,1988-01-01,1045696.6051697992,2779384.191792672,1883762.7271212097
29,1989-01-01,1197966.5703820863,2951729.280105287,2057801.341106684
30,1990-01-01,1284010.076626556,3013496.458767414,2122011.514900561
31,1991-01-01,1339754.5235302686,3100844.8140785554,2182611.4497901932
32,1992-01-01,1306528.507412231,3075941.877494675,2239635.7266401853
33,1993-01-01,1526255.2686919817,3307665.1262531187,2413674.301965611
34,1994-01-01,1611787.3960097171,3336266.174086616,2477884.437205062
35,1995-01-01,1651801.0917360839,3431946.590467889,2538471.604926282
36,1996-01-01,1710738.3766535842,3538380.245908741,2595483.1146077514
37,1997-01-01,1826895.4901101557,3660897.0250379713,2769508.9146765955
38,1998-01-01,1918202.8139602942,3786745.2877207804,2833706.3095645206
39,1999-01-01,2003130.6325878785,3774675.9976045615,2894291.392983008
40,2000-01-01,2046445.0602356987,3870606.579280564,2951296.005888233
41,2001-01-01,2265794.161707985,4071921.169147625,3125314.9020793694
42,2002-01-01,2231080.977926406,4118332.262342613,3189501.5511448896
43,2003-01-01,2352934.987951674,4130052.3980192374,3250077.961282432
44,2004-01-01,2462166.126307929,4191093.009587143,3307078.688518973
45,2005-01-01,2565107.2527120956,4420611.2169380775,3481093.6883950043
46,2006-01-01,2679399.4642709666,4437963.660280862,3545270.0840108115
47,2007-01-01,2745063.691386743,4444041.524875818,3605836.240698576
48,2008-01-01,2778826.639216125,4481150.407281162,3662820.6771097123
49,2009-01-01,3019250.5431983075,4686978.000213383,3836819.341528314
50,2010-01-01,3023532.985908021,4822429.4220341435,3900989.674907104
51,2011-01-01,3080398.1131104,4916228.969050661,3961549.7693578694
52,2012-01-01,3193055.143103217,4885794.035815434,4018534.2057690676
53,2013-01-01,3267451.054418882,5077088.675421222,4192532.870187637
54,2014-01-01,3427846.8233013777,5131146.527113066,4256703.203566346
55,2015-01-01,3380202.143685179,5187534.040727818,4317263.298017209
56,2016-01-01,3518261.4126749546,5234160.196384007,4374247.734428406
57,2017-01-01,3699095.0047585764,5452780.062238046,4548246.398846989
58,2018-01-01,3676799.1963432846,5533736.476869994,4612416.73222578
59,2019-01-01,3753720.99453915,5582456.025599618,4672976.8266765205
60,2020-01-01,3808621.4301256756,5577922.349011507,4729961.263087804
61,2021-01-01,4008304.2442216906,5770532.324726155,4903959.927506296
62,2022-01-01,4053971.5727912867,5768458.287902009,4968130.260885088
63,2023-01-01,4101378.0095467097,5867030.457343147,5028690.355335933
64,2024-01-01,4158800.796661781,6002962.797148389,5085674.791747039
65,2025-01-01,4432138.553763895,6150380.099647402,5259673.456165662
66,2026-01-01,4410834.153418698,6164325.814892956,5323843.789544407
67,2027-01-01,4501270.928357005,6312474.383897082,5384403.883995168
68,2028-01-01,4574737.719384308,6293289.566381473,5441388.320406506
69,2029-01-01,4667271.587346368,6499038.679248736,5615386.984824971
70,2030-01-01,4754451.695074431,6586158.864367593,5679557.318203928
