,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1345279.4631037186,-196259.2123668295,-771397.4547737213
1,1961-01-01,-1235890.6802273584,-59776.41512540057,-673048.5018071646
2,1962-01-01,-1172187.8021332829,-67873.49895443974,-598673.3033311786
3,1963-01-01,-1052068.7631839882,84166.51472461224,-481854.06752628274
4,1964-01-01,-928940.3037795376,251671.6837323999,-322593.91320219357
5,1965-01-01,-818645.8150311832,338755.43414601375,-224244.9593211296
6,1966-01-01,-786761.7885381976,471124.5069904629,-149869.75993312337
7,1967-01-01,-623873.0432811792,522022.7086789906,-33050.52387180552
8,1968-01-01,-445231.501855954,721309.1318442412,126209.63070881506
9,1969-01-01,-336871.25173913804,861770.3678091236,224558.5845175134
10,1970-01-01,-298341.93018177984,872740.9185106966,298933.78372238437
11,1971-01-01,-193073.30101174628,963311.0786324012,415753.01990570687
12,1972-01-01,-5756.252509782606,1150604.081362592,575013.7321530371
13,1973-01-01,147407.53453231882,1245153.7320707906,673363.2449226072
14,1974-01-01,186563.17674332234,1345256.2095051876,747759.0544725303
15,1975-01-01,288374.804783479,1408973.24389846,864598.9010008569
16,1976-01-01,422223.37058368395,1548841.0865749533,1023884.6887769187
17,1977-01-01,574258.0137842619,1721627.3955333896,1122259.3457753044
18,1978-01-01,596915.4216730522,1766468.3620669986,1196695.3921976122
19,1979-01-01,719660.9377275703,1968166.8342045082,1313575.4755982733
20,1980-01-01,876626.8160950914,2036674.1840356465,1472896.4779956802
21,1981-01-01,969859.095124349,2139383.4924757,1571306.446093739
22,1982-01-01,1071908.2952568934,2247264.2665192736,1645742.4931899933
23,1983-01-01,1173018.2515321383,2301557.3404593267,1762622.57726472
24,1984-01-01,1307646.4966356182,2490771.008426483,1921943.5798793696
25,1985-01-01,1455425.6409520684,2584441.4893409493,2020353.5480531338
26,1986-01-01,1549172.8246296,2688750.5444241464,2094789.5950284717
27,1987-01-01,1656786.1058237534,2785598.505481791,2211669.6792796943
28,1988-01-01,1753969.4100030158,2954310.566416028,2370990.6820503823
29,1989-01-01,1873984.6967009169,3053960.6608107253,2469400.6506737783
30,1990-01-01,1957422.6651087403,3111602.16801893,2543836.6980971615
31,1991-01-01,2081362.8878455632,3196764.132775554,2660716.7821035367
32,1992-01-01,2206484.4768338674,3406037.814005723,2820037.7846292453
33,1993-01-01,2328413.6973750754,3462146.2617443944,2918447.7521586185
34,1994-01-01,2408043.178950564,3573296.6937861117,2992883.7984914226
35,1995-01-01,2508264.85042337,3635483.449514352,3109763.881938596
36,1996-01-01,2701740.5745050153,3899180.6319592735,3269084.8839053633
37,1997-01-01,2773903.0340060224,3956389.530494025,3367494.8377463147
38,1998-01-01,2913956.333653926,4040419.3663336486,3441930.8704283605
39,1999-01-01,3033530.7306027547,4150043.9750420256,3558810.940307856
40,2000-01-01,3119043.7503764704,4250195.591780004,3718131.9289397234
41,2001-01-01,3282168.6872530077,4411901.934707658,3816541.883234257
42,2002-01-01,3305848.7945365245,4518999.813415682,3890977.9157291204
43,2003-01-01,3432947.628861252,4591469.422452005,4007857.985202552
44,2004-01-01,3565887.561584059,4734114.3147964375,4167178.9727282063
45,2005-01-01,3674449.625337858,4819366.226885216,4265588.925913923
46,2006-01-01,3724281.124951014,4923827.835851568,4340024.958269309
47,2007-01-01,3856046.9920349848,5058727.922628938,4456905.02760278
48,2008-01-01,4025397.901592165,5201805.312757322,4616226.015455012
49,2009-01-01,4113979.0896089296,5335490.500732854,4714635.968967707
50,2010-01-01,4203083.70444441,5390432.967294382,4789072.001322025
51,2011-01-01,4319357.494992871,5530631.797720337,4905952.070654858
52,2012-01-01,4507546.247231326,5662358.772352945,5065273.058507004
53,2013-01-01,4559966.354598354,5750625.933039646,5163683.012019874
54,2014-01-01,4677738.745826784,5851503.756153344,5238119.044374021
55,2015-01-01,4782841.420340921,5945188.725192245,5354999.113706961
56,2016-01-01,4944772.4490581155,6102539.129977452,5514320.10155901
57,2017-01-01,5048673.196292078,6215448.310799862,5612730.055071875
58,2018-01-01,5079600.067147086,6231502.032269668,5687166.0874261875
59,2019-01-01,5176730.78620977,6394974.650619092,5804046.156759124
60,2020-01-01,5377063.805984297,6551498.858849873,5963367.144610953
61,2021-01-01,5540871.459740173,6650339.5073521845,6061777.098123728
62,2022-01-01,5607470.161338624,6737339.257794734,6136213.130478242
63,2023-01-01,5743958.903734008,6829310.792215288,6253093.199811073
64,2024-01-01,5861988.860601612,7025810.963309382,6412414.187663437
65,2025-01-01,5943910.687011666,7057508.652811325,6510824.14117623
66,2026-01-01,6002052.766950135,7167060.372055032,6585260.173530293
67,2027-01-01,6112315.870843456,7294516.943275524,6702140.2428633105
68,2028-01-01,6281487.045285568,7428954.652625729,6861461.230715123
69,2029-01-01,6369379.023558354,7560516.022383178,6959871.184227895
70,2030-01-01,6443519.0006914865,7639334.659022767,7034307.216582532
