,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-82520810.33838154,51122094.15552636,-18293289.40226019
1,1961-01-01,-84443337.6758938,52406225.576241,-11200104.215045765
2,1962-01-01,-77826356.33344519,63036886.274792284,-5998680.254784852
3,1963-01-01,-72314568.15937243,67254097.885661,387676.8421373069
4,1964-01-01,-58077280.0186223,75953256.81250934,7959254.319652706
5,1965-01-01,-51580325.77696805,81254891.04480699,15052439.511444569
6,1966-01-01,-50096303.49820418,84759508.36714359,20253863.476271152
7,1967-01-01,-39136381.565871336,90990503.32266822,26640220.57387668
8,1968-01-01,-31468190.494573075,98929962.66194545,34211798.05207804
9,1969-01-01,-27404913.95332437,109514264.77388571,41304983.23306388
10,1970-01-01,-23180432.953899466,117645734.61248067,46506407.19478764
11,1971-01-01,-14751336.12872101,125020443.72064006,52892764.29307993
12,1972-01-01,-8486856.937547386,127838976.60356852,60464341.777915284
13,1973-01-01,-1505935.4170491642,133840220.97462954,67557526.97255625
14,1974-01-01,1204706.2086401747,143007072.5394849,72758950.93383999
15,1975-01-01,15581435.489986243,150200290.15164247,79145308.03169025
16,1976-01-01,20205837.558265824,155994576.94930124,86716885.51465625
17,1977-01-01,27827106.90024484,160281800.79069746,93810070.7074222
18,1978-01-01,32172227.550388172,167872899.951761,99011494.67843851
19,1979-01-01,41318649.24304248,173541461.76180577,105397851.78601983
20,1980-01-01,41479530.06219957,178391026.68535367,112969429.27285567
21,1981-01-01,49799023.18210908,185120680.35409537,120062614.46950024
22,1982-01-01,59542812.613753125,199986562.2398655,125264030.28560749
23,1983-01-01,62359489.12247124,193699920.65876073,131650379.23828341
24,1984-01-01,71174940.25012556,210205829.89945054,139221236.74367365
25,1985-01-01,78632814.80360606,215548952.91737598,146313690.4130547
26,1986-01-01,81537468.24802925,216952708.63856283,151514384.85417676
27,1987-01-01,91834590.7497273,225257405.70390782,157899844.0039349
28,1988-01-01,97932215.42025392,227004584.8899837,165470523.53429317
29,1989-01-01,108537151.85246159,236786144.9049769,172562181.7167549
30,1990-01-01,107651036.98917606,248498820.74739993,177762082.84440738
31,1991-01-01,114105235.78758708,250235525.3625508,184146093.29906029
32,1992-01-01,125970130.65005621,258868503.23007867,191715324.13431054
33,1993-01-01,132163989.58379002,265043088.72209635,198805666.02006608
34,1994-01-01,133633166.44210163,268573861.7936769,204004254.44746393
35,1995-01-01,145001722.544718,277506199.4258483,210387652.94943017
36,1996-01-01,149429829.31149548,284745094.0654105,217956271.83200032
37,1997-01-01,160103227.24093753,295507257.55819374,225045553.69659388
38,1998-01-01,162562731.54379353,295558131.92052734,230243084.99906996
39,1999-01-01,170117141.0161745,302145443.943039,236623977.07419062
40,2000-01-01,175376671.20354494,311072209.7968872,244189433.93963292
41,2001-01-01,177474645.80447805,324645443.0469441,251276481.7460556
42,2002-01-01,188428127.66281086,322937279.6946777,256471777.10336563
43,2003-01-01,192066631.7561305,332550321.0919558,262852005.59724757
44,2004-01-01,203437761.52776754,338712688.2014296,270417454.460469
45,2005-01-01,210180779.61051542,346427126.80818367,277504494.24275154
46,2006-01-01,216815208.90386924,354508765.961375,282699789.5822077
47,2007-01-01,224002295.58722475,354925269.3303096,289080018.0582209
48,2008-01-01,223557753.76258382,366010586.4506829,296645466.9095856
49,2009-01-01,237514582.9456942,374558566.94464874,303732506.67996854
50,2010-01-01,240895824.5756063,374120207.20280516,308927802.0141635
51,2011-01-01,244758073.30200735,382767256.5447819,315308030.48492897
52,2012-01-01,258930908.12078923,388120364.129744,322873479.3362917
53,2013-01-01,259071471.92357385,396098387.7588377,329960519.1066792
54,2014-01-01,273924358.0025012,403347056.36910266,335155814.4408684
55,2015-01-01,271830808.4286488,411719942.12815654,341536042.91163754
56,2016-01-01,281381803.33043694,420483195.1532641,349101491.7629979
57,2017-01-01,285903002.2054435,423445717.66112727,356188531.53338504
58,2018-01-01,287134636.0796615,428653569.3258077,361383826.86758006
59,2019-01-01,298601489.7876376,439880927.48754394,367764055.3383478
60,2020-01-01,304322404.4713557,443529801.30076617,375329504.18970263
61,2021-01-01,313055580.3839184,448011128.94778115,382416543.96008646
62,2022-01-01,319264078.11448985,451203344.33360887,387611839.29428744
63,2023-01-01,328513271.12272,466114305.73321676,393992067.7650531
64,2024-01-01,338494253.2176489,471386160.1420246,401557516.61642146
65,2025-01-01,340907349.24259454,474290276.57151455,408644556.3868077
66,2026-01-01,351527811.96508414,487659214.44653755,413839851.7209943
67,2027-01-01,352487483.620462,490022235.428521,420220080.19176483
68,2028-01-01,360381814.5834634,494687290.0751806,427785529.0431199
69,2029-01-01,364979905.258464,503111282.8640147,434872568.8135031
70,2030-01-01,370060676.4354036,507403098.3367698,440067864.14770937
