,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-34675244.30010333,3466474.2890775544,-15943726.825691016
1,1961-01-01,-32969812.76246753,4595649.011991289,-14720430.95437866
2,1962-01-01,-30396892.03201058,5825800.451541569,-12767248.733688666
3,1963-01-01,-28606879.577775538,7225167.3818345945,-10580455.06433113
4,1964-01-01,-26068854.265982028,9860972.318953507,-8160364.9758771695
5,1965-01-01,-27432869.714320544,11586179.908090066,-6937069.1045941785
6,1966-01-01,-23313145.467385408,12278498.405491916,-4983886.883933481
7,1967-01-01,-20576065.255862653,14934145.144033657,-2797093.2146699093
8,1968-01-01,-16360224.364361793,19047855.39461339,-377003.1263093762
9,1969-01-01,-16721607.45663373,20164518.51518519,846292.7453756258
10,1970-01-01,-15383269.741419762,21323767.691473544,2799474.967050284
11,1971-01-01,-13947865.127509464,22817494.685142532,4986268.637080379
12,1972-01-01,-9576478.533951335,25203617.20158204,7406358.726093054
13,1973-01-01,-10481971.805936823,26699106.74183928,8629654.598278452
14,1974-01-01,-7200820.507156854,29179689.41651127,10582836.820364367
15,1975-01-01,-6221027.931713099,30656946.1500312,12769630.490805995
16,1976-01-01,-3523085.5044262335,34728931.09215803,15189720.580204234
17,1977-01-01,-1576465.4686368888,34978608.10908492,16413016.45277638
18,1978-01-01,887166.6150734593,36624232.131503716,18366198.674467474
19,1979-01-01,2831004.0490311338,38206573.541431956,20552992.3445145
20,1980-01-01,3453591.4798089825,42955594.33236604,22973082.433793742
21,1981-01-01,6143591.909079238,41753233.063468054,24196378.30624585
22,1982-01-01,8286482.931471678,44497254.76282267,26149560.528176688
23,1983-01-01,11386464.856284572,45740841.5790436,28336354.198463596
24,1984-01-01,11271301.550468946,49499952.326995,30756444.288192146
25,1985-01-01,13600309.02242193,50420865.145247,31979740.16157076
26,1986-01-01,16289207.789085852,51132991.0405652,33932922.3843225
27,1987-01-01,18446435.276459336,53893934.32419799,36119716.05492047
28,1988-01-01,20556637.379503343,56333153.00854403,38539806.144616365
29,1989-01-01,20734144.775824357,58523875.73635678,39763102.01694836
30,1990-01-01,23722979.660658196,60904001.246544406,41716284.23865555
31,1991-01-01,24588959.98357255,61856777.74763522,43903077.90887133
32,1992-01-01,29212633.158207987,64901232.49783876,46323167.99818371
33,1993-01-01,29821308.657509588,66267753.12858177,47546463.8707165
34,1994-01-01,31755655.85969167,67363938.06065388,49499646.0926259
35,1995-01-01,33761911.46655933,69999374.89705476,51686439.76211807
36,1996-01-01,35349925.28953271,71817587.99192096,54106529.85070917
37,1997-01-01,35674723.01040238,73849765.69860932,55329825.719642706
38,1998-01-01,39522641.0936168,76261886.21084332,57283007.937964246
39,1999-01-01,42075689.90673837,78096549.91629799,59469801.602069184
40,2000-01-01,43472927.382189974,80987160.6583568,61889891.684562035
41,2001-01-01,44195920.047691494,81834785.91378246,63113187.550203614
42,2002-01-01,46626867.22770894,84099737.28813179,65066369.764908575
43,2003-01-01,50072941.73156658,85356549.9207302,67253163.42796955
44,2004-01-01,52083593.862156495,87736010.6034992,69673154.23396538
45,2005-01-01,51423633.62644953,88843591.49887046,70896350.55112782
46,2006-01-01,54006689.06209113,91007444.71786328,72849433.48862104
47,2007-01-01,56950800.12879559,94964490.06890179,75036127.874469
48,2008-01-01,59340717.36936863,94762133.30572835,77456118.67955297
49,2009-01-01,60805842.71889587,96408220.29616395,78679314.99579561
50,2010-01-01,61450946.86733414,98742910.30534577,80632397.93342645
51,2011-01-01,66230953.30576647,100360203.32284188,82819092.31941357
52,2012-01-01,67709896.96605869,103067694.81858833,85239083.12449676
53,2013-01-01,68775118.64071113,104467371.77426215,86462279.4407404
54,2014-01-01,70550138.66023816,106493770.17378837,88415362.37837133
55,2015-01-01,73358500.54400879,109615011.2678964,90602056.76435816
56,2016-01-01,74147779.14139712,111249805.60653028,93022047.56944089
57,2017-01-01,74848259.83058815,112959760.13296032,94245243.88568453
58,2018-01-01,76552453.27110808,114583929.59491919,96198326.82331538
59,2019-01-01,79513746.9630557,116392671.21698052,98385021.2093035
60,2020-01-01,82186647.83096498,119222890.63372141,100805012.01438412
61,2021-01-01,84581539.74328291,120786582.7470644,102028208.33062822
62,2022-01-01,86442830.16067751,122520872.54085448,103981291.26825994
63,2023-01-01,87227944.20669532,125268512.38831742,106167985.65424651
64,2024-01-01,90986158.94404848,126550239.47906576,108587976.45933147
65,2025-01-01,90452687.25935552,127869383.25437842,109811172.77557419
66,2026-01-01,92439107.55644251,130502321.39954661,111764255.71320449
67,2027-01-01,95946615.2109032,131362150.8992379,113950950.09919278
68,2028-01-01,98049320.63077958,134724524.31681505,116370940.90427294
69,2029-01-01,97730216.79749718,135218647.46763077,117594137.22051711
70,2030-01-01,102528928.2008885,137198878.054107,119547220.15814817
