,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,11.820996350127032,964.819168453558,478.23896563665016
1,1961-01-01,87.88013113473761,1020.2136000159077,559.9992368494056
2,1962-01-01,145.45701118089835,1134.5513904119005,622.8310614881724
3,1963-01-01,201.94577015533483,1163.8450318335917,702.5682942309227
4,1964-01-01,329.2971796222363,1267.1455324443925,799.1868347763819
5,1965-01-01,392.64212984637317,1390.8472534713546,880.9471060198105
6,1966-01-01,472.98690884317483,1388.3184612958307,943.7789306891993
7,1967-01-01,568.1133099077947,1486.7979293708345,1023.516163356456
8,1968-01-01,668.7555789989514,1601.7152074211322,1120.1347038264753
9,1969-01-01,703.5926129169234,1684.5421270177526,1201.8949751025198
10,1970-01-01,771.1736128566594,1724.622443222209,1264.7267998462753
11,1971-01-01,846.5661586651617,1808.492969302955,1344.4640326898802
12,1972-01-01,1005.2212967949906,1931.413665986018,1441.0825732998946
13,1973-01-01,1042.7731222744599,1984.695047615834,1522.8428445814125
14,1974-01-01,1131.0885601947489,2056.157502068277,1585.6746743556205
15,1975-01-01,1179.4243115361614,2142.3477524011346,1665.4119122296588
16,1976-01-01,1281.6167273269607,2223.3482339294173,1762.082371458222
17,1977-01-01,1346.4515669578486,2343.2326296232736,1843.8947036010873
18,1978-01-01,1458.7236535245656,2400.1533326401836,1906.8867022018237
19,1979-01-01,1490.9045839578446,2452.507604844703,1986.7841089023675
20,1980-01-01,1742.6256507334142,2727.157373978779,2250.4134405066193
21,1981-01-01,2011.3808539161173,2959.8123597029485,2499.64206659329
22,1982-01-01,2220.6262063751533,3258.7502392680626,2729.4937852250646
23,1983-01-01,2519.5934020321133,3424.3220100915905,2976.2509119567417
24,1984-01-01,2747.5014475906946,3688.4563160225903,3239.9229137508814
25,1985-01-01,3021.8369044648175,3977.6269132978487,3489.345358304477
26,1986-01-01,3230.0625202819224,4232.882397887301,3719.3812629144836
27,1987-01-01,3478.3805725587454,4443.306727756858,3966.3225756982765
28,1988-01-01,3762.9723915948175,4707.99130712217,4230.14519628483
29,1989-01-01,3979.402122906746,4949.838904126946,4479.567640874764
30,1990-01-01,4245.531920072757,5164.541842404291,4709.603545520884
31,1991-01-01,4473.31012570588,5443.1247630886355,4956.544858402522
32,1992-01-01,4752.01244941712,5690.540134648098,5220.367479086951
33,1993-01-01,4983.328778387815,5917.381871883404,5469.7899239132275
34,1994-01-01,5192.672140504152,6202.751292551794,5699.8258287951185
35,1995-01-01,5445.406044098042,6412.238300863814,5946.765938916214
36,1996-01-01,5729.071689516033,6682.084486705463,6210.58735684034
37,1997-01-01,5987.252179925612,6915.388312908148,6460.005075417572
38,1998-01-01,6209.432617965822,7177.940481105386,6690.036266963899
39,1999-01-01,6406.678291774722,7387.657647096134,6936.902557609599
40,2000-01-01,6725.1477682385475,7665.474415024475,7200.472424799182
41,2001-01-01,6959.600875238764,7954.44126293764,7449.641423554771
42,2002-01-01,7157.009195369125,8167.0618753132885,7679.400378079322
43,2003-01-01,7422.581025534757,8407.882423367759,7926.064740703663
44,2004-01-01,7661.875872706142,8597.410962782977,8111.855883894114
45,2005-01-01,7825.788579797922,8771.341196978194,8283.033066256343
46,2006-01-01,7947.71533805675,8893.816718098984,8435.022724143262
47,2007-01-01,8138.175607347177,9085.357883500901,8603.917790130145
48,2008-01-01,8299.732649343518,9268.621505911866,8789.689185701343
49,2009-01-01,8466.168653239632,9458.393621069445,8960.84656634098
50,2010-01-01,8618.723152740144,9573.131415577223,9112.83124600955
51,2011-01-01,8812.85808552496,9776.693693105686,9281.721333777903
52,2012-01-01,8973.360178765312,9906.560752307982,9467.49272934916
53,2013-01-01,9150.417166646908,10136.648878693126,9638.65010998886
54,2014-01-01,9314.009382151082,10276.010685328229,9790.634789657466
55,2015-01-01,9513.965064957925,10419.237931487216,9959.524877425894
56,2016-01-01,9650.471518512799,10633.598329889843,10145.296272996982
57,2017-01-01,9866.595027021627,10803.883232456898,10316.453653636812
58,2018-01-01,9997.341745360885,10938.465923798116,10468.438333305381
59,2019-01-01,10170.728265168687,11127.80044505703,10637.32842107404
60,2020-01-01,10322.852786860089,11292.260101009862,10823.099816644819
61,2021-01-01,10484.438376270245,11495.62339931172,10994.257197284718
62,2022-01-01,10657.68504581482,11609.269580488588,11146.241876953292
63,2023-01-01,10823.796351665202,11815.792217495049,11315.131964721695
64,2024-01-01,11021.6219569588,12000.919815755004,11500.903360293101
65,2025-01-01,11194.931259977679,12181.821620442222,11672.060740932602
66,2026-01-01,11327.887732769494,12352.283692252982,11824.045420601231
67,2027-01-01,11496.647629170835,12502.65634709382,11992.935508369885
68,2028-01-01,11716.247897049045,12707.84126805329,12178.706903940712
69,2029-01-01,11874.960644178023,12883.528641904237,12349.86428458054
70,2030-01-01,11976.152013055673,13074.866568441777,12501.848964249151
