,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,181.1591647183434,404.0745634182079,296.75176226526685
1,1961-01-01,208.75375173233402,429.8433567705097,317.14637974817333
2,1962-01-01,227.4161743297684,452.180239611619,336.93454863469896
3,1963-01-01,263.18261872917157,478.65347007388016,370.39581121437794
4,1964-01-01,300.32890172791866,526.7346727156145,417.51496620138437
5,1965-01-01,332.7629970419689,544.1774322020632,437.9095836457103
6,1966-01-01,349.0094569102494,563.9268833926031,457.69775249377204
7,1967-01-01,380.402190451099,596.9307566329734,491.1590149933944
8,1968-01-01,425.69148460635455,653.1270097191183,538.2781699003864
9,1969-01-01,440.66538161515143,668.0614739342639,558.6661642724478
10,1970-01-01,459.1228049952322,693.4128177923405,578.4418234466821
11,1971-01-01,498.3635370221059,722.2108540610855,611.8905763305909
12,1972-01-01,548.6470677473669,765.8828755581665,658.9860653700628
13,1973-01-01,562.9390227870501,795.5379296554594,679.3569520505769
14,1974-01-01,591.0090938857976,809.0933276784228,699.1106401645718
15,1975-01-01,614.8130988913896,847.6983111291734,732.5374219882337
16,1976-01-01,669.4400108318508,888.8298455849681,779.619582581102
17,1977-01-01,690.5583411296088,912.0256821913744,799.9771042987177
18,1978-01-01,711.09637050122,929.6267559288417,819.7282787718226
19,1979-01-01,744.8435519083234,967.9422307706155,853.1525469545767
20,1980-01-01,793.1863239100096,1012.0888805818557,900.234707534689
21,1981-01-01,814.9168294153685,1039.4046304820515,920.5922292394902
22,1982-01-01,835.7875956753362,1057.9472154656287,940.3434037096133
23,1983-01-01,862.22024503714,1080.0375513963913,973.7676718894478
24,1984-01-01,911.951617728689,1129.609116553296,1020.8645053352373
25,1985-01-01,938.7310976491327,1156.9387284731895,1041.2434132115382
26,1986-01-01,949.7140248863964,1181.5645878235443,1061.0159154140056
27,1987-01-01,987.0554404453969,1207.9516921185389,1094.4820983908971
28,1988-01-01,1029.2473466814197,1257.6043809640582,1141.6061737751827
29,1989-01-01,1103.2660057980474,1327.2928128319145,1220.3061246860284
30,1990-01-01,1190.828254217662,1411.499309104829,1298.2403228108303
31,1991-01-01,1285.4093958230178,1499.859807392741,1389.9048739609334
32,1992-01-01,1382.4422789103053,1608.668747904116,1495.2273175184196
33,1993-01-01,1487.3980854032766,1715.5724553625819,1606.1488653640165
34,1994-01-01,1602.6425813753572,1827.0416234504542,1716.2166232735676
35,1995-01-01,1740.3325711293426,1953.5376052235215,1839.9853022928578
36,1996-01-01,1866.3352176195497,2095.8478413197827,1977.4118737196852
37,1997-01-01,1978.9719851323748,2204.1766185403612,2088.3613252281534
38,1998-01-01,2082.9618257480174,2309.223957151692,2198.456910561206
39,1999-01-01,2212.8670960031604,2430.935692313665,2322.2255895907233
40,2000-01-01,2353.9238116664133,2570.8347380111695,2459.652161048525
41,2001-01-01,2460.4107958756354,2680.425169849806,2570.601612564744
42,2002-01-01,2570.8725419352004,2797.1515630518165,2680.694817624126
43,2003-01-01,2697.797888686747,2911.3062934421014,2804.461116393173
44,2004-01-01,2832.528862142152,3044.94239603287,2941.8694816138627
45,2005-01-01,2933.8953892471295,3160.61375831808,3052.8006770131383
46,2006-01-01,3040.3808327276206,3276.769593441025,3162.833232340935
47,2007-01-01,3173.5007828580124,3399.2337029387427,3286.5388813784234
48,2008-01-01,3254.3918554767097,3467.0802832953777,3364.313178574356
49,2009-01-01,3307.7080480826426,3527.7313844399523,3415.4469249403537
50,2010-01-01,3354.3602268011005,3572.0863899828873,3465.8902360192083
51,2011-01-01,3417.778319621185,3646.913822883041,3530.006640807725
52,2012-01-01,3505.039204970714,3724.7596475742275,3607.7809380036724
53,2013-01-01,3547.507150907286,3764.7033182919004,3658.9146843697235
54,2014-01-01,3607.0359471002294,3816.32013710141,3709.3579954485845
55,2015-01-01,3666.5270385904296,3888.5781002350227,3773.474400237139
56,2016-01-01,3750.21579708595,3961.476154915656,3851.248697432989
57,2017-01-01,3790.4893392152244,4016.937734407713,3902.3824437991016
58,2018-01-01,3839.931860040883,4061.3613565966457,3952.825754877957
59,2019-01-01,3916.240449628596,4125.528253227445,4016.9421596666307
60,2020-01-01,3984.7486315160063,4205.087144388861,4094.716456862302
61,2021-01-01,4033.4324204738496,4258.663922263299,4145.850203228444
62,2022-01-01,4090.537791013765,4306.786169605015,4196.293514307331
63,2023-01-01,4145.004147118876,4368.275985389633,4260.409919095862
64,2024-01-01,4224.480675544154,4459.89914907555,4338.184216291911
65,2025-01-01,4270.0571795696505,4506.399753522779,4389.317962657857
66,2026-01-01,4308.653190317102,4567.869010027588,4439.7612737367135
67,2027-01-01,4370.753572641153,4634.988296520972,4503.87767852539
68,2028-01-01,4439.87664725129,4719.91558480899,4581.651975721081
69,2029-01-01,4490.96619158248,4775.974432973616,4632.785722087191
70,2030-01-01,4528.1951031588005,4848.0332918218555,4683.229033166086
