,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,784.1663963083328,1365.845197267225,1076.0908300263973
1,1961-01-01,964.4406957127968,1539.5133458064363,1248.5044749127878
2,1962-01-01,1168.6609104097895,1753.668233566916,1465.0370904140786
3,1963-01-01,1379.0338874289428,1976.490460010312,1661.0923225259135
4,1964-01-01,1527.5170712784802,2149.6251244713667,1836.6681379392485
5,1965-01-01,1699.5723809173496,2313.2908018163216,2009.0817829606262
6,1966-01-01,1907.5155261820562,2517.006181697149,2225.6143985965223
7,1967-01-01,2120.6588538447104,2711.104132417016,2421.6696307780644
8,1968-01-01,2306.847885341066,2884.8429451899583,2597.2454462610513
9,1969-01-01,2482.029810477029,3068.131546612536,2769.658583624326
10,1970-01-01,2686.6311200171667,3283.6958216785224,2986.1740926881653
11,1971-01-01,2897.871194334706,3474.0463387920295,3182.2122183340243
12,1972-01-01,3064.6878056599876,3645.3542222527376,3357.7393254076233
13,1973-01-01,3234.321430357677,3831.8496707829154,3530.104128535503
14,1974-01-01,3439.7454320169777,4031.403910640872,3734.1364806598067
15,1975-01-01,3629.999724183664,4207.242305531492,3917.6914493661666
16,1976-01-01,3792.426565228735,4370.360575884945,4080.734756703385
17,1977-01-01,3935.283470559774,4526.357606219197,4240.581557903842
18,1978-01-01,4129.388619898372,4729.456838030411,4444.581660804984
19,1979-01-01,4345.126362598319,4905.679520565415,4628.104380288212
20,1980-01-01,4497.093822696964,5074.130832502898,4791.147683138659
21,1981-01-01,4675.159707043458,5247.531788482146,4950.994479840067
22,1982-01-01,4864.091654172533,5444.923734402844,5154.994582727307
23,1983-01-01,5053.2361660556,5621.4027822415055,5338.517302196561
24,1984-01-01,5212.056125662038,5804.433645763119,5501.560605032118
25,1985-01-01,5361.092710539761,5927.04442746654,5661.407401815088
26,1986-01-01,5563.43695627273,6123.140187874831,5865.407504863295
27,1987-01-01,5757.526347362706,6329.272358739965,6048.930224520584
28,1988-01-01,5921.7363297134325,6494.514554184514,6211.973527479267
29,1989-01-01,6084.456366633434,6677.140686650496,6371.820324370077
30,1990-01-01,6277.071853470554,6856.825523822873,6575.820427526042
31,1991-01-01,6457.311472196897,7042.809698457507,6759.343147326188
32,1992-01-01,6618.375826011653,7222.212778530972,6922.386450427743
33,1993-01-01,6786.002410065217,7378.976694330962,7082.23324722106
34,1994-01-01,6986.496687229274,7566.858673519417,7286.233350279604
35,1995-01-01,7184.834671502418,7754.720261186388,7469.704903040929
36,1996-01-01,7328.980293223636,7927.834633446992,7632.697039103526
37,1997-01-01,7514.286844887465,8087.837039774021,7792.485003520775
38,1998-01-01,7709.660433939475,8306.856195430457,7996.426434947283
39,1999-01-01,7767.059400769242,8354.044620935576,8085.423709384007
40,2000-01-01,7874.377696955742,8447.616636911709,8153.77280263135
41,2001-01-01,7917.522427929022,8513.725468403858,8218.665953538995
42,2002-01-01,7992.714121049494,8554.826602321862,8276.245736214078
43,2003-01-01,7987.1808380069215,8594.184532570747,8313.348135471153
44,2004-01-01,8024.875630145352,8612.792573120456,8329.961672270236
45,2005-01-01,8060.230753662681,8630.821860799726,8342.977525479033
46,2006-01-01,8059.768780523512,8636.369414714662,8334.873275030206
47,2007-01-01,8008.126417192454,8611.323154063935,8306.29164116354
48,2008-01-01,7958.752053345945,8533.793934560721,8257.184576048832
49,2009-01-01,7896.530915176796,8504.657106687888,8204.299770900401
50,2010-01-01,7907.848513162831,8519.4819594676,8196.149505902295
51,2011-01-01,7882.656583419759,8486.919565601649,8167.521857486211
52,2012-01-01,7839.595840121689,8419.317289649198,8118.4147923715045
53,2013-01-01,7774.058396147317,8358.45683189245,8065.529987222999
54,2014-01-01,7762.345724390683,8353.747924271138,8057.379722224972
55,2015-01-01,7736.988504382163,8314.18331621324,8028.752073808806
56,2016-01-01,7689.54296287143,8273.382186587769,7979.645008694174
57,2017-01-01,7626.167874894281,8220.500165851028,7926.760203545635
58,2018-01-01,7629.6045240393705,8211.851756868202,7918.609938547532
59,2019-01-01,7607.299491107457,8203.323968699484,7889.982290131337
60,2020-01-01,7556.758167448652,8136.499319814956,7840.875225016856
61,2021-01-01,7502.409513345567,8076.5327793447605,7787.990419868352
62,2022-01-01,7494.185722911916,8091.254697635031,7779.840154870166
63,2023-01-01,7462.324230238979,8038.552241395377,7751.2125064540505
64,2024-01-01,7430.641127242852,8010.46037471967,7702.105441339247
65,2025-01-01,7336.042002759402,7920.404527177824,7649.220636190806
66,2026-01-01,7328.877641212624,7972.2092192984355,7641.070371192797
67,2027-01-01,7296.891805456014,7912.0809594597085,7612.442722776566
68,2028-01-01,7272.333849429552,7881.251186079198,7563.335657662059
69,2029-01-01,7197.29440622404,7854.736840187986,7510.450852513586
70,2030-01-01,7155.22199804065,7838.498577388334,7502.300587515304
