,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-254.0342277068856,137.85247108164978,-57.67884400463515
1,1961-01-01,-168.20616162448218,239.73277181036826,17.626467774141616
2,1962-01-01,-160.77268288350896,240.53039036793643,40.70701175477564
3,1963-01-01,-140.4858742433857,269.29010207630523,62.34366233058176
4,1964-01-01,-102.55701069494154,291.260401451906,82.55744780025142
5,1965-01-01,-26.154854573387986,353.6706414242701,157.86275956585152
6,1966-01-01,-19.6343940671155,379.78783133078787,180.94330353335084
7,1967-01-01,-6.143272839138484,386.8778686527552,202.5799539746279
8,1968-01-01,24.454295842823733,410.7735812664061,222.7937393097615
9,1969-01-01,98.7615548918026,488.5537123741345,298.1010168757457
10,1970-01-01,118.95461222106547,518.5102360692682,321.1855044817969
11,1971-01-01,145.26380979514528,532.1335294047003,342.82609866888924
12,1972-01-01,173.1014125008168,563.2871427487883,363.04572204395885
13,1973-01-01,231.7975778869409,637.3714057839845,438.3568877365287
14,1974-01-01,256.01699067228265,661.8649464708471,461.46273636576944
15,1975-01-01,280.79486749907704,674.670030710125,483.12469157602544
16,1976-01-01,303.0512794729832,701.2955605498723,503.3822000365019
17,1977-01-01,372.86425167297966,765.9664847040784,578.7313546092278
18,1978-01-01,398.5809210387497,786.6049085173618,601.882259122215
19,1979-01-01,419.05126830127836,823.6547103723302,623.5892702161973
20,1980-01-01,444.69768146457113,848.0249959216655,643.9343007118209
21,1981-01-01,510.8724407703872,899.2495052769007,719.3712171061102
22,1982-01-01,548.4973087787613,945.5241541695048,742.6073376034309
23,1983-01-01,563.6652098972373,960.0086939443748,764.3995646817581
24,1984-01-01,600.1682480643693,985.6946899948754,784.7952266854927
25,1985-01-01,643.9707136142164,1047.469046453706,860.2874212875419
26,1986-01-01,698.2022404388833,1084.440721751919,883.5543374826838
27,1987-01-01,757.1344449067453,1162.7970593077455,969.5912482578176
28,1988-01-01,859.0552660939675,1243.7239004089815,1054.2052939267999
29,1989-01-01,1032.6439544921177,1426.9897029651415,1219.667448532859
30,1990-01-01,1136.0970884198682,1541.0435315530774,1332.6585051690936
31,1991-01-01,1242.9563785009623,1634.4336434500883,1444.2554064285898
32,1992-01-01,1348.8819737048177,1749.7224749418615,1554.4294425819699
33,1993-01-01,1521.3212544056803,1913.1154371757873,1719.9429653679392
34,1994-01-01,1643.761601473643,2035.0184535282522,1832.985249833885
35,1995-01-01,1739.205259607238,2156.175297633946,1944.5885234087948
36,1996-01-01,1857.0871408119,2244.665622315753,2054.76893187751
37,1997-01-01,2022.5548297801236,2428.2596584172156,2220.2873506591604
38,1998-01-01,2147.7626380270626,2523.144520330104,2333.33451774372
39,1999-01-01,2239.325178861414,2639.270641612691,2444.9377912159257
40,2000-01-01,2343.896653691312,2765.5047155235843,2555.1181993499945
41,2001-01-01,2531.9806933272102,2921.6012637508293,2720.6366177052914
42,2002-01-01,2612.576176178454,3031.917884588975,2833.6837845963764
43,2003-01-01,2732.041297668822,3138.3637858333004,2945.287058068517
44,2004-01-01,2859.946152310744,3274.880132336053,3055.46746634427
45,2005-01-01,3016.583916688778,3440.5868978165818,3220.9858848412496
46,2006-01-01,3143.503237984459,3532.8982863883575,3334.0330516326653
47,2007-01-01,3231.4684742641984,3643.601681727888,3445.6363250050326
48,2008-01-01,3358.1887889248055,3758.2683504532683,3555.8167334783975
49,2009-01-01,3530.2869586475913,3921.401540291579,3721.3351521737213
50,2010-01-01,3636.263858834803,4034.0896188163742,3834.382319172172
51,2011-01-01,3740.141881520681,4142.74449864114,3945.985592751654
52,2012-01-01,3847.125064091731,4249.662701525169,4056.1660012250295
53,2013-01-01,4039.6592235517246,4427.158852064565,4221.684419920342
54,2014-01-01,4138.034036161329,4526.838920224863,4334.731586918735
55,2015-01-01,4251.197329217759,4640.03659519418,4446.3348604982575
56,2016-01-01,4348.582134379752,4767.995566991985,4556.515268971657
57,2017-01-01,4521.858054293581,4909.503898283226,4722.033687666952
58,2018-01-01,4644.290273110887,5025.190426827362,4835.0808546654025
59,2019-01-01,4758.899493078762,5139.279011912054,4946.684128244824
60,2020-01-01,4856.993219020935,5257.247296821964,5056.864536718303
61,2021-01-01,5023.1654801010145,5409.650068479772,5222.382955413532
62,2022-01-01,5138.054363154062,5523.796573538068,5335.430122412
63,2023-01-01,5240.459111394342,5637.485561559016,5447.0333959915115
64,2024-01-01,5357.563752030683,5759.036384948585,5557.2138044648345
65,2025-01-01,5532.053500399306,5922.372007181778,5722.732223160203
66,2026-01-01,5638.84757885932,6040.427407206619,5835.779390158598
67,2027-01-01,5746.198542806057,6134.247074876568,5947.382663738041
68,2028-01-01,5855.512209481248,6249.3777622863945,6057.563072211535
69,2029-01-01,6013.7960770168065,6432.351927321108,6223.081490906763
70,2030-01-01,6121.439088348968,6547.407240262012,6336.128657905316
