,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-3277.1564209675007,270.31633606090077,-1514.6887152032434
1,1961-01-01,-3101.61405811571,382.2572800883241,-1438.8432800685166
2,1962-01-01,-2961.361165246324,409.76520880959487,-1241.2058969673208
3,1963-01-01,-2816.572143022994,871.3008861524024,-1063.0263389406928
4,1964-01-01,-2646.5885370801634,801.6994677490251,-904.3340647134262
5,1965-01-01,-2595.313158424144,951.5115051683562,-828.4886295796999
6,1966-01-01,-2417.1606967961793,1062.3821346936013,-630.8512464795267
7,1967-01-01,-2250.2248179013272,1400.47609494701,-452.67168845187837
8,1968-01-01,-2055.5151523933005,1460.8243226058341,-293.9794142236485
9,1969-01-01,-2010.9910503564836,1590.9962661577508,-218.13397908668378
10,1970-01-01,-1781.2978132998267,1718.5690510325203,-20.496595980594293
11,1971-01-01,-1785.8800419803845,1821.4835837907267,157.6829620526064
12,1972-01-01,-1332.9550848888944,2039.1657845665886,316.37523628820713
13,1973-01-01,-1461.0455893544627,2130.269231732312,392.2206714298169
14,1974-01-01,-1282.3241522900332,2413.428762439091,589.8580545450806
15,1975-01-01,-951.492915748667,2491.8651101063815,768.0376125875318
16,1976-01-01,-742.3984195298171,2624.181178468262,926.7298868307137
17,1977-01-01,-613.8741930802026,2730.159213950567,1002.5753219799313
18,1978-01-01,-716.0041933919005,2866.0519177906526,1200.2127051012978
19,1979-01-01,-424.31870143379217,3126.330223876712,1378.3922631499172
20,1980-01-01,-237.51778236207073,3336.0693612663586,1537.0845373994275
21,1981-01-01,-43.603646370818566,3339.3548732970835,1612.9299725549913
22,1982-01-01,43.20528292331084,3603.1738953207855,1810.567355727887
23,1983-01-01,285.4320087683012,3741.8265239185257,1988.746913827925
24,1984-01-01,440.34420251720906,3869.707406985849,2147.439188127073
25,1985-01-01,467.12190346967816,3969.643217966505,2223.284623345268
26,1986-01-01,634.4365891128741,4221.866246944143,2420.9220065293975
27,1987-01-01,852.782079811228,4305.431499962241,2599.101564645807
28,1988-01-01,1070.6769491185528,4602.568161338799,2757.793838962766
29,1989-01-01,1084.2703339943662,4583.279814352232,2833.6392741871214
30,1990-01-01,1284.136512876014,4753.695232528123,3031.2766573777285
31,1991-01-01,1509.9502970133308,4912.080013384894,3209.456215493404
32,1992-01-01,1488.7671933951779,5069.476124907986,3368.148489809581
33,1993-01-01,1874.974685617839,5131.959374502303,3443.993925033865
34,1994-01-01,1790.9896419880788,5358.209973314819,3641.631308224162
35,1995-01-01,1971.991873285547,5523.9627405824185,3819.8108663413586
36,1996-01-01,2249.7373839491306,5808.209826689085,3978.5031406590147
37,1997-01-01,2173.3660263610986,5695.045656302121,4054.3485758800334
38,1998-01-01,2498.1980708345654,5997.906064920878,4251.985959066923
39,1999-01-01,2642.524402776163,6157.750011223309,4430.165517181679
40,2000-01-01,2858.9401297492086,6455.320615815212,4588.8577914967045
41,2001-01-01,2844.999317690876,6414.993632185732,4664.703226717626
42,2002-01-01,3031.034835877034,6564.027965804234,4862.340609903604
43,2003-01-01,3406.62357652335,6895.578458695787,5040.520168016641
44,2004-01-01,3332.637246795685,6983.9029270202245,5199.2124423315645
45,2005-01-01,3383.6691256714917,7156.549523369874,5275.0578775529
46,2006-01-01,3784.7609978934183,7198.565506198662,5472.6952607399735
47,2007-01-01,3941.701685751711,7277.815725741086,5650.874818854411
48,2008-01-01,4117.015653356749,7568.412519973074,5809.567093168082
49,2009-01-01,4143.356785673584,7599.0234260326015,5885.412528388048
50,2010-01-01,4443.432761045669,7855.433284030163,6083.049911574114
51,2011-01-01,4502.913643155502,7811.886200202849,6261.229469687329
52,2012-01-01,4760.949516399455,8294.05092475953,6419.921744000966
53,2013-01-01,4793.195043974567,8317.830958137407,6495.767179220868
54,2014-01-01,4824.3696955799805,8466.248237932063,6693.404562407099
55,2015-01-01,5120.534906244609,8705.688991869287,6871.584120520148
56,2016-01-01,5287.75393662776,8766.579841498446,7030.276394833858
57,2017-01-01,5375.749831654375,8790.661877418393,7106.121830053737
58,2018-01-01,5549.037605483697,8997.990028526474,7303.759213239802
59,2019-01-01,5655.325413260045,9326.188547087811,7481.9387713529495
60,2020-01-01,5949.243248775311,9374.660459145985,7640.631045666729
61,2021-01-01,5965.874011241282,9458.858372984498,7716.476480886729
62,2022-01-01,6119.065646806381,9736.191065458717,7914.113864072696
63,2023-01-01,6290.222102838838,9913.112307632184,8092.293422185814
64,2024-01-01,6558.371769884031,10103.159052774256,8250.985696499416
65,2025-01-01,6532.7116066802655,10056.149839317022,8326.831131719331
66,2026-01-01,6849.334237673896,10379.32199175504,8524.468514905571
67,2027-01-01,7051.411916982147,10402.233254391293,8702.648073018658
68,2028-01-01,7215.709953784452,10529.494835760303,8861.34034733238
69,2029-01-01,7289.777751830832,10722.574928708338,8937.18578255242
70,2030-01-01,7377.734383366071,10948.382893702865,9134.82316573815
