,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-585.797068495316,-80.85019882917462,-340.29610789912806
1,1961-01-01,-559.0104410439737,-43.70823013481944,-294.7202826071425
2,1962-01-01,-448.94773432830084,71.65552694080812,-181.92378941778867
3,1963-01-01,-344.97423622166525,174.7161789492452,-78.05260882099734
4,1964-01-01,-223.82135863554643,287.76934060442113,16.85087304442183
5,1965-01-01,-188.31231491608156,337.62215279271504,62.42669844937359
6,1966-01-01,-80.86735258303533,434.6812870788334,175.22319175138236
7,1967-01-01,-7.6464156104725465,532.1121684560552,279.1544372238133
8,1968-01-01,125.41031790439595,622.277468897832,374.1179839648654
9,1969-01-01,153.56213199726707,660.1304085448469,419.83482547148924
10,1970-01-01,374.31038450688334,892.1193797551432,643.0115100562784
11,1971-01-01,598.7631937029865,1103.7430349618862,857.262882235409
12,1972-01-01,802.5863833681406,1323.2345536498256,1062.5653015504608
13,1973-01-01,967.5776494443861,1478.5102866045945,1218.8425269470522
14,1974-01-01,1173.8399951481888,1696.6435705479007,1442.0379576434843
15,1975-01-01,1390.0292475168717,1928.668100197226,1656.3080759343013
16,1976-01-01,1591.0242910289783,2127.5008038867927,1861.6104956181225
17,1977-01-01,1762.8774443746954,2272.072793074374,2017.8877213844999
18,1978-01-01,1997.1623629318974,2492.499572334642,2241.0831528170766
19,1979-01-01,2203.6655503434627,2685.073636628145,2455.35327184407
20,1980-01-01,2407.8163994200922,2911.2997189666958,2660.656906438635
21,1981-01-01,2554.2174160583377,3081.1436716387507,2816.935350444281
22,1982-01-01,2779.4019269282303,3284.9575842132194,3040.1976008238557
23,1983-01-01,2993.281119729817,3517.622398378936,3254.5345387978355
24,1984-01-01,3200.445426197242,3719.8638732095687,3460.007205197336
25,1985-01-01,3400.7656287063,3908.7243167750453,3657.3128865505637
26,1986-01-01,3676.7136789237848,4180.552514894433,3921.4246733527652
27,1987-01-01,3927.218635142708,4432.050626535046,4176.656490938102
28,1988-01-01,4175.9663063174185,4679.050374207319,4422.920609791995
29,1989-01-01,4370.950798765942,4882.785230545878,4620.272124124297
30,1990-01-01,4614.87279382458,5137.766809317251,4884.4296186790625
31,1991-01-01,4870.5823416458825,5391.387157313161,5139.661801301214
32,1992-01-01,5150.198346230538,5650.754530737447,5385.926285191962
33,1993-01-01,5331.517866409954,5816.454513749927,5583.277800576244
34,1994-01-01,5597.349959483791,6102.818843012932,5847.4352961799
35,1995-01-01,5841.312215001387,6376.100405031807,6102.667479119821
36,1996-01-01,6095.541082606011,6604.567577349101,6348.931963328473
37,1997-01-01,6281.228047176739,6806.216777864282,6546.283467408483
38,1998-01-01,6542.090693571463,7040.387536255819,6810.440951738806
39,1999-01-01,6813.955707284482,7315.770133596048,7065.627535722642
40,2000-01-01,7060.005709201077,7569.047391840805,7311.791985198024
41,2001-01-01,7247.756364245812,7753.311025432456,7509.043191522169
42,2002-01-01,7516.957398160684,8039.074733859794,7773.054056230949
43,2003-01-01,7762.939692064764,8273.389709027277,8028.139608533944
44,2004-01-01,7967.043040098377,8479.964498194253,8229.518534748911
45,2005-01-01,8125.756408341583,8660.217269174393,8381.861517749408
46,2006-01-01,8199.26473951931,8699.72231157063,8446.401517765547
47,2007-01-01,8250.406104603253,8771.06739344382,8502.016205376427
48,2008-01-01,8292.64096460919,8787.295777410634,8548.625149071577
49,2009-01-01,8285.619746091717,8815.338762210637,8545.774122202696
50,2010-01-01,8371.572440689331,8871.27968458227,8610.276077034965
51,2011-01-01,8409.972126856175,8923.88190277156,8665.852719461513
52,2012-01-01,8483.610224287808,8963.889868230926,8712.461663156735
53,2013-01-01,8453.845339022653,8971.296250277388,8709.610636287813
54,2014-01-01,8521.500420526529,9019.86320241611,8774.112591120282
55,2015-01-01,8566.960186453414,9077.448848122754,8829.689233546767
56,2016-01-01,8614.591010924723,9141.522180248492,8876.298177241886
57,2017-01-01,8627.195268092393,9131.622521146079,8873.447150373091
58,2018-01-01,8693.71874609607,9161.804229796073,8937.949105205364
59,2019-01-01,8744.258049638262,9234.114418385367,8993.525747632142
60,2020-01-01,8788.458507600028,9296.043555257118,9040.134691327066
61,2021-01-01,8789.847518290373,9297.390627566507,9037.28366445845
62,2022-01-01,8855.634053966867,9368.835704799498,9101.7856192906
63,2023-01-01,8896.180402559181,9434.211436971938,9157.362261717139
64,2024-01-01,8947.289628146162,9467.654443206833,9203.971205412408
65,2025-01-01,8921.281630540445,9461.938902874306,9201.120178543322
66,2026-01-01,8987.56712090917,9548.141789838475,9265.622133375853
67,2027-01-01,9013.076407158791,9624.227983097397,9321.198775802555
68,2028-01-01,9051.020563960987,9698.56063039415,9367.807719497505
69,2029-01-01,9010.971595909135,9724.73454490955,9364.956692628843
70,2030-01-01,9056.03400896315,9793.071782330728,9429.458647460833
