,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-365012166.6655294,162038491.54494226,-111979080.92107058
1,1961-01-01,-333061192.00804937,198329969.61296767,-72730092.41703781
2,1962-01-01,-341051763.76495457,197912308.77005842,-72224726.05871615
3,1963-01-01,-327691352.47959226,186319144.25762752,-73594285.603664
4,1964-01-01,-344100382.2232585,200354685.66352013,-76826642.5269653
5,1965-01-01,-322292843.8918806,236946882.70999545,-37577654.04390876
6,1966-01-01,-298355638.1186661,228258481.21234745,-37072287.70650062
7,1967-01-01,-282921990.55635554,233920064.81232557,-38441847.28078998
8,1968-01-01,-299553447.0235099,227247862.0273071,-41674204.233436584
9,1969-01-01,-273437390.1425018,258891370.95877668,-2425215.7212784737
10,1970-01-01,-279946480.32605153,280122641.2348543,-1919849.3079205947
11,1971-01-01,-272700638.1483824,275190481.97022045,-3289408.804294262
12,1972-01-01,-270018006.1987239,257530372.99539846,-6521765.645082625
13,1973-01-01,-226974845.01934105,307687529.6474711,32727222.948136646
14,1974-01-01,-229692986.14867884,310703719.7757609,33232589.412859824
15,1975-01-01,-231808544.688051,302746992.12080485,31863029.967832573
16,1976-01-01,-226735284.80913657,315445399.76989114,28630673.14681616
17,1977-01-01,-199817501.6400779,320580946.68256915,67879661.75985703
18,1978-01-01,-201279711.90278506,345036121.40960485,68385028.2128724
19,1979-01-01,-187643778.33703047,350335974.3726866,67015468.75612285
20,1980-01-01,-210858984.39186114,337087794.0471964,63783111.94568209
21,1981-01-01,-160710695.61746034,358858792.673124,103032100.56934467
22,1982-01-01,-157888121.21441907,367699788.0094459,103537467.04400672
23,1983-01-01,-177451051.43935633,374916733.8339212,102167907.60891722
24,1984-01-01,-181487847.87642187,357442950.1494628,98935550.76641631
25,1985-01-01,-128567069.99403752,404446379.1064247,138184539.39312416
26,1986-01-01,-119873146.96483429,405694519.9857299,138689905.87381223
27,1987-01-01,-134155113.80508895,390023503.37542117,137320346.48159352
28,1988-01-01,-150486428.26666358,403520221.8627417,134087989.71100126
29,1989-01-01,-107201605.44473639,467972308.40119934,173336978.41228536
30,1990-01-01,-108438936.02489689,439786694.9781073,173842344.96731043
31,1991-01-01,-95821252.84574151,446011881.7661513,172472785.58848587
32,1992-01-01,-92734031.7724732,425374367.83587873,169240428.83132532
33,1993-01-01,-58281056.81823409,468552346.7029644,208489417.54714218
34,1994-01-01,-77505084.80295713,468277538.0672022,208994784.11665183
35,1995-01-01,-56650648.54865074,487754985.34212106,207625224.79278198
36,1996-01-01,-58656023.07501119,470842144.0899859,204392868.09053358
37,1997-01-01,-35280864.534584545,501523067.0027808,243641856.8064896
38,1998-01-01,-26065359.81108734,494911105.39974934,244147223.3761287
39,1999-01-01,-19215581.801168025,498508381.45769227,242777664.04059577
40,2000-01-01,-7553595.588588137,506296009.13419247,239545307.34792033
41,2001-01-01,16451164.129096702,536199169.96745455,278794296.0898535
42,2002-01-01,21637108.064008445,533662353.07574135,279299662.72572315
43,2003-01-01,15546402.080587143,554536685.4055532,277930103.4518553
44,2004-01-01,21868897.610133532,554743378.2162205,274697746.8378258
45,2005-01-01,32788286.799977273,575723052.5559386,313946735.65834606
46,2006-01-01,67673296.6110625,565963393.5867383,314452102.34209585
47,2007-01-01,39322634.97839679,585987883.237214,313082543.11609244
48,2008-01-01,37843092.21296422,574468533.4807782,309850186.53142965
49,2009-01-01,91624169.7485774,625626323.7200135,349099175.3815365
50,2010-01-01,102482269.4146125,619851582.4930412,349604542.08496034
51,2011-01-01,78237701.13794704,607653533.8286477,348234982.8786303
52,2012-01-01,77651150.80169468,616117850.7590153,345002626.29399145
53,2013-01-01,113201521.70957062,648837431.2817594,384251615.1440848
54,2014-01-01,137507912.126214,657567268.1257583,384756981.8474829
55,2015-01-01,105060110.48193738,640691544.4030702,383387422.6411866
56,2016-01-01,123702297.72587353,661073541.3434281,380155066.05654645
57,2017-01-01,154235293.35492727,702301728.1062814,419404054.9066458
58,2018-01-01,129169147.14891768,685314259.7501355,419909421.6100701
59,2019-01-01,156078436.10729253,684208416.6684628,418539862.40373224
60,2020-01-01,156857634.70186138,664217935.47065,415307505.8191252
61,2021-01-01,179627324.77065772,721868327.9023466,454556494.6691947
62,2022-01-01,188872032.73612115,721862603.2649131,455061861.3726154
63,2023-01-01,202187088.60020268,718417575.848387,453692302.16631436
64,2024-01-01,180943912.63894308,727831141.5112171,450459945.5816405
65,2025-01-01,215188785.25680542,775364674.875686,489708934.4317513
66,2026-01-01,224925977.7936633,773631305.6589447,490214301.1351644
67,2027-01-01,209707129.66933092,756278636.3297472,488844741.92883205
68,2028-01-01,220703647.46101052,755134744.340931,485612385.3442447
69,2029-01-01,268157370.24778682,795204513.1637859,524861374.1943039
70,2030-01-01,260729189.76716873,799765432.7004187,525366740.8977825
