,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-10475545108.37057,2476915822.6792192,-3692590391.0193653
1,1961-01-01,-11277397529.581364,2475477237.876904,-4321420354.198477
2,1962-01-01,-10565066246.031467,3379623995.0415916,-3663022052.737141
3,1963-01-01,-9276713866.929768,3701134904.6772733,-3052588210.3717813
4,1964-01-01,-9116585421.072931,4731724881.732801,-2490513282.2244906
5,1965-01-01,-9575173263.805208,3681625501.16359,-3119343244.687971
6,1966-01-01,-9191643814.82461,4642884014.15458,-2460944942.513213
7,1967-01-01,-8439108875.817403,5223536982.285814,-1850511100.0253866
8,1968-01-01,-7925554818.965103,5459666714.534698,-1288436171.755698
9,1969-01-01,-8626943913.989859,4768746172.718904,-1917266134.5546284
10,1970-01-01,-8363409273.910612,5273718000.240782,-1258867832.1343465
11,1971-01-01,-7606418229.01152,6232879827.091353,-648433989.5273508
12,1972-01-01,-6624236491.818019,6126536661.698153,-86359061.56481862
13,1973-01-01,-7228972545.915319,6204546903.606732,-715189024.2085273
14,1974-01-01,-7092196578.257475,6348199231.728268,-56790721.82711911
15,1975-01-01,-6449278819.520816,6791050637.058291,553643120.7417064
16,1976-01-01,-5788815581.288223,8106381222.708379,1115718049.7442558
17,1977-01-01,-6356715163.904843,6601686183.470213,486888088.1435523
18,1978-01-01,-5739113662.309784,7688110757.031182,1145286390.826607
19,1979-01-01,-5128560890.493459,8193710307.546025,1755720233.6976218
20,1980-01-01,-3991481435.0408854,9099200142.83007,2317795163.123314
21,1981-01-01,-5589050192.228602,8377286492.931705,1688965201.9465952
22,1982-01-01,-4059566288.753586,8784517454.326057,2347363505.5384517
23,1983-01-01,-3609337854.256533,9453234145.18923,2957797349.3176107
24,1984-01-01,-3353344896.0348277,10224565762.884575,3519872279.68056
25,1985-01-01,-4172019240.055571,9728427020.51503,2891072845.878566
26,1986-01-01,-3187529876.095212,10835239608.362118,3549501593.3016005
27,1987-01-01,-2427564105.016781,11049466876.340422,4159965882.211258
28,1988-01-01,-2551415739.2872777,11485947791.458004,4722071256.9028845
29,1989-01-01,-2776396104.8838634,10917598400.32813,4093312929.150133
30,1990-01-01,-1901491515.4606843,11455470990.126032,4751782670.3129225
31,1991-01-01,-1368730501.4140117,11977419360.441776,5362288813.036009
32,1992-01-01,-618919349.4808033,12550290997.262938,5924436041.540176
33,1993-01-01,-2001102588.946157,12242232655.867199,5295710315.9498415
34,1994-01-01,-1209109594.725873,12381169759.443224,5954212570.197202
35,1995-01-01,-178195351.76844895,13157636205.484684,6564750365.078564
36,1996-01-01,160741706.77413666,13882691588.5531,7126929245.741832
37,1997-01-01,-562211290.1099852,13559608538.79085,6498203520.418188
38,1998-01-01,738928937.2177283,13936501559.796001,7156705774.931225
39,1999-01-01,1199384144.9769425,14222451549.375975,7767249591.679466
40,2000-01-01,1187759604.2518208,14606444936.173002,8329434495.14991
41,2001-01-01,926635035.548707,14294584965.441813,7700714809.311453
42,2002-01-01,1650280658.8646731,15407697106.671066,8359223087.567148
43,2003-01-01,2411365780.1212373,15870491498.676842,8969766906.009365
44,2004-01-01,3095054559.1441007,16281399030.063763,9531951809.75403
45,2005-01-01,2358383716.99362,15548421495.56356,8903232124.198347
46,2006-01-01,2245393034.0300684,16303998643.248146,9561740401.38327
47,2007-01-01,3005976057.981658,16880758670.681976,10172284218.756697
48,2008-01-01,4653739975.393795,17555473198.168686,10734469121.321562
49,2009-01-01,3854513705.840707,16481037360.617691,10105749434.57961
50,2010-01-01,4014433901.560509,17183034682.04461,10764257711.176394
51,2011-01-01,4772430536.009845,18261704947.197678,11374801527.960392
52,2012-01-01,5150190929.585214,18802881353.52687,11936986430.524784
53,2013-01-01,4614473836.329629,17979340674.56604,11308266743.78275
54,2014-01-01,5273711417.230218,18940140174.850533,11966775020.380898
55,2015-01-01,6171624641.861211,19113288099.426083,12577318837.163568
56,2016-01-01,5891606739.8148575,19644379104.00441,13139503739.72813
57,2017-01-01,5666505357.201774,19008799517.579575,12510784052.986038
58,2018-01-01,6782622096.864795,19964262389.938213,13169292329.582836
59,2019-01-01,7602781161.906972,20785512329.234383,13779836146.36698
60,2020-01-01,7697689226.45995,20997671355.162155,14342021048.930962
61,2021-01-01,6882707773.549685,20358737652.32662,13713301362.190113
62,2022-01-01,7456801641.668594,21141697546.23421,14371809638.786457
63,2023-01-01,8023692844.945608,21731671621.27193,14982353455.569534
64,2024-01-01,8708279349.362371,22047254062.849323,15544538358.13452
65,2025-01-01,7982685208.465645,21419463965.796875,14915818671.392012
66,2026-01-01,8707898585.765114,22392750317.239887,15574326947.989975
67,2027-01-01,9492870076.409252,22945345691.694447,16184870764.773682
68,2028-01-01,9761996645.772085,23353615804.694447,16747055667.337097
69,2029-01-01,9845523391.158936,22741645719.96501,16118335980.596556
70,2030-01-01,10283766764.649796,23298415691.415886,16776844257.19072
