,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-127113472772.20978,6711016531.697482,-63040712688.898895
1,1961-01-01,-119033272286.18665,11883451984.282385,-55407291998.54421
2,1962-01-01,-115716774637.36194,16435538907.235613,-51573994648.32402
3,1963-01-01,-113576971778.27328,16091797588.814962,-48720101258.35957
4,1964-01-01,-112744148679.55333,17657045253.00477,-46844077585.750175
5,1965-01-01,-105235666940.7611,25333665418.235497,-39210656885.88272
6,1966-01-01,-96474033444.32771,32350031771.622692,-35377359526.176445
7,1967-01-01,-98911749878.34793,32927705793.072754,-32523466135.157883
8,1968-01-01,-93169262563.81116,34263266546.55315,-30647442461.496876
9,1969-01-01,-89470067433.4503,41315319993.59239,-23014021767.374924
10,1970-01-01,-84943194745.90971,42175700250.21096,-19180724407.284187
11,1971-01-01,-79222061531.3405,48099935221.250534,-16326831011.991676
12,1972-01-01,-78667554885.98999,50487015314.271095,-14450807326.440582
13,1973-01-01,-71526960987.80463,52220696550.22795,-6817386618.552198
14,1974-01-01,-64176217551.81586,61294049161.16452,-2984086011.7835646
15,1975-01-01,-68873682999.17728,68194275728.12744,-130189369.8143425
16,1976-01-01,-63074541073.570564,66801278100.63442,1745837559.326683
17,1977-01-01,-53054895560.910614,74818936119.29901,9379261519.691864
18,1978-01-01,-57223853819.519905,76908796641.86758,13212562127.865185
19,1979-01-01,-45531846188.87162,80912913690.5624,16066458771.238258
20,1980-01-01,-50412956512.20549,79340421221.21442,17942975998.388443
21,1981-01-01,-37224327861.70288,89996436566.91524,25576891600.04734
22,1982-01-01,-38071172977.75974,96930206872.76323,29412425874.069397
23,1983-01-01,-33755749018.894012,95363005054.29184,32268556183.290424
24,1984-01-01,-31647749478.963436,99784103654.49066,34149118295.276653
25,1985-01-01,-23788012138.432846,107051088593.94043,41788018628.55794
26,1986-01-01,-21964066650.716064,112061938014.83269,45626780649.99779
27,1987-01-01,-17969247846.566856,113061015415.44598,48488152496.46086
28,1988-01-01,-17899551577.760914,115911948789.40154,50371654625.56165
29,1989-01-01,-6257706268.15184,124287947598.06343,58015585678.31909
30,1990-01-01,-7297167411.005461,121490386777.58516,61859364674.10298
31,1991-01-01,-4473409613.446495,132412430942.70404,64727200845.931335
32,1992-01-01,1967504360.453343,131508486900.2149,66617167300.40346
33,1993-01-01,7537510674.901497,138710335868.81305,74267844016.0293
34,1994-01-01,16392017842.09693,144883243061.621,78118350243.90031
35,1995-01-01,9938308238.28636,145756901864.34235,80992188592.6159
36,1996-01-01,18018954082.408062,145036456034.52646,82888157223.96497
37,1997-01-01,31902176203.852848,156460570138.0386,90543140986.84392
38,1998-01-01,27127348133.88348,159515264788.8506,94397942494.07191
39,1999-01-01,33169811255.124973,158973368386.30426,97273426535.37943
40,2000-01-01,33607063504.06242,159751173853.14957,99171911734.33984
41,2001-01-01,39094757032.20159,171277419163.651,106827855494.05907
42,2002-01-01,46103559613.92244,176408013521.6764,110683635926.4111
43,2003-01-01,49238163719.94693,178493012101.83963,113560012393.96304
44,2004-01-01,50908765447.599754,181031345007.84344,115458533970.17627
45,2005-01-01,60441179964.88334,189750669897.29153,123114514206.77383
46,2006-01-01,60314703980.901886,192377857886.18347,126970309467.5961
47,2007-01-01,65324156844.08629,200906031584.93784,129846700763.62292
48,2008-01-01,69911702344.45636,197975172742.22168,131745222341.18124
49,2009-01-01,76139192949.1565,204156706401.46106,139401202579.15204
50,2010-01-01,76598489491.57741,209711262943.49265,143256997838.8694
51,2011-01-01,79672713435.83652,214191452955.91553,146133389133.78506
52,2012-01-01,80297141907.4868,214960642823.45044,148031910711.34702
53,2013-01-01,86502378517.5632,220335297564.7063,155687890949.31302
54,2014-01-01,95770446441.89633,225478598928.91818,159543686209.0301
55,2015-01-01,100926704629.41664,227831253800.32977,162420077503.94733
56,2016-01-01,98212105274.52849,228248613030.64554,164318599081.5119
57,2017-01-01,107706359746.21265,232206780453.9817,171974579319.4781
58,2018-01-01,111871471017.3729,242517272228.3032,175830374579.19543
59,2019-01-01,111593780664.38914,244535623221.4812,178706765874.10657
60,2020-01-01,114176444136.15372,247654027399.5748,180605287451.68027
61,2021-01-01,118065007833.87791,257331995969.40372,188261267689.64374
62,2022-01-01,126617002998.40514,256124957339.90567,192117062949.35757
63,2023-01-01,128088993866.99258,261472401788.25327,194993454244.276
64,2024-01-01,135294385960.20973,264687066543.3839,196891975821.82996
65,2025-01-01,132115291481.0064,268010880531.50912,204547956059.80035
66,2026-01-01,141810860353.617,271219498664.1611,208403751319.5203
67,2027-01-01,146108071417.93488,275986581978.3119,211280142614.4309
68,2028-01-01,143721752010.84277,279446695265.73175,213178664192.00647
69,2029-01-01,159135914130.44623,285311331877.22736,220834644429.96988
70,2030-01-01,162346568244.7758,286225886492.41516,224690439689.68765
