,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-12306938798.441374,4986641324.771009,-3700864323.149803
1,1961-01-01,-15368611179.734661,2081784348.6856298,-6756086770.617001
2,1962-01-01,-13687112216.511873,3393504045.573445,-5372562691.375321
3,1963-01-01,-12422378620.186172,4369456243.233995,-3878053885.8551903
4,1964-01-01,-10934722278.983517,5871724964.095422,-2273944216.2650757
5,1965-01-01,-13179104991.259174,3207652212.2916074,-5329166663.7083845
6,1966-01-01,-11746128514.33037,4562727279.869684,-3945642584.443632
7,1967-01-01,-11315460177.895239,6664944078.468097,-2451133778.7533855
8,1968-01-01,-9249814181.547108,7233489994.466163,-847024108.9929028
9,1969-01-01,-11678152346.32386,4830615560.845242,-3902246556.389843
10,1970-01-01,-11168105101.26516,6070000749.388798,-2518722477.03924
11,1971-01-01,-9357671789.80838,7261466485.483631,-1024213671.3873501
12,1972-01-01,-8425823481.086209,8672695133.049969,579895998.2488832
13,1973-01-01,-10901635481.88415,5720292876.064771,-2475326449.1911373
14,1974-01-01,-10008104732.071371,6326536630.520002,-1091802370.0047112
15,1975-01-01,-8198503030.652011,8644276117.879835,402706435.4852276
16,1976-01-01,-6647746134.052022,10189643183.081741,2006816104.9718723
17,1977-01-01,-9752256813.435316,7782859817.035738,-1048406342.6176567
18,1978-01-01,-8170133004.478058,8825490966.062105,335117736.5823364
19,1979-01-01,-6735466202.305506,10473151601.736177,1829626542.0875397
20,1980-01-01,-5121052735.4529085,11857560002.57633,3433736211.8576984
21,1981-01-01,-8086724546.641072,8642703746.504616,378513764.5508938
22,1982-01-01,-6474775049.340576,10770166288.694248,1762037844.1218796
23,1983-01-01,-5283375452.084753,11328331944.58912,3256546649.9964504
24,1984-01-01,-3336787412.6409965,13328102635.863834,4860658047.444009
25,1985-01-01,-7122525940.008888,10596732713.196415,1805439211.0149746
26,1986-01-01,-5297240137.273974,12206445351.551273,3188966891.424679
27,1987-01-01,-4439702578.828759,12460014486.577894,4683479298.332424
28,1988-01-01,-2022952725.6762512,14398673466.151894,6287592569.311975
29,1989-01-01,-5778098293.974558,11570650837.31726,3232373871.671316
30,1990-01-01,-3691472185.939876,13017869251.252625,4615901690.495222
31,1991-01-01,-2449291884.2850423,14827174589.72387,6110446267.941256
32,1992-01-01,-509222344.84961236,15663894672.14161,7714591709.455032
33,1993-01-01,-3864167518.254402,13087306273.53821,4659416337.1128025
34,1994-01-01,-3307468272.947592,14042762475.326647,6042987362.85984
35,1995-01-01,-1666088571.5941613,15714163650.885035,7537547379.454922
36,1996-01-01,649905237.2586217,17331624116.737423,9141708260.122078
37,1997-01-01,-2045515024.542135,14640713142.751003,6086539688.997652
38,1998-01-01,-1350603397.2707314,15967381031.897083,7470117497.3804035
39,1999-01-01,381332767.97759676,17777544537.219204,8964683470.5075
40,2000-01-01,2332104620.669616,18999082662.129166,10568852320.854229
41,2001-01-01,-1403078173.053774,15816572330.055744,7513689216.2422695
42,2002-01-01,1377366127.810391,17251216760.853107,8897272476.367023
43,2003-01-01,2043612055.950361,19078151568.54792,10391840462.793455
44,2004-01-01,2773437770.625629,20232013642.755127,11996009313.464134
45,2005-01-01,-185096975.30652016,17150131927.461306,8940846209.207254
46,2006-01-01,2287456949.5920315,18360477120.998158,10324429469.585981
47,2007-01-01,2861761103.77908,20017637082.100353,11818997456.269493
48,2008-01-01,4734402482.264513,22154925146.65705,13423166307.04205
49,2009-01-01,820497541.4259933,19141516585.892998,10368003202.872618
50,2010-01-01,2952172378.5900173,20622396586.05029,11751586463.274141
51,2011-01-01,5505558441.58913,22696827416.09907,13246154449.97937
52,2012-01-01,6316666347.298151,22995298187.784775,14850323300.749472
53,2013-01-01,3356212166.839086,20558574123.51925,11795160196.581043
54,2014-01-01,4509238532.81521,22009726266.82324,13178743456.986021
55,2015-01-01,6424036098.851155,23425232634.195293,14673311443.687132
56,2016-01-01,7623769567.618474,25182129625.770382,16277480294.457508
57,2017-01-01,5061042149.07119,21906532519.39085,13222317190.288555
58,2018-01-01,5945917969.072681,22904260830.675198,14605900450.690075
59,2019-01-01,7384010728.654439,24191955241.052505,16100468437.396072
60,2020-01-01,9481285871.818289,26544180286.685448,17704637288.16313
61,2021-01-01,6167610864.118988,23682704202.678814,14649474183.997864
62,2022-01-01,7176560308.786252,25008981469.79794,16033057444.39923
63,2023-01-01,9435010192.861382,26481518665.841972,17527625431.101128
64,2024-01-01,10166812646.981655,27765120314.8155,19131794281.874718
65,2025-01-01,7539106672.386488,24652914299.899296,16076631177.704332
66,2026-01-01,8953874482.069868,25681316307.453575,17460214438.10795
67,2027-01-01,10299772320.192627,28298825807.318184,18954782424.813072
68,2028-01-01,11837044713.021854,29473001316.11161,20558951275.57794
69,2029-01-01,8871007975.425053,25905789856.73848,17503788171.413788
70,2030-01-01,10217302714.196957,27402270478.775604,18887371431.808334
