,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-4989554963.296072,1293097170.3416796,-1640044401.4534988
1,1961-01-01,-5038180081.924596,1216027725.1944962,-1925436998.210865
2,1962-01-01,-4367163544.653682,1638260991.0786052,-1499854850.8776784
3,1963-01-01,-4319885510.070748,2063944518.3589258,-1177715367.5358486
4,1964-01-01,-4088113422.556195,2153298239.893127,-959206112.9313116
5,1965-01-01,-4269466562.5304375,2020897459.3688867,-1244598641.032508
6,1966-01-01,-3885464582.6901712,2337828470.2284884,-819016425.2308578
7,1967-01-01,-3755242903.3935075,2690907379.5826097,-496876907.06354094
8,1968-01-01,-3486202922.6400523,3069762845.1612644,-278367617.6338086
9,1969-01-01,-3811501727.5635343,2583434905.354857,-563760194.0760279
10,1970-01-01,-3377810506.0845513,3243572671.0989103,-138177944.96870995
11,1971-01-01,-3168080790.7305527,3260191913.44104,183961670.8601246
12,1972-01-01,-2900994869.872721,3589811321.2364483,402471012.83218575
13,1973-01-01,-3021917372.3574452,3270574341.005915,117078472.88574314
14,1974-01-01,-2609869517.513596,3437157757.696974,542660629.10073
15,1975-01-01,-2277701499.2764,4235904207.1248474,864800152.037643
16,1976-01-01,-2072860115.5130882,4169488508.1948013,1083309514.3683438
17,1977-01-01,-2544754453.1543655,3902693030.8628907,797916994.8365026
18,1978-01-01,-1972771787.3372383,4399898207.098427,1223499312.8514009
19,1979-01-01,-1718153132.390719,4633034748.584323,1545638997.588644
20,1980-01-01,-1320115672.0164683,4907581669.812701,1764148414.295865
21,1981-01-01,-1461066850.9430013,4731528991.460717,1478755949.2894673
22,1982-01-01,-1462657078.3002746,5127192838.477539,1904338269.6432207
23,1983-01-01,-871187703.0861641,5474425196.842527,2226477956.7187386
24,1984-01-01,-862784578.1213622,5642202285.184467,2444988068.2842326
25,1985-01-01,-887069478.4260269,5342448455.552834,2159596245.253791
26,1986-01-01,-673580924.681593,5690774263.989515,2585179164.198285
27,1987-01-01,-103399571.79375464,6007571794.823826,2907319455.2284455
28,1988-01-01,102916368.71502976,6393953124.221744,3125829517.520792
29,1989-01-01,-526648474.95088065,5999649264.55435,2840437782.744626
30,1990-01-01,71097619.06479135,6257189524.755226,3266020789.704018
31,1991-01-01,541166131.641022,6724724230.092576,3588161210.4026814
32,1992-01-01,367956219.9207348,6871433680.130543,3806671402.3632965
33,1993-01-01,441030366.1174253,6562687570.173493,3521279650.878016
34,1994-01-01,716960298.8657632,7124285430.247899,3946862641.1726484
35,1995-01-01,1064092688.8758845,7339002171.614452,4269003192.7741437
36,1996-01-01,1410194905.4489756,7387463387.4663,4487513515.637444
37,1997-01-01,877802453.8146832,7238501966.57426,4202121958.8217525
38,1998-01-01,1548419827.4317627,7683753789.84384,4627705143.2534485
39,1999-01-01,1783356616.6030145,8165721226.241025,4949845767.712079
40,2000-01-01,1911771145.597834,8182877390.486559,5168356101.06472
41,2001-01-01,1750982495.017241,8103078814.331058,4882964555.212954
42,2002-01-01,2124979167.0092525,8208827841.360087,5308547792.473757
43,2003-01-01,2389081410.955018,8847537621.91454,5630688396.455808
44,2004-01-01,2784346257.168527,9103584915.285662,5849198743.517774
45,2005-01-01,2578824195.4864364,8829046857.837387,5563807211.416075
46,2006-01-01,2896705371.2208686,9138406843.39544,5989390491.928093
47,2007-01-01,3257710778.279003,9652682045.342377,6311531139.163172
48,2008-01-01,3292477369.3192053,9789139955.040737,6530041519.495083
49,2009-01-01,3257606262.244158,9309069437.538397,6244650020.753786
50,2010-01-01,3478129151.5390644,9767950999.6245,6670233263.102327
51,2011-01-01,3705704958.368865,10001219189.736511,6992373872.172554
52,2012-01-01,4217101720.141144,10123274366.210169,7210884252.504356
53,2013-01-01,3740581269.8583407,10066281796.602253,6925492753.762659
54,2014-01-01,4132813217.524624,10450402185.206238,7351075996.112179
55,2015-01-01,4540273514.510025,11038633444.560211,7673216605.181509
56,2016-01-01,4690991614.437898,11026609539.269117,7891726985.513607
57,2017-01-01,4459869380.40652,10792891343.81683,7606335486.771885
58,2018-01-01,4770196378.352811,11095305509.71589,8031918729.120444
59,2019-01-01,4999644537.207662,11603567825.783031,8354059338.190422
60,2020-01-01,5220754152.407496,11785490221.159632,8572569718.5227375
61,2021-01-01,5107777593.887169,11297553287.40209,8287178219.781767
62,2022-01-01,5540332437.514024,11705237792.59353,8712761462.129719
63,2023-01-01,5675037581.333406,12020645207.135618,9034902071.199465
64,2024-01-01,6239296744.2900715,12262053456.598389,9253412451.531155
65,2025-01-01,5614747601.33559,12150547717.551249,8968020952.789444
66,2026-01-01,6250577134.931249,12348531585.813917,9393604195.138992
67,2027-01-01,6782210428.897441,12939973267.340961,9715744804.208637
68,2028-01-01,6763026348.462113,13049091218.060446,9934255184.540668
69,2029-01-01,6550966098.826196,13026152415.721642,9648863685.79988
70,2030-01-01,6934343542.725762,13344431566.381474,10074446928.146507
