,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-12712049830.724243,874163462.6446823,-6118710482.344801
1,1961-01-01,-10943695075.94123,2327945847.5083094,-4275213635.6867867
2,1962-01-01,-11601437786.122183,2099553570.5158129,-4582342032.486235
3,1963-01-01,-11007190741.181538,2267256874.4686065,-4574434192.897232
4,1964-01-01,-10421729640.115538,2286475061.147172,-4250953320.497469
5,1965-01-01,-9063097222.521229,3829851289.5464854,-2407456473.958845
6,1966-01-01,-9290442833.082851,4113466203.3904996,-2714584870.876873
7,1967-01-01,-9169117913.03631,3200300281.502144,-2706677031.304207
8,1968-01-01,-9036864478.862823,3881540369.53856,-2383196158.920044
9,1969-01-01,-7609606506.036067,6483298033.99383,-539699312.3375473
10,1970-01-01,-7504851645.2794,5541618656.156449,-846827709.1573715
11,1971-01-01,-7894456632.797663,6120697416.40945,-838919869.453186
12,1972-01-01,-7268908895.672679,6435184504.569107,-515438996.69992447
13,1973-01-01,-5106663583.871753,8171553723.353455,1328057850.1733513
14,1974-01-01,-6135028472.472136,7326290911.823865,1020929463.0081711
15,1975-01-01,-5725624096.497585,7968743098.981046,1028837312.3656731
16,1976-01-01,-5079379952.28192,7976209232.259642,1352318194.5159302
17,1977-01-01,-3585006832.9405684,9861701429.412237,3195815050.811653
18,1978-01-01,-3574007851.868987,9776119477.542343,2888688754.0392685
19,1979-01-01,-3606082437.12004,9342693976.243298,2896598693.7885437
20,1980-01-01,-3369656839.3780036,10012432460.296223,3220178291.472973
21,1981-01-01,-1367059136.1963813,11270931061.630178,5063774133.756184
22,1982-01-01,-2090637843.9418736,11613908898.942999,4756983807.809593
23,1983-01-01,-2024086559.5052915,11088328537.65717,4765229718.386383
24,1984-01-01,-1336402926.7329574,11671166775.449974,5089371606.824604
25,1985-01-01,450138825.2439738,14163884434.588236,6934105104.2654
26,1986-01-01,-92194643.06724085,13964192453.04553,6628209979.42638
27,1987-01-01,533161522.8277232,13594553054.906977,6916229918.257023
28,1988-01-01,793784724.5583242,14111731401.261738,7519822889.899723
29,1989-01-01,2505617194.050165,16317876100.421753,9644912785.81847
30,1990-01-01,3284824274.407493,16463292195.381132,9618608058.36327
31,1991-01-01,3224960888.755645,16099364385.945951,9932153814.6497
32,1992-01-01,3421922987.014516,16992701018.224546,10561272603.749035
33,1993-01-01,5901037617.296624,19084273202.374485,12711869720.198334
34,1994-01-01,6296010883.618542,19264687082.24712,12711002521.418064
35,1995-01-01,6190943971.553629,19578357375.192276,13025203629.884617
36,1996-01-01,7112246935.476648,20066328410.713467,13654977771.164684
37,1997-01-01,8795274571.447985,22331377243.685192,15805750842.803837
38,1998-01-01,9601088845.53386,23071716962.65645,15805059118.463902
39,1999-01-01,9381709143.58856,22505488698.81737,16119403923.20428
40,2000-01-01,9724940286.077187,23674718758.63224,16749321764.246475
41,2001-01-01,12647627479.765228,25560236160.971313,18900095132.752453
42,2002-01-01,12308944349.492422,25651250115.120956,18899403704.65972
43,2003-01-01,12835015786.423784,25765398938.297577,19213748513.09179
44,2004-01-01,12851381773.64468,26276866253.765984,19843666354.305534
45,2005-01-01,15497777868.941282,28769534774.44437,21994439722.974297
46,2006-01-01,14991443932.092125,28438318536.074425,21993748294.74614
47,2007-01-01,15781659419.275616,28458475041.02318,22308093103.037914
48,2008-01-01,16847843112.449772,30002467631.515068,22938010944.28582
49,2009-01-01,18230751802.39766,31717499635.827175,25088784312.990772
50,2010-01-01,18533857993.696754,31954385380.35122,25088092884.901447
51,2011-01-01,18506926775.23484,31881329295.337753,25402437693.335613
52,2012-01-01,19359783038.06554,32645395841.000237,26032355534.583958
53,2013-01-01,21678386252.18246,35038382245.72143,28183128903.28996
54,2014-01-01,21519741963.697445,34323483221.96323,28182437475.197865
55,2015-01-01,21879088999.123737,35472339100.905624,28496782283.634834
56,2016-01-01,22721984205.01901,35670424733.83679,29126700124.882137
57,2017-01-01,24691461971.733387,37812689165.67873,31277473493.588398
58,2018-01-01,24503613764.58859,37654699921.307884,31276782065.499084
59,2019-01-01,25020497854.801105,39210976172.19251,31591126873.934143
60,2020-01-01,25545646068.68235,38411809830.16001,32221044715.180607
61,2021-01-01,27499209891.222797,40689995364.02795,34371818083.88474
62,2022-01-01,27607294033.258236,40997338518.688225,34371126655.79709
63,2023-01-01,27605427531.459145,41202799523.6847,34685471464.23276
64,2024-01-01,28526966956.86795,42325108099.09747,35315389305.48154
65,2025-01-01,30956082786.205563,44562796838.993,37466162674.18744
66,2026-01-01,30754850970.810802,44301650764.82375,37465471246.09532
67,2027-01-01,31089305500.87696,44573538766.55612,37779816054.5314
68,2028-01-01,31346759559.497147,44901753000.8851,38409733895.778854
69,2029-01-01,33947932881.016674,47287142824.52382,40560507264.48233
70,2030-01-01,33867503531.263065,47494632840.31196,40559815836.39864
