,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1634369454.5151339,1362752443.2520373,-154889538.50389943
1,1961-01-01,-1835395222.5882263,1173204291.031137,-425882025.6512552
2,1962-01-01,-1834681420.179808,1220578715.9249568,-272484288.5938467
3,1963-01-01,-1695754007.0657623,1391788467.3901844,-125812204.23607342
4,1964-01-01,-1387810251.4667037,1582543689.6833286,14010880.795410216
5,1965-01-01,-1787234963.9043908,1316570173.9957283,-256981606.35403425
6,1966-01-01,-1576615757.433419,1385627682.4778,-103583869.29878202
7,1967-01-01,-1424259871.1594386,1485611086.1566541,43088215.06258357
8,1968-01-01,-1354591285.4517596,1657844026.061426,182911300.09764478
9,1969-01-01,-1678121026.7924736,1304688756.2585127,-88081187.04921299
10,1970-01-01,-1536973991.7064571,1549204809.94915,65316550.00960946
11,1971-01-01,-1312162259.0932105,1793255498.9454563,211988634.37267
12,1972-01-01,-1064777470.6330652,1877309661.2977192,351811719.40741736
13,1973-01-01,-1472121871.6098497,1437067278.3329628,80819232.25988218
14,1974-01-01,-1287351406.9159625,1766742737.2117782,234216969.3174889
15,1975-01-01,-1110772030.0063524,1900199677.4655838,380889053.67955613
16,1976-01-01,-1000986215.1186296,2016573807.9909832,520712138.7179077
17,1977-01-01,-1173929874.6236455,1829851595.2642498,249719651.57403064
18,1978-01-01,-1164371349.3361,1892898507.2267241,403117388.63752687
19,1979-01-01,-1044925921.755203,1988791697.9173834,549789473.0056599
20,1980-01-01,-849524339.0126811,2267264320.9141793,689612558.0448178
21,1981-01-01,-1115119986.4090338,1850244029.7194448,418620070.90164244
22,1982-01-01,-958724382.3923693,2125443910.7672698,572017807.9667811
23,1983-01-01,-817625178.7414509,2210263708.6353736,718689892.3363539
24,1984-01-01,-628355673.1307791,2328360159.427385,858512977.3797803
25,1985-01-01,-1117215607.1824174,2070108117.1448648,587520490.2389953
26,1986-01-01,-896848996.3764728,2200380896.621054,740918227.3024384
27,1987-01-01,-602103730.6839021,2472123139.1775346,887590311.6674075
28,1988-01-01,-538347398.9125853,2644529165.818314,1027413396.7061676
29,1989-01-01,-710121520.9137491,2228861922.0494018,756420909.5650951
30,1990-01-01,-512565963.519486,2389386485.8616314,909818646.6288592
31,1991-01-01,-344725714.72294253,2641726260.8258123,1056490730.9934497
32,1992-01-01,-182051414.5699717,2794245078.883414,1196313816.031489
33,1993-01-01,-507061847.84523344,2419769360.873773,925321328.8846992
34,1994-01-01,-382573099.02084106,2530311392.8653226,1078719065.9425902
35,1995-01-01,-231772689.9235396,2744662574.6495733,1225391150.299864
36,1996-01-01,-155171921.886113,2927551405.913643,1365214235.3308587
37,1997-01-01,-624866361.640059,2656013155.197813,1094221748.1785579
38,1998-01-01,-361083529.070539,2724691821.290757,1247619485.2308664
39,1999-01-01,-47112774.906262584,2933584493.852727,1394291569.5906858
40,2000-01-01,-22666063.49887688,3021641532.3200874,1534114654.6219254
41,2001-01-01,-202491159.61529836,2794773964.699793,1263122167.469049
42,2002-01-01,-8034785.626581774,2858996502.0950165,1416519904.5223224
43,2003-01-01,77413720.92373589,3007296921.4129295,1563191988.8798368
44,2004-01-01,234855910.30551305,3307242012.88644,1703015073.9099202
45,2005-01-01,-222057181.97929397,2954872080.3042655,1432022586.758505
46,2006-01-01,33710750.66052522,3209076949.8243513,1585420323.8084066
47,2007-01-01,221272933.95708284,3207852179.5342784,1732092408.1629717
48,2008-01-01,358306255.4156726,3435567481.2613783,1871915493.1884882
49,2009-01-01,65788231.54631404,3002728074.1758356,1600923006.0313315
50,2010-01-01,152490750.65028453,3327770255.6391387,1754320743.0790217
51,2011-01-01,396793550.3894423,3405281813.118582,1900992827.4311566
52,2012-01-01,599840595.5799499,3503258939.8087626,2040815912.456461
53,2013-01-01,235824809.74373952,3255752616.829632,1769823425.2993321
54,2014-01-01,440966270.86152154,3447956994.513973,1923221162.347391
55,2015-01-01,572081398.1682631,3661907701.7460113,2069893246.6990976
56,2016-01-01,713004286.3728839,3776078982.8504486,2209716331.724485
57,2017-01-01,337511899.607013,3512937672.3614006,1938723844.56729
58,2018-01-01,517727944.7335305,3589562869.7875905,2092121581.614978
59,2019-01-01,636643087.9984132,3566327754.567845,2238793665.9670973
60,2020-01-01,840998778.3895817,3917926500.878914,2378616750.99231
61,2021-01-01,648964827.9996865,3632077700.2160397,2107624263.8354692
62,2022-01-01,818966950.3229485,3786477774.7985516,2261022000.8830743
63,2023-01-01,957892945.1362913,3918780681.6751223,2407694085.2348948
64,2024-01-01,1051056766.1034522,4052350380.349251,2547517170.260422
65,2025-01-01,761519417.7936555,3760258186.6237063,2276524683.103172
66,2026-01-01,876379640.7816533,3988817092.2885604,2429922420.1511307
67,2027-01-01,988081929.2275522,4131933403.0718665,2576594504.5031433
68,2028-01-01,1224570327.3638976,4190830588.0202923,2716417589.5281444
69,2029-01-01,930270054.4999143,3931491947.2142706,2445425102.3714232
70,2030-01-01,1021678924.3152443,4082592335.504571,2598822839.4183493
