,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-188689065.80729032,157537071.7066508,-16603429.298763633
1,1961-01-01,-165910545.128105,194902283.8085691,17657122.711157322
2,1962-01-01,-160240375.7279153,199439821.20572606,24205116.0438416
3,1963-01-01,-145388368.0363202,195708069.6840294,17036306.015563488
4,1964-01-01,-169157511.4664729,165628137.9950284,-3837033.492794037
5,1965-01-01,-144329879.2366236,206304757.65376472,30423518.518667698
6,1966-01-01,-140392264.81915337,212926382.49421045,36971511.85288656
7,1967-01-01,-139500325.73067385,210753087.2075179,29802701.828221202
8,1968-01-01,-160786955.13131443,184786996.78435647,8929362.323444128
9,1969-01-01,-128442586.48652858,213878179.0967696,43189914.33206761
10,1970-01-01,-132932319.2418819,210551379.23317516,49737907.65713692
11,1971-01-01,-137912896.4001493,213120445.72918975,42569097.62298334
12,1972-01-01,-158820265.40703624,209200848.7990177,21695758.111077785
13,1973-01-01,-112211181.31815036,244278072.92485642,55956310.11572206
14,1974-01-01,-108869180.88468955,219395098.98449117,62504303.44256294
15,1975-01-01,-114859249.51763149,222043088.0646803,55335493.41017914
16,1976-01-01,-136234339.387017,201540715.26188877,34462153.899626136
17,1977-01-01,-111207750.51109146,243496053.70537606,68722705.90563309
18,1978-01-01,-95344029.6976343,244083409.97208604,75270699.23561394
19,1979-01-01,-111119650.94044694,253758826.6382143,68101889.20636952
20,1980-01-01,-134141404.13841124,215830124.31361812,47228549.702184916
21,1981-01-01,-72679707.10570148,246349050.91631344,81489101.7146138
22,1982-01-01,-87721267.44725439,256725899.73962736,88037095.0473535
23,1983-01-01,-81867596.30662593,260404471.7985035,80868285.0208379
24,1984-01-01,-121836407.4031182,252059050.69175106,59994945.518996835
25,1985-01-01,-93080436.89729424,252249730.43799657,94255497.53157258
26,1986-01-01,-74741139.18616493,281521716.96378136,100803490.8668158
27,1987-01-01,-77888747.95144685,268819632.12874955,93634680.84713161
28,1988-01-01,-89104142.10467675,257188085.6604682,72761341.34727478
29,1989-01-01,-57754845.750418775,285395224.7353767,107021893.36427641
30,1990-01-01,-53119298.4817984,298760443.5223427,113569886.70400822
31,1991-01-01,-64917695.282167345,280109279.13533443,106401076.68659377
32,1992-01-01,-81761565.17378378,270630245.00679755,85527737.1890806
33,1993-01-01,-67304332.29193683,300170711.25953686,119788289.21316653
34,1994-01-01,-52250642.499979556,288686081.1743228,126336282.55983245
35,1995-01-01,-55890480.36360505,300586843.38879114,119167472.55140215
36,1996-01-01,-82839865.79551934,262158128.84930778,98294133.0627498
37,1997-01-01,-38238736.60851924,312050867.0940186,132554685.08493865
38,1998-01-01,-48685421.45412815,318204534.33517677,139102678.4296236
39,1999-01-01,-51166054.76091491,305321152.235878,131933868.41970372
40,2000-01-01,-48027967.227431536,290499778.56882817,111060528.92478257
41,2001-01-01,-19748448.454101637,308192938.99315464,145321080.94673407
42,2002-01-01,-22821186.891530097,321131338.0466955,151869074.2902196
43,2003-01-01,-15306870.43048074,312086016.64627796,144700264.27443522
44,2004-01-01,-41712241.96642861,302843553.5632962,123826924.80730534
45,2005-01-01,-13034962.851256577,331932035.45392096,158087476.85675776
46,2006-01-01,-8024284.984908551,337035946.6471841,164635470.23517084
47,2007-01-01,-19156113.06614669,347391408.16022944,157466660.25444633
48,2008-01-01,-32972305.830389787,319120579.2407515,136593320.79852664
49,2009-01-01,10224224.243887048,359961125.76002616,170853872.8594908
50,2010-01-01,1040540.3958916033,341540391.4435067,177401866.24295157
51,2011-01-01,-11037776.266358132,347630909.14442587,170233056.26715052
52,2012-01-01,-13347199.537704468,324241515.1444457,149359716.8112769
53,2013-01-01,9486523.056167098,360273283.7926924,183620268.87217337
54,2014-01-01,11677949.172049593,360918422.5425908,190168262.2556643
55,2015-01-01,12808281.53821766,361574516.0529429,182999452.27986223
56,2016-01-01,-11817114.408545764,335851002.3820621,162126112.82400978
57,2017-01-01,11037390.936270682,355418694.0898704,196386664.8849206
58,2018-01-01,34445131.185708836,362587201.1906448,202934658.26838613
59,2019-01-01,17620959.575302955,368683978.7761603,195765848.2925421
60,2020-01-01,-9297267.550724534,354598345.756405,174892508.83679116
61,2021-01-01,39681508.45119889,367817822.8636139,209153060.89769465
62,2022-01-01,43538544.03152368,386277548.6105711,215701054.28110057
63,2023-01-01,32509699.260600287,377854291.09696007,208532244.3053273
64,2024-01-01,23608270.657248907,368834836.3467074,187658904.84935236
65,2025-01-01,37394866.02052755,390561737.8244328,221919456.9102971
66,2026-01-01,54420046.92069533,398086784.8358008,228467450.29382342
67,2027-01-01,43031573.41107599,399013789.2848642,221298640.31795895
68,2028-01-01,40615645.88950965,372442211.77356803,200425300.86223233
69,2029-01-01,61245197.17120063,416714190.60998404,234685852.92312616
70,2030-01-01,60163826.99368448,420143523.27768975,241233846.3065471
