,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-6288152802.705603,664929616.7273455,-2657174689.660206
1,1961-01-01,-4599325047.186079,2036100601.8963568,-1180148002.4227555
2,1962-01-01,-4814526197.629308,1782084219.4827025,-1434851358.732326
3,1963-01-01,-4974697232.772459,1797106383.8338528,-1701908699.1457314
4,1964-01-01,-5359649630.212393,1325650251.0682807,-1980777707.7259188
5,1965-01-01,-4036989290.786436,2662493899.8662357,-503751020.6235882
6,1966-01-01,-4153803748.9584303,2216434392.265032,-758454377.0676239
7,1967-01-01,-4430938329.39182,2341453195.2468114,-1025511717.6227175
8,1968-01-01,-4621547205.84424,1927680820.4723291,-1304380726.3446312
9,1969-01-01,-3320277289.1577945,3387919646.1839547,172645960.86705184
10,1970-01-01,-3534194965.220842,3242424938.6800213,-82057395.23989177
11,1971-01-01,-3502738284.1120276,2895795894.3547587,-349114735.4840152
12,1972-01-01,-4079126474.243985,2556524813.920442,-627983743.9612594
13,1973-01-01,-2566037476.5643444,4013491873.991376,849042943.411276
14,1974-01-01,-2699576426.15293,4024074975.8066864,594339587.4687109
15,1975-01-01,-2970248396.6803417,3689444062.0783176,327282247.3880794
16,1976-01-01,-3352390770.6430964,3719465896.0643234,48413239.400182486
17,1977-01-01,-1985426584.6280959,4971298181.87803,1525439927.2632005
18,1978-01-01,-2391430550.8466973,4580517087.361626,1270736571.6601403
19,1979-01-01,-2342968379.718199,4557810436.585952,1003679231.9183221
20,1980-01-01,-2447661489.2711425,3913763588.174082,724810224.2177839
21,1981-01-01,-1113217135.1025577,5381508829.111111,2201836912.369505
22,1982-01-01,-1199482909.0048578,5536409116.86552,1947133557.2565434
23,1983-01-01,-1672442656.159657,4999473760.575903,1680076218.005509
24,1984-01-01,-1627825661.663825,4814982237.193949,1401207210.6614408
25,1985-01-01,-446045107.5284907,6272928901.908193,2878236492.899798
26,1986-01-01,-843037040.345475,5886467433.88756,2623535724.502738
27,1987-01-01,-1090120308.2251816,5688067746.187333,2356480972.0097084
28,1988-01-01,-1148752576.1427467,5262014968.7043,2077614551.3493931
29,1989-01-01,406946597.712925,7026350480.883522,3554643833.5724754
30,1990-01-01,-30284917.059455387,6513218558.415465,3299943065.15798
31,1991-01-01,-257323120.05585718,6176358299.720427,3032890246.4272203
32,1992-01-01,-517323466.9573998,6194095079.032122,2754025759.5306206
33,1993-01-01,1031793304.5266128,7575231345.83511,4231056981.0504575
34,1994-01-01,858526503.5898896,7310351803.213837,3976358146.634491
35,1995-01-01,447859540.8485968,6650447203.504659,3709305328.1641684
36,1996-01-01,56926121.908683866,6857254371.600572,3430440841.526452
37,1997-01-01,1784619076.6901333,8185389542.474447,4907472063.182126
38,1998-01-01,1139596149.1300368,8129750670.898705,4652773228.901585
39,1999-01-01,1060047693.5028986,7944922367.783083,4385720410.346691
40,2000-01-01,1073410008.6782494,7493661375.281729,4106855923.598703
41,2001-01-01,2241193833.1180434,8777954997.221914,5583887145.096818
42,2002-01-01,2414730699.13593,8621816979.213326,5329188310.575454
43,2003-01-01,1997205514.3378901,8609971845.963648,5062135491.916884
44,2004-01-01,1332113815.6437242,8073337120.610234,4783271004.963954
45,2005-01-01,2885515166.4381886,9867191722.901394,6260302226.245147
46,2006-01-01,2831935826.513483,9332034638.19398,6005603391.482061
47,2007-01-01,2299026149.0825424,8970743129.256496,5738550572.580072
48,2008-01-01,1861066883.709578,8907434461.412258,5459686085.37612
49,2009-01-01,3539698917.0280313,10224140150.032602,6936717306.410962
50,2010-01-01,3345397048.5727158,10238219926.23753,6682018471.51069
51,2011-01-01,3161514060.2155886,9920274742.386068,6414965652.472389
52,2012-01-01,2976975624.256014,9589048135.63513,6136101165.269283
53,2013-01-01,4275619315.8589196,10936089458.9745,7613132386.303861
54,2014-01-01,3844076667.578038,10775733070.360622,7358433551.402087
55,2015-01-01,3810166252.5241427,10599336884.47956,7091380732.365428
56,2016-01-01,3482677984.62152,9995045877.708996,6812516245.162222
57,2017-01-01,5068184784.916409,11812802827.510208,8289547466.196935
58,2018-01-01,4681998184.685785,11480516962.493496,8034848631.296659
59,2019-01-01,4248845451.376042,10883427828.650417,7767795812.25802
60,2020-01-01,4056512253.060074,10833364784.26988,7488931325.056017
61,2021-01-01,5624701723.435481,12332254162.369293,8965962546.089207
62,2022-01-01,5333475033.803696,12009902650.546087,8711263711.18916
63,2023-01-01,5003827294.870087,12027046026.288681,8444210892.152122
64,2024-01-01,4607567789.066223,11516258119.354868,8165346404.947802
65,2025-01-01,6404048874.136433,12678189667.458912,9642377625.983135
66,2026-01-01,6358204759.979443,12636059494.840181,9387678791.081814
67,2027-01-01,5920017819.383961,12421901753.315502,9120625972.043587
68,2028-01-01,5508661839.966733,11948202795.555489,8841761484.842402
69,2029-01-01,6898617714.730189,13628449164.241371,10318792705.875175
70,2030-01-01,6647421211.720283,13404432043.45409,10064093870.977869
