,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-6379196529.399923,804595932.4963285,-2835844484.0604854
1,1961-01-01,-5674879443.713589,1074334143.7986028,-2448473000.125449
2,1962-01-01,-5888275419.12589,1097235837.5877502,-2318334400.1290293
3,1963-01-01,-5484424596.660444,750198018.9232444,-2214418283.412772
4,1964-01-01,-5769383091.287946,1345282890.6570275,-2136642134.0434062
5,1965-01-01,-4965962619.705345,1623997582.8504217,-1749270650.1538653
6,1966-01-01,-5268139276.274873,1798297378.0137072,-1619132050.2027903
7,1967-01-01,-4948091804.047092,1820396082.7091944,-1515215933.4104443
8,1968-01-01,-4858137761.378309,1887156646.6269755,-1437439783.9650443
9,1969-01-01,-4304935238.243017,2343326606.943768,-1050068300.2535937
10,1970-01-01,-4405274500.330512,2593931957.7643957,-919929700.4880543
11,1971-01-01,-4481254563.067139,2512395937.2308645,-816013583.8491138
12,1972-01-01,-4155144007.0027447,2861728465.3307695,-738237434.5053221
13,1973-01-01,-3974016212.7841506,3285294229.2541513,-350865950.75004303
14,1974-01-01,-3872606897.234531,3073933376.2604203,-220695878.22274494
15,1975-01-01,-3601103316.5706077,3373609706.156481,-116748288.82214808
16,1976-01-01,-3481447913.8362823,3338711809.114093,-38940666.68631315
17,1977-01-01,-3076770186.174854,3654882165.6302485,348462376.0878148
18,1978-01-01,-2919063910.938281,4039307175.033765,478632448.7880461
19,1979-01-01,-2604387367.4116025,3815595170.2287645,582580038.3614717
20,1980-01-01,-3115125990.0872045,4063046423.2187047,660387660.7255545
21,1981-01-01,-2602358229.7911344,4380180411.070216,1047790703.7286677
22,1982-01-01,-2313073518.9418716,4712124510.901442,1177972833.2828388
23,1983-01-01,-2289175856.679039,4697016038.096317,1281932479.7102563
24,1984-01-01,-1833087041.466932,4745271032.534434,1359752159.0374057
25,1985-01-01,-1685524897.7760897,4922127736.999827,1747167292.365647
26,1986-01-01,-1569291848.458038,5441136646.456779,1877349422.4946742
27,1987-01-01,-1266619875.8221314,5562712313.243041,1981350859.0665967
28,1988-01-01,-1170568269.606658,5385884221.860275,2059212328.2913988
29,1989-01-01,-1023379450.7079686,5772627725.812375,2446669407.495467
30,1990-01-01,-846491155.9797636,5699638089.478673,2576893368.8939915
31,1991-01-01,-815698000.2191253,6093581355.142954,2680921851.3959036
32,1992-01-01,-816393932.0531416,6051049498.819242,2758810366.5509996
33,1993-01-01,-92429042.79386465,6325816701.97615,3146334656.3829584
34,1994-01-01,-219540786.81832942,6672120869.59998,3276625644.7735624
35,1995-01-01,-21321170.326849993,6898582990.159515,3380730903.376525
36,1996-01-01,166037030.99127972,7125515100.1276655,3458696194.6323004
37,1997-01-01,426063544.9406422,7176159246.340118,3846279183.994353
38,1998-01-01,377491842.5963023,7541589901.258191,3976628711.5336685
39,1999-01-01,665801184.9958881,7671440181.928876,4080755756.203873
40,2000-01-01,820178578.2296804,7544293004.70401,4158744405.0420766
41,2001-01-01,1414073675.222144,7773453894.400719,4546328970.483593
42,2002-01-01,1124117427.7300344,7843497437.013091,4676698396.449389
43,2003-01-01,1464767096.481898,8106259377.551485,4780845339.2884865
44,2004-01-01,1438186698.5217228,8376650948.123094,4858852314.748393
45,2005-01-01,1851830027.2635925,8535687969.2141285,5246455257.019552
46,2006-01-01,1657884208.1909175,8608627660.790028,5376824682.894082
47,2007-01-01,2139417644.41184,8980008447.854174,5480971625.642003
48,2008-01-01,1879717742.642442,9013394833.499388,5558978600.946905
49,2009-01-01,2538566040.256709,9263610841.312996,5946581543.063728
50,2010-01-01,2486026908.855233,9335808568.431658,6076950968.842221
51,2011-01-01,2768295639.091482,9357770579.655565,6181097911.493937
52,2012-01-01,2780850447.1887894,9875258444.885633,6259104886.79903
53,2013-01-01,3146570066.0017138,10028059906.377584,6646707828.915695
54,2014-01-01,3268497808.7605186,10147724317.165041,6777077254.694087
55,2015-01-01,3370938390.215376,10263653950.484928,6881224197.345995
56,2016-01-01,3161237733.0582156,10345204744.56293,6959231172.6511
57,2017-01-01,4046395917.983982,10740724648.882092,7346834114.767823
58,2018-01-01,3918688750.38997,10958973187.220135,7477203540.546325
59,2019-01-01,3931935428.9316583,10978082860.544714,7581350483.197967
60,2020-01-01,4001423420.2758436,11140168411.080748,7659357458.503366
61,2021-01-01,4686767482.987195,11398416675.050041,8046960400.619906
62,2022-01-01,4705083347.9035225,11577113806.203136,8177329826.398317
63,2023-01-01,4647854203.029449,11689111113.263903,8281476769.050224
64,2024-01-01,4799458890.176862,11633045332.069847,8359483744.355012
65,2025-01-01,5639919212.059045,12304015180.57448,8747086686.471817
66,2026-01-01,5421686626.579998,12176308900.596355,8877456112.250341
67,2027-01-01,5494203045.602521,12067716803.735945,8981603054.901989
68,2028-01-01,5778006227.767829,12432139836.36888,9059610030.20753
69,2029-01-01,5888843648.406612,12855897913.612007,9447212972.32401
70,2030-01-01,6014828847.039907,12885143981.984236,9577582398.102764
