,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,128870578.43605983,135717670.0041748,132153845.57085343
1,1961-01-01,129280774.43769011,135930376.8273526,132568978.30413406
2,1962-01-01,129246938.37568207,136090585.1552848,132572751.76176329
3,1963-01-01,128922425.75727531,135638531.23033926,132277305.18942165
4,1964-01-01,128302959.1315388,135284267.01368502,131682621.63005985
5,1965-01-01,128673273.1645747,135533961.1337908,132097423.98116225
6,1966-01-01,128868871.8833838,135403894.54174265,132100867.95929696
7,1967-01-01,128256294.71025956,135307909.63734987,131805044.41982213
8,1968-01-01,127922845.03840569,134573256.7578515,131209983.89332664
9,1969-01-01,128378831.34433505,135010896.09756857,131623587.65794337
10,1970-01-01,127965769.12355456,134882469.60318634,131625584.60762013
11,1971-01-01,127843750.65128924,134607487.72815755,131328361.5289418
12,1972-01-01,127335267.43116686,134080523.84501933,130731484.21485353
13,1973-01-01,127921371.78757253,134571114.47458348,131144417.18150085
14,1974-01-01,127716878.0086797,134292529.1105484,131145996.8824067
15,1975-01-01,127276924.04492682,134029464.02193208,130848356.55495739
16,1976-01-01,126674953.53140241,133550837.36280832,130251479.24188891
17,1977-01-01,127074530.19694215,134027137.53418806,130664412.20955887
18,1978-01-01,127392592.25758494,134048413.85385911,130665991.91142291
19,1979-01-01,127059335.26217839,133816321.93654697,130368351.5849318
20,1980-01-01,126516576.49724798,133211786.55515257,129771474.27163774
21,1981-01-01,126743442.46374297,133689698.60875271,130184407.23908229
22,1982-01-01,126777094.5390676,133351027.807378,130185986.9431801
23,1983-01-01,126681402.30013943,133276653.44620264,129888346.61892268
24,1984-01-01,125821598.37236631,132561535.55712451,129291469.30754973
25,1985-01-01,125998802.88068517,132937509.52667665,129704402.2750019
26,1986-01-01,126049868.68155372,132866103.44514145,129705981.97708999
27,1987-01-01,126253469.38949141,132899315.2390332,129407868.98480105
28,1988-01-01,125277156.6793001,132304924.14426157,128810519.00548959
29,1989-01-01,125890180.66610797,132614493.02173114,129222977.2831354
30,1990-01-01,125653365.18610455,132584210.64918877,129224083.5923858
31,1991-01-01,125610825.42565584,132259895.07979478,128925969.78959823
32,1992-01-01,124963672.50200039,131805954.33205701,128328618.99979034
33,1993-01-01,125537096.93017976,132040089.11101088,128741069.15511495
34,1994-01-01,125431670.45019071,131941596.41100475,128742167.36423305
35,1995-01-01,125526357.53584856,131818942.26976444,128444045.54564893
36,1996-01-01,124462106.87177926,131183555.20155767,127846686.74004371
37,1997-01-01,124864196.03686026,131783979.45383461,128259123.79572432
38,1998-01-01,124755730.72291636,131516259.41788816,128260208.94098885
39,1999-01-01,124678224.72903949,131233456.54588196,127962074.05641612
40,2000-01-01,123962245.02164768,130626147.46998449,127364702.18297258
41,2001-01-01,124330108.69294655,131535662.42041656,127777139.23531178
42,2002-01-01,124591121.37134646,131399986.63472953,127778224.37764996
43,2003-01-01,124091190.913089,130600776.20554957,127480089.49163152
44,2004-01-01,123356341.06506297,130404358.68442887,126882717.61965917
45,2005-01-01,123979017.42792316,130408470.49920993,127295154.67346762
46,2006-01-01,123823939.24014613,130680443.99380663,127296239.81906757
47,2007-01-01,123704599.49149223,130489811.29231608,126998104.93631627
48,2008-01-01,123094653.514313,129643830.76133561,126401609.65524757
49,2009-01-01,123727627.64740844,130180029.53101617,126814925.7015832
50,2010-01-01,123478033.60894811,130111372.18259354,126816887.43589158
51,2011-01-01,123099902.80533321,129985552.52246417,126519629.14184316
52,2012-01-01,122674375.15178595,129314592.57864104,125923133.8607761
53,2013-01-01,123087207.1022081,129773695.12168023,126336449.90711075
54,2014-01-01,122737906.45360951,129650220.46832755,126338411.64142051
55,2015-01-01,122607845.70379722,129219618.35247423,126041153.34737225
56,2016-01-01,122140503.8988363,128844175.85498275,125444658.06630424
57,2017-01-01,122573414.16665131,129010753.31564027,125857974.11264029
58,2018-01-01,122242935.67471652,129262273.69657178,125859935.84694865
59,2019-01-01,122081326.43634444,128901126.68837452,125562677.55290191
60,2020-01-01,121646149.0417693,128512045.36656468,124966182.2718338
61,2021-01-01,121719095.04864801,128815527.4638613,125379498.3181707
62,2022-01-01,121977773.72982657,128758798.77819763,125381460.0524773
63,2023-01-01,121628483.273029,128080560.13817401,125084201.75842975
64,2024-01-01,121124207.00646956,127572390.15545046,124487706.47736144
65,2025-01-01,121285872.8976124,128251177.89656284,124901022.52369536
66,2026-01-01,121612922.61653203,128321098.0602247,124902984.25800627
67,2027-01-01,121290299.55110268,127694988.97303735,124605725.96395873
68,2028-01-01,120837390.2974979,127407996.53489977,124009230.68289158
69,2029-01-01,120785121.47544286,127794441.53353506,124422546.72922777
70,2030-01-01,121048136.93715677,127886672.71889548,124424508.46353409
