,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,15215836.766620526,15847086.377564862,15517057.606372919
1,1961-01-01,15301570.451205658,15952087.926320259,15621925.572785378
2,1962-01-01,15353972.772922352,15982145.944381578,15657852.673846666
3,1963-01-01,15343066.087421644,15983787.946950734,15661103.554452987
4,1964-01-01,15298778.717605133,15940332.91416369,15631636.441925881
5,1965-01-01,15423754.685021363,16047479.398535537,15736494.142229082
6,1966-01-01,15459735.12094837,16075160.943723314,15772411.005230628
7,1967-01-01,15443878.948847141,16093397.638444494,15775371.193771986
8,1968-01-01,15426868.478323504,16090249.174753241,15745613.389179885
9,1969-01-01,15453750.308837663,16086590.016407719,15774612.566671018
10,1970-01-01,15390108.458434632,16042564.446674973,15734645.01734123
11,1971-01-01,15342939.181894522,15984842.753912572,15662001.705395339
12,1972-01-01,15237929.450700277,15863771.738071498,15556557.351182116
13,1973-01-01,15245004.979787078,15895010.786275038,15585239.459988672
14,1974-01-01,15228451.756268492,15854851.411305705,15545188.861537023
15,1975-01-01,15160649.005770441,15787236.144921701,15472462.500469249
16,1976-01-01,15038706.194486633,15666015.044888679,15367018.146249682
17,1977-01-01,15080752.846857715,15708260.166053548,15395700.255049864
18,1978-01-01,15049281.818628259,15678350.24326285,15355656.945447056
19,1979-01-01,14963542.692350384,15611628.266134493,15282937.873228116
20,1980-01-01,14942631.773753375,15568183.640832318,15243679.240888335
21,1981-01-01,15038391.150696779,15659112.508230774,15338728.402313275
22,1982-01-01,15044936.388020752,15706944.586000364,15364933.921080139
23,1983-01-01,15041911.509563282,15695609.594488816,15358463.677230941
24,1984-01-01,15005171.490959382,15638986.415204901,15319275.440038322
25,1985-01-01,15089194.255183203,15749767.412342768,15414395.189278625
26,1986-01-01,15099218.422486061,15762883.619108737,15440600.707640754
27,1987-01-01,15124339.021581337,15751325.501383442,15434130.46327629
28,1988-01-01,15052048.68294852,15695855.044691648,15394942.22577805
29,1989-01-01,15178737.60751466,15800586.010359783,15490061.975536026
30,1990-01-01,15187195.678147513,15849529.09337828,15516267.494414682
31,1991-01-01,15192877.84374889,15838803.054429147,15509827.733665435
32,1992-01-01,15140355.485024616,15805782.692837674,15470669.979782803
33,1993-01-01,15248450.304840766,15905450.910611197,15578377.574165976
34,1994-01-01,15319603.356151737,15962493.143287119,15617136.54465118
35,1995-01-01,15276546.229222536,15930922.110672953,15623510.562742602
36,1996-01-01,15282631.603525497,15922270.508791007,15597166.587700818
37,1997-01-01,15387838.453985192,16011420.852426182,15705971.104165828
38,1998-01-01,15424525.451985216,16068665.414159548,15745823.999678131
39,1999-01-01,15442082.491491275,16081529.692813724,15753041.468711635
40,2000-01-01,15426565.410647994,16053299.057892337,15727566.963366574
41,2001-01-01,15518329.542599821,16191678.772566358,15836438.01651795
42,2002-01-01,15546156.20134032,16178564.593005393,15876424.529877316
43,2003-01-01,15571618.110732982,16205954.43791432,15883735.280620204
44,2004-01-01,15551262.836119086,16189704.396990655,15858342.99670657
45,2005-01-01,15683889.354382677,16303836.141946321,15967296.496553108
46,2006-01-01,15696156.785206508,16342430.951963566,16007368.163185306
47,2007-01-01,15689444.798219403,16333666.543902738,16014764.067202285
48,2008-01-01,15832630.98932078,16502919.428360276,16161297.540285997
49,2009-01-01,16130464.711753432,16757665.535291202,16442647.82660146
50,2010-01-01,16327667.07496591,16994391.964314435,16654575.055434953
51,2011-01-01,16499956.740094373,17166779.010770485,16833826.52165198
52,2012-01-01,16664583.406520838,17313671.20049936,16980359.994736042
53,2013-01-01,16913949.517485194,17572999.671954762,17261710.28105139
54,2014-01-01,17135494.025993064,17814467.77506681,17473637.50988522
55,2015-01-01,17325486.170949176,17982645.35112247,17652888.976102326
56,2016-01-01,17467196.788465112,18099455.731365602,17799422.44918604
57,2017-01-01,17768631.20244161,18392739.297840647,18080772.73550179
58,2018-01-01,17980714.95481334,18612058.611310713,18292699.964335278
59,2019-01-01,18144453.04426723,18809555.947545342,18471951.43055298
60,2020-01-01,18325041.148786098,18955553.783983473,18618484.90363627
61,2021-01-01,18582813.76625522,19235728.533929516,18899835.189952306
62,2022-01-01,18784034.15097555,19432468.019206118,19111762.418785475
63,2023-01-01,18974905.070635457,19577689.13252473,19291013.885002684
64,2024-01-01,19100069.012669917,19763698.332592566,19437547.358086713
65,2025-01-01,19396738.757559277,20064014.48674926,19718897.644401677
66,2026-01-01,19593093.068163417,20268268.479801755,19930824.873235755
67,2027-01-01,19756227.04123062,20479020.427307114,20110076.33945328
68,2028-01-01,19912961.19893595,20627577.25198085,20256609.8125368
69,2029-01-01,20148923.318029575,20910726.7750969,20537960.09885263
70,2030-01-01,20366090.025895033,21163694.105877504,20749887.327685732
