,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,155573367.15404934,161369354.1203702,158574529.2052786
1,1961-01-01,157007870.4455088,163039140.9437628,160145723.67276585
2,1962-01-01,157730248.79012597,163839851.87858424,160760047.99508792
3,1963-01-01,157848069.04704493,163970449.496833,161105815.22840017
4,1964-01-01,157976042.4096304,164053888.79924312,161184055.77465865
5,1965-01-01,159690331.30983534,165833929.8504641,162752989.35536227
6,1966-01-01,160253386.67549625,166394830.43817854,163365058.9681874
7,1967-01-01,160343784.29127982,166102379.89088544,163243911.44727924
8,1968-01-01,159985268.81692886,165642643.20159385,162855237.2393173
9,1969-01-01,160066793.0376642,166222280.0109675,163141880.8949726
10,1970-01-01,159394106.31359053,165161187.52761334,162474660.2801436
11,1971-01-01,158656662.31067714,164561401.7075941,161540393.05874893
12,1972-01-01,157352899.94422597,163132789.77789295,160335890.59282863
13,1973-01-01,157553750.28415936,163818319.1564098,160619313.06296688
14,1974-01-01,156998660.42267188,163184976.7536658,159949383.78167167
15,1975-01-01,155979939.18352416,161935695.2316609,159012407.89381054
16,1976-01-01,154923190.81329483,160970939.18010694,157807905.3921298
17,1977-01-01,155142080.2252223,161027067.14169136,158091327.8264095
18,1978-01-01,154393462.38732538,160486395.23196527,157421462.12421882
19,1979-01-01,153482555.7424803,159414488.73220223,156484549.81546196
20,1980-01-01,153170976.000737,159078789.45466548,156271721.06602964
21,1981-01-01,154450705.73209643,160458939.712955,157549534.16694838
22,1982-01-01,154917147.86520562,160804731.64034253,157873473.49510106
23,1983-01-01,154702010.93108955,160809195.93086827,157930366.21668878
24,1984-01-01,154752754.29027867,160720270.37406564,157719732.2832301
25,1985-01-01,156131640.4942323,161999627.24779,158999746.1780389
26,1986-01-01,156246530.44802576,162177788.90559795,159323685.5030171
27,1987-01-01,156122386.23430154,162476112.3325577,159380578.2625446
28,1988-01-01,156018521.2137572,161900645.7390831,159169944.33501497
29,1989-01-01,157497443.10421225,163344393.32707277,160449958.26625615
30,1990-01-01,157750190.5997714,163845693.17585105,160773897.62756914
31,1991-01-01,157656884.96156955,163903621.5491739,160832257.66453174
32,1992-01-01,157721076.19742802,163442209.18389365,160623091.01444152
33,1993-01-01,160888982.52904797,166998669.20642197,163755404.6326352
34,1994-01-01,162890427.6803699,168809027.18913862,165926582.75278905
35,1995-01-01,164841598.49003363,170690693.0304364,167833940.84089637
36,1996-01-01,166144767.49041665,172455707.5761627,169473772.24195355
37,1997-01-01,169697836.01320496,175713495.05555177,172610096.92580563
38,1998-01-01,171891350.97213343,177628253.8560818,174785275.15242428
39,1999-01-01,173778150.80869198,179688979.6620822,176693615.7256498
40,2000-01-01,175177669.87901726,181160991.92000833,178335646.85670784
41,2001-01-01,178576899.46775115,184625711.54846346,181473401.646011
42,2002-01-01,180508327.65566483,186808029.71969458,183650006.1786354
43,2003-01-01,182704189.81221235,188744843.02953556,185559564.10469007
44,2004-01-01,184429247.06549075,190474980.70702425,187201595.24601728
45,2005-01-01,187139317.7453919,193343404.409961,190339350.04561296
46,2006-01-01,189605325.95859,195452653.4749248,192513515.34516144
47,2007-01-01,191324629.2869133,197557554.39748818,194420634.03815383
48,2008-01-01,192585352.53412026,198784160.45786604,195690824.9076609
49,2009-01-01,195312428.14472052,201403778.2947677,198455720.6949688
50,2010-01-01,197315999.79167467,203393322.52330378,200260484.85809737
51,2011-01-01,198831983.267939,204775337.86811274,201798202.4146564
52,2012-01-01,200116708.37092528,206069676.65059665,203068393.28416738
53,2013-01-01,202975103.014677,208971018.82802898,205833289.07147425
54,2014-01-01,204283954.37674075,210689424.9681633,207638053.2346064
55,2015-01-01,206289512.0440294,212319280.1343729,209175770.79116666
56,2016-01-01,207267272.55229172,213590381.47442997,210445961.66067332
57,2017-01-01,210375719.27509266,216311320.4257887,213210857.4479849
58,2018-01-01,212178990.91362357,217995170.99427682,215015621.6111135
59,2019-01-01,213696392.80630475,219459228.79363227,216553339.16768056
60,2020-01-01,214732875.0270111,220676094.65594882,217823530.03718185
61,2021-01-01,217742488.59161097,223525654.58700132,220588425.8244965
62,2022-01-01,219405983.9180563,225439957.92163563,222393189.98762184
63,2023-01-01,220939147.75389275,226661967.94675922,223930907.54418305
64,2024-01-01,222115858.09830755,228348430.05114982,225201098.41369417
65,2025-01-01,224798817.97910184,231134578.10774276,227965994.2009964
66,2026-01-01,226291422.1322661,233331437.09619424,229770758.36413118
67,2027-01-01,227526892.5056246,234936087.32048377,231308475.9206965
68,2028-01-01,228519390.02618074,236678186.44396845,232578666.79020032
69,2029-01-01,231315515.3433255,239778644.60593277,235343562.57751262
70,2030-01-01,232835459.79425624,241957800.29183498,237148326.7406376
