,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,119035477.74418703,125227894.71285503,122004433.04123536
1,1961-01-01,119410908.38138618,125552479.63689667,122506657.24958706
2,1962-01-01,119407632.02618644,125392766.38407111,122545464.42366478
3,1963-01-01,119194551.47673492,125524966.65040039,122208423.65507798
4,1964-01-01,118420887.00502594,124515149.10920179,121495660.24014972
5,1965-01-01,118991190.23257853,125118759.38818187,121997441.73281218
6,1966-01-01,119065283.01797375,125141774.85938433,122035807.40080643
7,1967-01-01,118654084.96685213,124912688.9594926,121697493.09276763
8,1968-01-01,117740979.38316216,124008735.40276279,120983456.13838655
9,1969-01-01,118144971.4700465,124413399.84190312,121483010.48152716
10,1970-01-01,118605480.67808078,124728428.25880621,121518143.40250738
11,1971-01-01,117980244.69381933,124281091.62246267,121177428.38136226
12,1972-01-01,117339721.5407747,123670286.26663934,120459755.79447283
13,1973-01-01,117775634.26823771,124018814.0575186,120957057.38053724
14,1974-01-01,117853186.72124577,124079606.6879144,120990954.51660071
15,1975-01-01,117536491.83021715,123892318.62266752,120649003.71053883
16,1976-01-01,117002644.16427669,123101609.22671486,119931330.25769109
17,1977-01-01,117421813.55368632,123507559.22724481,120428630.97542463
18,1978-01-01,117443663.72168723,123552738.60933255,120462528.11048196
19,1979-01-01,117168491.74597332,123388478.78780088,120120577.30341396
20,1980-01-01,116166304.21507713,122221230.88488948,119402903.84941258
21,1981-01-01,116835590.63000192,123051543.1202474,119900204.56599037
22,1982-01-01,116858744.00823638,123224165.59246288,119934101.70000824
23,1983-01-01,116620030.9711522,122869132.5522182,119592150.89190045
24,1984-01-01,115582307.43648216,121791740.02549753,118873350.58025274
25,1985-01-01,116155704.03397352,122464012.77061076,119369521.25131921
26,1986-01-01,116363059.41934614,122504634.75174613,119402291.42782858
27,1987-01-01,116115446.83564039,122220809.59215875,119058022.02647527
28,1988-01-01,115396495.22807485,121381163.60317597,118338029.97877778
29,1989-01-01,114423429.60516006,120797828.90471572,117555209.6914497
30,1990-01-01,113166967.97469115,119741225.82728921,116312483.42038211
31,1991-01-01,111475145.37316455,117708990.50066662,114692836.977302
32,1992-01-01,109673832.19304879,116066711.32042675,112697467.88787977
33,1993-01-01,108712275.66416207,115005633.94749664,111913572.43191911
34,1994-01-01,107575167.27897996,113911344.70533793,110669773.9298346
35,1995-01-01,106005625.06115703,112237181.03915963,109050127.48602064
36,1996-01-01,103874599.35813844,110051564.75701757,107054758.39586277
37,1997-01-01,103098474.35775813,109326701.75243483,106270862.93973014
38,1998-01-01,101916698.49258567,108038440.18494198,105027064.43747227
39,1999-01-01,100481445.92015012,106415072.76270548,103407470.87802406
40,2000-01-01,98122581.05367792,104751490.09980467,101413041.83415307
41,2001-01-01,97592828.46692634,103733913.13065338,100630089.00034595
42,2002-01-01,96888855.43169689,103255186.99252312,100210638.17097491
43,2003-01-01,96251006.276923,102386591.3407079,99415339.39947724
44,2004-01-01,95322270.75804166,101124928.32178219,98245094.39869663
45,2005-01-01,95337640.18727371,101523467.35152236,98288583.64644621
46,2006-01-01,94892880.79904748,101114973.62032671,97871154.12852302
47,2007-01-01,94213122.1343223,100049195.27238111,97077876.66847794
48,2008-01-01,92875297.30392875,99158349.92642777,95910070.24386187
49,2009-01-01,92875811.50511307,98944910.12912709,95956004.7488127
50,2010-01-01,92690699.00407745,98329303.9754662,95539768.91266558
51,2011-01-01,91633423.46535884,97968432.26578444,94747685.13439173
52,2012-01-01,90434512.76706348,96978068.54620774,93579878.70977712
53,2013-01-01,90627610.8270096,97021854.04591325,93625813.2147266
54,2014-01-01,90100054.80949192,96439801.51985332,93209577.37858069
55,2015-01-01,89308932.05502328,95606651.25900747,92417493.60030675
56,2016-01-01,87925043.0363824,94287587.40350477,91249687.17569195
57,2017-01-01,88256256.82833074,94557038.20144877,91295621.68064225
58,2018-01-01,87666192.48875555,94240864.99004717,90879385.84449516
59,2019-01-01,86983180.13350566,93051217.09062333,90087302.06622164
60,2020-01-01,86071239.14670104,92178454.91450545,88919495.64160815
61,2021-01-01,85964652.80606359,92227103.42604485,88965430.14655897
62,2022-01-01,85368377.51722534,91911046.43644723,88549194.31041002
63,2023-01-01,84615590.74715844,90920892.30140088,87757110.53213695
64,2024-01-01,83555766.89208828,89806892.58579296,86589304.10752033
65,2025-01-01,83479763.26714648,90001512.92226997,86635238.61247002
66,2026-01-01,83320657.98056956,89566597.66957697,86219002.77632518
67,2027-01-01,82167608.1878172,88558362.73860124,85426918.9980509
68,2028-01-01,80506403.42910236,87832616.4167381,84259112.57343823
69,2029-01-01,80976082.75322802,87824905.74901873,84305047.0783886
70,2030-01-01,80418959.21995032,87464641.82314608,83888811.24223948
