,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,25195849.275265362,26397527.161401235,25773267.23589147
1,1961-01-01,25277146.26804378,26461538.121150207,25870752.91739076
2,1962-01-01,25315332.29499757,26444373.23846975,25876602.912124626
3,1963-01-01,25206968.978569355,26325584.134267103,25811611.43918803
4,1964-01-01,25055083.893066667,26240826.220574714,25675775.731923107
5,1965-01-01,25170233.040856503,26368634.499111798,25773097.231959797
6,1966-01-01,25202745.05493369,26373299.24078481,25778783.493814312
7,1967-01-01,25120602.61039636,26313951.55871595,25713544.037485637
8,1968-01-01,25000472.759202555,26183938.47678477,25577460.34682852
9,1969-01-01,25111769.731981114,26323203.37219003,25674487.537795972
10,1970-01-01,25059169.952118658,26271454.45815313,25674679.647088427
11,1971-01-01,25053987.57007371,26210271.10544171,25604030.288931128
12,1972-01-01,24850896.33689573,26062252.72802138,25462379.317073207
13,1973-01-01,24956737.032932475,26150466.092495132,25554033.80152654
14,1974-01-01,25018453.080568302,26194391.345159203,25554068.5311896
15,1975-01-01,24884708.080054205,26026946.357397825,25483261.793402907
16,1976-01-01,24741435.703093983,25941441.531498436,25341610.82148828
17,1977-01-01,24885891.280256912,26021662.87943751,25433265.30588473
18,1978-01-01,24850625.339562837,26043088.913737547,25433360.90178015
19,1979-01-01,24765879.875825103,25973146.139030118,25362615.030225813
20,1980-01-01,24649569.881245248,25820519.907505795,25221201.46076886
21,1981-01-01,24719883.40575583,25832814.949951626,25313093.998040862
22,1982-01-01,24773917.7434669,25953258.241895925,25324262.527462456
23,1983-01-01,24713553.089248046,25864705.947307438,25264589.589434255
24,1984-01-01,24557883.519359317,25743217.86207745,25134072.64808862
25,1985-01-01,24616116.190977663,25835125.153620295,25236898.019867983
26,1986-01-01,24695838.710926957,25785931.584436633,25248073.115563784
27,1987-01-01,24554698.732229017,25745455.629269656,25188406.743909612
28,1988-01-01,24423379.49162552,25656319.268189065,25057896.137926575
29,1989-01-01,24579020.60538523,25752633.033203725,25160721.5099999
30,1990-01-01,24486311.925459575,25733126.02984628,25171896.60598934
31,1991-01-01,24556981.84354449,25705929.38989086,25112230.276346065
32,1992-01-01,24414048.14766006,25579259.06976472,24981719.712374397
33,1993-01-01,24488157.01070936,25688600.214463238,25084627.894277103
34,1994-01-01,24511603.26209561,25654020.970332593,25095885.57383875
35,1995-01-01,24420320.170178212,25640791.6647177,25036375.029128265
36,1996-01-01,24342842.962420836,25443896.377249055,24906020.25008919
37,1997-01-01,24426006.4815966,25614410.15743339,25009149.925133407
38,1998-01-01,24413082.44642962,25630122.22123328,25020628.49266384
39,1999-01-01,24364038.780536756,25496675.339093782,24961628.749289088
40,2000-01-01,24211811.620471135,25425365.576023422,24832144.726503585
41,2001-01-01,24342636.185882427,25480019.562889412,24935999.494137347
42,2002-01-01,24282422.349454653,25507326.268762723,24948547.038922943
43,2003-01-01,24305203.58721667,25446688.633358337,24890253.116258413
44,2004-01-01,24207432.444052443,25393374.763759293,24803320.82017791
45,2005-01-01,24384103.1417484,25537684.785280198,24949843.894588463
46,2006-01-01,24426133.069913916,25606827.253870554,25004870.423247524
47,2007-01-01,24364087.605135884,25573428.383303054,24989055.48445774
48,2008-01-01,24343514.752188392,25468195.01015876,24902653.45397241
49,2009-01-01,24468104.85433572,25631748.785463627,25049708.246761665
50,2010-01-01,24529102.89418595,25705445.11531325,25104991.91805485
51,2011-01-01,24514211.563622944,25662969.666901134,25089434.121897902
52,2012-01-01,24443750.97193585,25575028.26423321,25003032.09141294
53,2013-01-01,24569529.70014575,25748719.15051709,25150086.884201955
54,2014-01-01,24590284.004395906,25762409.110415842,25205370.55549548
55,2015-01-01,24619478.37590424,25796500.374492235,25189812.759338547
56,2016-01-01,24501341.038778897,25758169.09941781,25103410.728853405
57,2017-01-01,24642701.708877992,25842878.940683577,25250465.52164271
58,2018-01-01,24674261.11135642,25924959.621456284,25305749.192935903
59,2019-01-01,24693733.62399663,25879893.16451073,25290191.39677931
60,2020-01-01,24669784.679684844,25783415.43543986,25203789.36629417
61,2021-01-01,24759205.154097572,25978980.837609485,25350844.15908368
62,2022-01-01,24835901.636872653,25981721.199646503,25406127.830376457
63,2023-01-01,24783317.68749663,25968347.508484617,25390570.03421969
64,2024-01-01,24769206.102233898,25911494.07361666,25304168.003734443
65,2025-01-01,24883849.404327698,26079169.482866578,25451222.7965233
66,2026-01-01,24908383.037058182,26067125.104157962,25506506.467817083
67,2027-01-01,24900050.158433992,26085249.406764597,25490948.671660304
68,2028-01-01,24825540.47715133,26039025.14711234,25404546.641175367
69,2029-01-01,24994266.13298161,26119610.95797302,25551601.43396474
70,2030-01-01,24992134.572931327,26155409.62185147,25606885.10525743
