,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,22436427.73024536,23518541.684010133,22980108.9108486
1,1961-01-01,22524107.0109135,23619654.810881287,23083558.213420693
2,1962-01-01,22557181.172597654,23614590.694109336,23097846.588035133
3,1963-01-01,22491202.179976143,23649478.518345088,23044243.190335754
4,1964-01-01,22399518.56750433,23486108.257038377,22922765.622507237
5,1965-01-01,22472683.163071014,23537103.423878405,23026213.177346062
6,1966-01-01,22495612.40423547,23632126.476967376,23040499.809002496
7,1967-01-01,22426201.39868184,23534211.948978484,22986844.58882588
8,1968-01-01,22330691.1769628,23382421.241685804,22865315.198520016
9,1969-01-01,22395576.994404133,23515375.148317963,22968348.58260595
10,1970-01-01,22444074.018851724,23564224.78365491,22967372.89652503
11,1971-01-01,22387295.0671851,23451102.12998729,22898505.438025087
12,1972-01-01,22188146.110653263,23303686.616845503,22761608.253990214
13,1973-01-01,22332808.60051513,23416349.067280456,22849595.6949377
14,1974-01-01,22309859.71957787,23411885.473232526,22848464.440879766
15,1975-01-01,22226665.31718516,23336719.707782954,22779441.41440282
16,1976-01-01,22084894.638964176,23197971.496751923,22642544.217900585
17,1977-01-01,22170939.70921614,23257991.62025965,22730531.646346554
18,1978-01-01,22173995.8305282,23283289.49873008,22729400.392677225
19,1979-01-01,22151571.12673615,23247612.587723225,22660377.366588887
20,1980-01-01,21962539.524657607,23053143.839744005,22523480.170671806
21,1981-01-01,22071491.164045442,23105379.514976814,22611467.5997047
22,1982-01-01,22048133.84573727,23193089.338920344,22610336.34636403
23,1983-01-01,21988747.747645095,23133802.970592976,22541313.320604283
24,1984-01-01,21881632.017787185,23001666.670190405,22404416.124624535
25,1985-01-01,21987025.704578325,23055937.98558616,22492403.553525973
26,1986-01-01,22006453.60486022,23057921.45284102,22491272.300025776
27,1987-01-01,21831595.656747296,22957807.54769131,22421679.20976677
28,1988-01-01,21745111.85274443,22843225.144867904,22284211.94937814
29,1989-01-01,21811998.617220167,22875576.07050147,22344161.063729897
30,1990-01-01,21771971.7924022,22881124.014386386,22315068.10309728
31,1991-01-01,21658653.828575738,22711305.832358647,22218057.772922274
32,1992-01-01,21504139.674122855,22643420.49619736,22053173.272618067
33,1993-01-01,21566046.815112855,22675327.978310466,22113080.58847235
34,1994-01-01,21518240.38478952,22657720.849343244,22083945.943545103
35,1995-01-01,21430538.56861592,22540859.868793804,21986919.52588453
36,1996-01-01,21252848.835092537,22375200.12994738,21822018.93809443
37,1997-01-01,21318473.093168236,22435606.32618819,21881926.253541283
38,1998-01-01,21285362.74134784,22417549.78050642,21852791.60820742
39,1999-01-01,21219667.96116712,22280074.109631583,21755765.190523956
40,2000-01-01,21029531.202126168,22202944.07203319,21590864.603078727
41,2001-01-01,21088206.376249332,22209382.131662205,21650771.918963738
42,2002-01-01,21083853.576283168,22165755.51104261,21621654.38566776
43,2003-01-01,20940951.796585318,22080758.88090536,21524645.079952497
44,2004-01-01,20823813.313251927,21964091.814266708,21359976.45491546
45,2005-01-01,20837351.700720757,21945493.14151183,21420116.368720673
46,2006-01-01,20955487.05669375,22092319.661487505,21539685.19072417
47,2007-01-01,21013611.91692421,22162617.925606087,21591362.24030932
48,2008-01-01,21055816.50606736,22161247.77217944,21575192.800223403
49,2009-01-01,21245011.173868276,22297615.35273289,21784238.74606289
50,2010-01-01,21307992.640389252,22471264.163090456,21903835.24852552
51,2011-01-01,21410114.643046454,22500537.62659341,21955539.978568852
52,2012-01-01,21327546.132475577,22466334.10473481,21939370.53848322
53,2013-01-01,21609699.99388101,22696039.691847503,22148416.484322466
54,2014-01-01,21694880.69011107,22822315.884987537,22268012.986785334
55,2015-01-01,21761771.789946876,22846556.561257068,22319717.716828663
56,2016-01-01,21719204.144142702,22861903.59876975,22303548.27674297
57,2017-01-01,21976299.24871398,23026792.018243764,22512594.22258241
58,2018-01-01,22073493.974526525,23150727.435757972,22632190.725045033
59,2019-01-01,22129400.07465166,23202025.459992316,22683895.455088496
60,2020-01-01,22091386.503776256,23230627.820304394,22667726.015002977
61,2021-01-01,22347933.853774954,23407086.526824206,22876771.960842516
62,2022-01-01,22450257.191459615,23516819.15735347,22996368.463304807
63,2023-01-01,22459644.163579702,23582092.785387103,23048073.193348285
64,2024-01-01,22499692.781596515,23581953.48545704,23031903.753262322
65,2025-01-01,22667846.59695591,23799202.384576336,23240949.699101564
66,2026-01-01,22789908.776745137,23956911.22675029,23360546.201564636
67,2027-01-01,22837223.25194985,23968094.316857446,23412250.931607947
68,2028-01-01,22808952.821680382,23930808.454136953,23396081.491522595
69,2029-01-01,23038939.44767295,24203497.16898499,23605127.43736204
70,2030-01-01,23156520.105533566,24266964.049194694,23724723.93982429
