,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,9640181.178321596,10048981.442297637,9845412.027338877
1,1961-01-01,9703299.73786082,10105869.820757363,9907535.10352264
2,1962-01-01,9702787.7446916,10110525.882909793,9930896.802012838
3,1963-01-01,9729952.131491087,10139563.855804276,9932816.388659906
4,1964-01-01,9691917.279315216,10114110.494405847,9913285.672869032
5,1965-01-01,9770722.846058993,10177801.49562474,9975332.992860984
6,1966-01-01,9783100.86885295,10194446.477140773,9998619.142143512
7,1967-01-01,9755054.012443341,10171208.778111357,9960782.01136572
8,1968-01-01,9692359.92548589,10098636.26980012,9901494.578149956
9,1969-01-01,9718611.496389061,10107837.283559976,9923579.15972428
10,1970-01-01,9708308.566295844,10110528.947799655,9906890.33020733
11,1971-01-01,9652952.876688927,10067070.825696077,9868759.38946547
12,1972-01-01,9606209.118797785,10010048.310648061,9809063.386021063
13,1973-01-01,9629044.285673572,10032513.953385334,9830911.132047404
14,1974-01-01,9603316.819079053,10031279.757260758,9814107.413714737
15,1975-01-01,9569437.624042124,9987730.047591954,9775861.584157152
16,1976-01-01,9510444.898635905,9920693.801632004,9716165.453258941
17,1977-01-01,9518420.940944076,9954116.425135521,9738013.071482286
18,1978-01-01,9520352.980990736,9931702.728517478,9721211.382204065
19,1979-01-01,9477224.812087644,9895385.897107981,9682967.581700929
20,1980-01-01,9458230.702252531,9858392.450180495,9662786.71735282
21,1981-01-01,9520914.353083884,9932850.310583854,9724257.86313058
22,1982-01-01,9550370.802193949,9940979.067267144,9747061.356563414
23,1983-01-01,9548253.717961662,9966912.783821011,9748422.73877134
24,1984-01-01,9520877.4688057,9933481.520861842,9728351.722233554
25,1985-01-01,9577424.139066739,10000407.75367369,9789933.631185709
26,1986-01-01,9589427.313173363,9999390.950513897,9812755.641043179
27,1987-01-01,9591446.368158828,10024473.774520976,9814135.544048944
28,1988-01-01,9575920.34971947,10005231.55876317,9794065.144616581
29,1989-01-01,9640956.931626318,10062374.528206201,9855686.315806858
30,1990-01-01,9670847.734676726,10091945.194437997,9878547.48062872
31,1991-01-01,9667199.59675186,10064448.894835286,9879996.25314906
32,1992-01-01,9647700.283663888,10071160.739569182,9859994.72323146
33,1993-01-01,9707235.573749207,10123223.853163434,9921722.166333932
34,1994-01-01,9740438.626089823,10152785.233869206,9944689.312707298
35,1995-01-01,9740842.763231073,10128256.298081724,9946219.20736486
36,1996-01-01,9726623.159968412,10132298.25001289,9926298.799584476
37,1997-01-01,9776259.716871291,10200589.579589957,9988031.121000538
38,1998-01-01,9810089.873825166,10216114.664839543,10011003.132358748
39,1999-01-01,9788953.14545754,10209221.443637665,10012533.036418023
40,2000-01-01,9789040.860219847,10195593.174981112,9992612.636925282
41,2001-01-01,9845359.122026047,10251769.007208027,10054344.961160991
42,2002-01-01,9865176.896560984,10297680.274006952,10077316.97367953
43,2003-01-01,9869113.050120933,10298411.094360895,10078846.874973003
44,2004-01-01,9863462.722246509,10258578.255625283,10058926.46940914
45,2005-01-01,9917622.601644078,10335454.810896888,10120658.787556667
46,2006-01-01,9939065.31016701,10345400.994594505,10143630.799313933
47,2007-01-01,9933221.184308639,10373335.579349266,10145160.69984666
48,2008-01-01,9914254.261519302,10338883.005470973,10125240.294584041
49,2009-01-01,9977694.171778506,10387649.80946257,10186972.613033956
50,2010-01-01,9995294.686159987,10423382.399658186,10209944.62143433
51,2011-01-01,10003253.508946652,10414963.317518746,10211474.518609636
52,2012-01-01,9974399.628724607,10409923.251191346,10191554.113347173
53,2013-01-01,10044984.299687333,10456851.103404194,10253286.431797013
54,2014-01-01,10083222.569723764,10495902.634531118,10276258.440197524
55,2015-01-01,10059265.201464728,10482883.412032701,10277788.337372858
56,2016-01-01,10045767.342289861,10483643.828112109,10257867.932110276
57,2017-01-01,10112046.705043945,10526300.302093519,10319600.25056027
58,2018-01-01,10149713.421324393,10545021.561128227,10342572.258960642
59,2019-01-01,10120122.030497821,10554072.257202372,10344102.15613617
60,2020-01-01,10110950.35114442,10523342.871288778,10324181.750873499
61,2021-01-01,10185217.381673118,10592827.737696066,10385914.069323586
62,2022-01-01,10196321.525590086,10624451.102647133,10408886.07772381
63,2023-01-01,10208981.262275893,10616103.60066845,10410415.974899199
64,2024-01-01,10196563.00178653,10591799.5555634,10390495.569636667
65,2025-01-01,10247425.749357583,10672952.005444752,10452227.888086399
66,2026-01-01,10258113.657616707,10689619.517443566,10475199.89648701
67,2027-01-01,10271173.509673204,10685549.015013697,10476729.793662464
68,2028-01-01,10245213.670031762,10659375.359618295,10456809.388399888
69,2029-01-01,10287973.862726022,10734273.906423816,10518541.706849901
70,2030-01-01,10331867.104517188,10761643.541062087,10541513.715250101
